るいは智を呼ぶ
分身(『未来視』), 発光 白 Flair.wav;回避
関節技(攻撃), 振る武器突撃 -.bmp
関節技(命中), 点打 BreakOff.wav
護身術, 格闘
投擲(準備), -
投擲(攻撃), 回転投擲武器 Anime\Weapon\EFFECT_Rock01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\Weapon\EFFECT_IronBall01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\Weapon\EFFECT_Bottle01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_Butt01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_PETBottle01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\Foods\EFFECT_Radish01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_Book01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_FryingPan01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_PicopicoHammer01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_Cone01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_PipeChair01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_TinCan01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_MetalDrum01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_Brick01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_BuildingStone01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\Weapon\EFFECT_Stone01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_BaseBall01.bmp 32 - 速
投擲(攻撃), 回転投擲武器 Anime\DGoods\EFFECT_CopperCoin01.bmp 32 - 速
投擲(命中), 強打
全力の一撃(準備), 発光 白 Thunderbolt.wav
全力の一撃(攻撃), 振る武器突撃 -.bmp;打突
全力の一撃(攻撃), 振る武器突撃 -.bmp;振り上げ
全力の一撃(攻撃), 振る武器突撃 -.bmp;振り下ろし
全力の一撃(攻撃), 振る武器突撃 -.bmp;なぎ払い
全力の一撃(命中), 超打 Crash.wav
スタンガン(攻撃),打撃突撃
スタンガン(命中),打突;放電
『思考加速』(使用), 発光 白 Thunderbolt.wav
体当たり, スーパータックル
体当たり(命中), スーパータックル Crash.wav
ヘヴィモータードＣＡ, スーパータックル
ヘヴィモータードＣＡ(命中), スーパータックル Crash.wav
ヘヴィモータードＣＡ(解説), $(ユニット)はヘヴィモータード・チャージング・アサルトで轢殺攻撃をかけた。
『感情の増幅』(攻撃), 音再生 Fire.wav
『感情の増幅』(命中), -
痴漢撃退用スプレー, 煙
洋剣, ソード
刺突(攻撃), ソード突撃
刺突(命中), 刺突

