
アリスモンスター
ハニーフラッシュ, 音波
Ｗハニーフラッシュ, 音波
Ｔハニーフラッシュ, 音波
スーパーハニーフラッシュ, 音波
トライデン(命中), 斬撃
ダブルトライデン(命中), 連斬撃
はにわソード, 連斬撃
花火(攻撃), 連斬撃
スーパーパンチ, 乱打
水中銃(準備), クロスボウ
自爆(攻撃), 煙 赤 Explode(Far).wav 対象ユニットＩＤ
歯, 噛み付き
牙, 噛み付き
かみつき, 噛み付き
体当たり, タックル
スーパー体当たり, タックル
パンチ, 打突
たこたこパンチ, 連打
スーパーたこたこパンチ, 乱打
膿(命中), 飛沫 黄
怪しい怪電波, 音波
火炎, 炎投射
冷凍光線, ２連小ビーム 青
さけび, 音波
ドロップキック, キック
フライングクロスチョップ, ヘッドバット
蛇腹剣(命中), 斬撃
舌(攻撃), 斬撃
舌(命中), 打撃 Whip.wav
破壊爆弾, 爆弾
こんにちわ(攻撃), 白兵乱撃
こんにちわ(命中), 乱打
こんばんわ(攻撃), 白兵乱撃
こんばんわ(命中), 乱打
ドラゴンブレス(命中), 火炎放射 赤 Fire.wav
石の拳(準備), -
ケツ, キック
屁, 煙噴射 黄 AntiAirMissile.wav
ライダーキック, スーパーキック 白
フロッピーシャワー(攻撃), ニードルレーザー連射 黒 MultipleRocketLauncher(Light).wav
フロッピーシャワー(命中), ニードルレーザー連射 黒 Saber.wav
さそりの尾(攻撃), 斬撃
さそりの尾(命中), 刺突
槍(準備), スピア
槍(攻撃), 連突
槍(命中), 連突
特攻攻撃(準備), スピア
特攻攻撃(攻撃), スピア突撃
特攻攻撃(命中), 乱突
爪, 爪撃
杖, 杖
おたまじゃくしの杖, 杖
鉄球クラッカー, 分銅
角笛, 音波
尻尾(攻撃), なぎ払い
尻尾(命中), 強打 Whip.wav
はたき(攻撃), 白兵乱撃
はたき(命中), 乱打 UnitOn.wav
金魚(攻撃), ３ＷＡＹ射出
金魚(命中), 連打
エナジードレイン(命中), 吸収 黒
暗黒吐息(攻撃), 煙噴射 黒
暗黒吐息(命中), 煙 黒 Interference.wav
アンコク(攻撃), 煙噴射 黒
アンコク(命中), 煙 黒 Interference.wav
冷たい手(攻撃), なぎ払い
冷たい手(命中), 凍結 Glass.wav
水(攻撃), 光球 青 Whiz.wav
水(命中), 飛沫 青 Splash.wav
硫酸(攻撃), 光球 青 Whiz.wav
硫酸(命中), 飛沫 赤 Inori.wav
硫酸(クリティカル), 劣化
うしうしぱんち(攻撃), 打突;打突
うしうしぱんち(命中), 打撃;強打 Punch.wav
スーパーうしうしぱんち, 乱打
ぬいぐるみぱんち(攻撃), 白兵連撃
ぬいぐるみぱんち(命中), 打撃;打撃
蛇の牙(攻撃), 斬撃
蛇の牙(命中), 噛み付き
閃光(攻撃), 発光 白 対象ユニットＩＤ
閃光(命中), 発光 白
閃光(クリティカル), 盲目
きら・きら・きら(攻撃), 発光 白 対象ユニットＩＤ
きら・きら・きら(命中), 発光 白
きら・きら・きら(クリティカル), 撹乱
デュエット, 音波
まぐろあっぱー, アッパー
ビンタ(攻撃), なぎ払い
にぎにぎ, 立ち固め
銛, スピア
ほげぇぇ！, 音波
ブロードソード, 剣
空虚無斬(攻撃), 白兵連撃;振り下ろし
空虚無斬(命中), 連斬撃 Sword.wav;唐竹割り
突撃槍, スピア
まきびし(命中), ダメージ Stab.wav
まきびし(クリティカル), 移動不能
呪い(攻撃), 光投射 黒 Whiz.wav
呪い(命中), 発光 黒 Fold.wav
必殺(クリティカル), 即死
乱舞(攻撃), 乱打
乱舞(命中), 乱打;斬撃
光の矢, 中ビーム 白
闇の矢, 中ビーム 黒
大往生の鎌, 大鎌
さす又, さす又
棍(準備), ロッド
棍(攻撃), 斬撃
棍(命中), 打撃
鉄球, 鎖鉄球
大槌, 木槌
太刀, 野太刀
斧, 片刃斧
ヒートトライデン, トライデント
破壊光線(日本兵), 必殺光線 赤
世界樹の歯, 回復魔法泡
ヒール, 踏み潰し
鞭, 鞭
高速詠唱魔法, 気斬 白 速
聖書, 鎖鉄球
鎌(かまいたち), 斬撃武器 Laser\EFFECT_EnergyBlade(White)02.bmp 二刀流
かまいたち, 斬撃
ハサミグローブ, 打突;打突
ゲソ(攻撃), 連斬撃
ゲソ(命中), ダメージ whip.wav;ダメージ whip.wav
炎の矢(攻撃), 光投射 赤 Bow.wav
炎の矢(命中), 炎 赤
火爆破(攻撃), 光投射 赤
火爆破(命中), 火柱
業火炎破, 火炎放射 赤
ファイヤーレーザー, 中ビーム 赤
白冷激(攻撃), 光投射 青
白冷激(命中), 凍結
氷雪吹雪, 吹雪
スノーレーザー, 中ビーム 青
雷撃, 落雷
ホワイトレーザー, 中ビーム 白
ダークネスレーザー, 中ビーム 黒
白色破壊光線, ＭＡＰビーム 白
黒色破壊光線, ＭＡＰビーム 黒
メッサーシュミット, 光投射 黒
ティーゲル, 気斬 黒
ティーゲル２, 気斬 黒
スーパーティーゲル, 波動放射 黒
応援, 回復魔法
テレポート(転移の魔方陣), 六芒星 青;テレポート

