
アリスモンスター
ハニーフラッシュ, LaserGun.wav
ハニーフラッシュ(命中), BreakOff.wav
Ｗハニーフラッシュ, LaserGun.wav
Ｗハニーフラッシュ(命中), 2;BreakOff.wav;BreakOff.wav
Ｔハニーフラッシュ, LaserGun.wav
Ｔハニーフラッシュ(命中), 2;BreakOff.wav;2;BreakOff.wav;BreakOff.wav
スーパーハニーフラッシュ, LaserGun.wav
スーパーハニーフラッシュ(命中), 1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav;BreakOff.wav
トライデン(命中), 2;Swing.wav;Saber.wav
ダブルトライデン(命中), 2;Swing.wav;3;Swing.wav;2;Saber.wav;Saber.wav
花火, 2;Swing.wav;Swing.wav
花火(命中), Fire.wav
スーパーパンチ, 1;Swing.wav;2;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
スーパーパンチ(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;Punch.wav
自爆, Explode(Far).wav
水中銃, Bow.wav
水中銃(命中), Stab.wav
だっこ(命中), Uniton.wav
でんぐりがえし(命中), Uniton.wav
パンチ, Swing.wav
パンチ(命中), Punch.wav
キック(命中), Punch.wav
ビンタ, Swing.wav
ビンタ(命中), Slap.wav
角(命中), Punch.wav
尻尾, Swing.wav
尻尾(命中), Whip.wav
牙(命中), Saber.wav
爪(命中), Saber.wav
かみつき(命中), Saber.wav
体当たり, Swing.wav
体当たり(命中), Crash.wav
スーパー体当たり, Swing.wav
スーパー体当たり(命中), Crash.wav
はたき(命中), -.wav
火炎放射(命中), Fire.wav
冷凍光線, 1;Beam.wav;1;Beam.wav;Beam.wav
冷凍光線(命中), Glass.wav
さけび, LaserGun.wav
たこたこパンチ, 2;Swing.wav;2;Swing.wav;Swing.wav
たこたこパンチ(命中), 2;Punch.wav;2;Punch.wav;Punch.wav
スーパーたこたこパンチ, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
スーパーたこたこパンチ(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;Punch.wav
膿, Bow.wav
ドロップキック, Swing.wav
フライングクロスチョップ, Swing.wav
小鳥, Bird.wav
こんばんわ, 2;Swing.wav;2;Swing.wav;1;Swing.wav;Swing.wav
こんにちわ, 2;Swing.wav;2;Swing.wav;1;Swing.wav;Swing.wav
破壊爆弾, UnitOn.wav
破壊爆弾(命中), Explode.wav
ドラゴンブレス(命中), Fire.wav
前足(命中), Shock(Low).wav
石の拳(命中), Shock(Low).wav
フロッピーシャワー, 1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
フロッピーシャワー(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
槍(命中), 2;bow.wav;1;Saber.wav;1;Saber.wav;Saber.wav
杖(命中), 2;Swing.wav;Punch.wav
まきびし, 2;Snap.wav;2;Snap.wav;2;Snap.wav;Snap.wav
まきびし(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
まきびし(クリティカル), 1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav;BreakOff.wav
銛(命中), Saber.wav
突撃槍(命中), Saber.wav
おたまじゃくしの杖(命中), 2;Swing.wav;Punch.wav
鉄球クラッカー, 1;Swing.wav;1;Swing.wav;Swing.wav
鉄球クラッカー(命中), Punch.wav
金魚, 1;Bow.wav;1;Bow.wav;Bow.wav
金魚(命中), 1;Punch.wav;1;Punch.wav;Punch.wav
角笛, LaserGun.wav
さそりの尾, Swing.wav
さそりの尾(命中), Saber.wav
水, Splash.wav
硫酸, Splash.wav
硫酸(命中), Inori.wav
硫酸(クリティカル), BreakOff.wav
てんてんキック(命中), Punch.wav
特攻攻撃, GlyBy.wav
特攻攻撃(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
冷たい手(命中), Whiz.wav
暗黒吐息, Storm.wav
エナジードレイン(命中), Whiz.wav
うしうしぱんち, 1;Swing.wav;Swing.wav
うしうしぱんち(命中), 1;Punch.wav;Punch.wav
スーパーうしうしぱんち, 2;Swing.wav;1;Swing.wav;Swing.wav
スーパーうしうしぱんち(命中), 2;Punch.wav;1;Punch.wav;Punch.wav
ぬいぐるみぱんち, 1;Swing.wav;Swing.wav
ぬいぐるみぱんち(命中), 1;Punch.wav;Punch.wav
閃光, BeamCoat.wav
閃光(クリティカル), PiyoPiyo.wav
きら・きら・きら, 1;Sword.wav;1;Sword.wav;Sword.wav
きら・きら・きら(クリティカル), PiyoPiyo.wav
まぐろあっぱー, Swing.wav
まぐろあっぱー(命中), Crash.wav
ネコキック(命中), Punch.wav
にぎにぎ, 1;Swing.wav;Swing.wav
にぎにぎ(命中), Punch.wav
デュエット, LaserGun.wav
ほげぇぇ！, LaserGun.wav
空虚無斬, 1;Swing.wav;Sword.wav
空虚無斬(命中), 2;Slash.wav;Saber.wav
光の矢, 4;Charge.wav;Beam.wav
光の矢(命中), Saber.wav
闇の矢, 4;Charge.wav;Beam.wav
闇の矢(命中), Saber.wav
乱舞, Whiz.wav
乱舞(命中), 2;Punch.wav;2;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;2;Punch.wav;1;Punch.wav;Punch.wav
必殺, Whiz.wav
必殺(クリティカル), Inori.wav
呪い, Whiz.wav
呪い(命中), Fold.wav
炎の矢, Bow.wav
炎の矢(命中), Fire.wav
雷撃, Thunder.wav
白冷激(命中), Glass.wav
氷雪吹雪, Storm.wav
氷雪吹雪(命中), Glass.wav
スノーレーザー, Beam.wav
スノーレーザー(命中), Glass.wav
火爆破, Explode.wav
火爆破(命中), Fire.wav
業火炎破, MultipleRocketLauncher.wav
業火炎破(命中), Fire.wav
ファイヤーレーザー, Beam.wav
ファイヤーレーザー(命中), Fire.wav
ホワイトレーザー, Beam.wav
ダークネスレーザー, Beam.wav
黒色破壊光線, Beam.wav
応援, Sharara.wav
メッサーシュミット, Whiz.wav
メッサーシュミット(命中), BreakOff.wav
ティーゲル, Interference.wav
ティーゲル(命中), Inori.wav
ティーゲル２, Interference.wav
ティーゲル２(命中), Inori.wav
スーパーティーゲル, Interference.wav
スーパーティーゲル(命中), Inori.wav
おかゆダンス(解説), $(ユニット)はおかゆダンスを踊った。
バスエラー(解説), $(ユニット)にバスエラーが発生しました。;中止＜Ａ＞ 再実行＜Ｒ＞ 無視＜Ｉ＞
攻撃無効化(天然壁)(解説), $(ユニット)の硬さは攻撃を受け付けない。
