
アークザラッド
スローエネミー, 時間逆行
ロングソード, 剣
バーングラウンド(攻撃), 炎
バーングラウンド(命中), 光噴出 赤 Fire.wav
メテオフォール, 隕石
ゲイルフラッシュ, 光長距離 黄
トータルヒーリング, 光柱
ウィークエネミー, 旋回光弾 黄
サイレント, 光柱
投げナイフ, 投剣
パンチ, 格闘
天の裁き(準備), 召喚 "Creature\EFFECT_Angel01.bmp"
天の裁き(攻撃), 落雷 黄
天の裁き(命中), 連続爆発
平手打ち(攻撃), 斬撃
平手打ち(命中), ダメージ Slap.wav
シンバル(準備), 振る武器 "Music\EFFECT_Cymbal01.bmp" 32
シンバル(攻撃), 斬撃
シンバル(命中), ダメージ
荒獅子太鼓, ＭＡＰビーム 橙
へろへろラッパ(準備), 振る武器 "Music\EFFECT_Trumpet01.bmp" 32
へろへろラッパ(攻撃), 連気弾 橙 残像
へろへろラッパ(命中), 連続爆発
オーケストラヒット(攻撃), 複数画像投射 画像ファイル=Music\EFFECT_Trumpet01.bmp=Music\EFFECT_Trumpet01.bmp=Music\EFFECT_Harp01.bmp=Music\EFFECT_Harp01.bmp=Music\EFFECT_Ocarina01.bmp=Music\EFFECT_Ocarina01.bmp Whiz.wav;ＭＡＰ音符
オーケストラヒット(命中), 爆発 白
気合ラッパ(準備), 振る武器 "Music\EFFECT_Trumpet01.bmp" 32
気合ラッパ(攻撃), 気弾 橙 残像;気弾 橙 残像;気弾 橙 残像
気合ラッパ(命中), 連続爆発
癒しの竪琴(使用), @戦闘アニメ_振る武器準備 "Music\EFFECT_Harp01.bmp"
癒しの竪琴(発動), 光柱
韋駄天のオカリナ(使用), @戦闘アニメ_振る武器準備 "Music\EFFECT_Ocarina01.bmp"
韋駄天のオカリナ(発動), 音符 黄
戦の小太鼓(使用), @戦闘アニメ_ＭＡＰ音符攻撃 赤 Drum.wav
戦の小太鼓(発動), 光噴出 赤
呪縛剣(準備), -
呪縛剣(攻撃), 決め文字 気 Sword.wav 白 対象ユニットＩＤ;振り上げ
呪縛剣(命中), 斬撃
刀破斬(攻撃), 決め文字 攻 Sword.wav 白 対象ユニットＩＤ;唐竹割り
刀破斬(命中), 爆発
虎影斬(攻撃), 決め文字 虎 Sword.wav 白 対象ユニットＩＤ;斬撃
虎影斬(命中), 斬撃
紅蓮, 日本刀
真空斬(攻撃), 決め文字 真 Sword.wav 白 対象ユニットＩＤ;斬撃
真空斬(命中), 液体噴射 赤 Stab.wav
桜花雷爆斬(攻撃), 決め文字 討 Sword.wav 白 対象ユニットＩＤ;連斬撃
桜花雷爆斬(命中), 連斬撃;桜吹雪 Wind.wav
紋次斬り(攻撃), 決め文字 紋 Sword.wav 白 対象ユニットＩＤ;斬撃
紋次斬り(命中), 光大噴出 白
竜牙剣(準備), -
竜牙剣(攻撃), 決め文字 反 Sword.wav 白 対象ユニットＩＤ;斬撃乱舞
竜牙剣(命中), 斬撃乱舞
ドリームノック, 煙 紫
強力な杖, 殴打武器 "Weapon\EFFECT_MagicRod01.bmp"
ダイヤモンドダスト, 氷弾
エクスプロージョン(攻撃), 火炎弾
エクスプロージョン(命中), 大爆発
ヒートウォール, 炎の壁
呪縛拳, 打突
拳法, 格闘
拳法, キック
拳法, 投げ飛ばし
三節棍, 三節棍
退魔光弾, ホーミングレーザー 白
旋風激蹴, スピンキック
鬼神流影破, 地表衝撃波 残像
流星爆(攻撃), 竜巻
流星爆(命中), 竜巻;ジャンプバスター
ラマダ真拳(攻撃), 乱打
ラマダ真拳(命中), 乱打;光球放出 白 Explode.wav
滅掌烈破(攻撃), 地面衝撃 白 対象ユニットＩＤ
滅掌烈破(命中), 爆発 白
ねばねば, 投擲武器 "Bullet\EFFECT_STG_Bullet(Pink)02.bmp" 16
ねばねば, ダメージ 桃
召喚の壺(攻撃), 斬撃
召喚の壺(命中), ダメージ
スピア, スピア
トリプルアタック, ３連スラッシュビーム 黄
耳パンチ(攻撃), 斬撃
耳パンチ(命中), ダメージ
大アゴ, 触手乱舞 橙
床造り, 石柱
すごい床造り, 石柱
ヘモジー化, 格闘
フレイル, フレイル
チョンガラの爆撃(攻撃), ディレイ Bomb.wav 10;ＭＡＰ大爆発
チョンガラの爆撃(命中), 大爆発
変身, -
ソード, 剣
竜巻, 竜巻
電撃, 球電
バトルアックス, 片刃斧
ファイアーストーム, 炎の壁
炎の剣, 炎剣
インビシブル, 光大噴出 橙
パワーロス(攻撃), -
パワーロス(命中), 旋回光弾 黄 Glass(2).wav
ウィークネス(攻撃), -
ウィークネス(命中), 旋回光弾 白 Glass(2).wav;飛沫 白
ウィップ, 鞭
ハリケーンアタック(準備), 鞭
ハリケーンアタック(攻撃), スピンキック
ハリケーンアタック(命中), ダメージ
ファング, 噛み付き
コールドブレス(攻撃), 火炎放射 青 Storm.wav
コールドブレス(命中), 火炎放射 青 Storm.wav
パンディットファング(攻撃), 実弾発射 ARC_PandittoU.bmp 32 Whiz.wav 残像
パンディットファング(命中), 噛み付き
パンディットブレス(攻撃), 火炎放射 青 Storm.wav
パンディットブレス(命中), 火炎放射 青 Storm.wav
アースクエイク, 岩柱
盗む(攻撃), 飛びかかり
盗む(命中), -
テンダリーショック(攻撃), -
テンダリーショック(命中), 旋回光弾 水色 Glass(2).wav
キック, キック
ショットガン, ショットガン
マシンガン, マシンガン
時限爆弾(攻撃), 飛びかかり;ディレイ Type.wav 5
時限爆弾(命中), 大爆発
乱れ撃ち(攻撃), マシンガン;ショットガン;マシンガン
乱れ撃ち(命中), マシンガン;ショットガン;連続爆発
苦無, クナイ
忍者刀, 脇差
ディスペル, 光柱 黄
ウォーピック, ピック
グルガタックル, タックル
ローリングソバット, スピンキック
エクストラクト(攻撃), 地面衝撃 発光 白 対象ユニットＩＤ
エクストラクト(命中), 爆発 白
グルガスペシャル(攻撃), タックル
グルガスペシャル(命中), 投げ飛ばし;連続大爆発
グルガチャージ, 光大噴出 白
トランスエネミー(攻撃), 大リングビーム 黄
トランスエネミー(命中), 光球放出 黄
ランダムダイス(攻撃), 複数画像前面発射 画像ファイル=DGoods\EFFECT_Dice(White)01.bmp=DGoods\EFFECT_Dice(White)02.bmp=DGoods\EFFECT_Dice(White)03.bmp=DGoods\EFFECT_Dice(White)04.bmp=DGoods\EFFECT_Dice(White)05.bmp=DGoods\EFFECT_Dice(White)06.bmp Whiz.wav
ランダムダイス(命中), -
ブラックカード, 投擲武器 "Bullet\EFFECT_CardBullet(Black)01.bmp" 24
イクスクレイト(準備), 振る武器 "Creature\EFFECT_Doll01.bmp"
イクスクレイト(攻撃), 斬撃;ディレイ Stab.wav 10
イクスクレイト(命中), ダメージ 白
シャッフルショット(攻撃), 同時ホーミング弾 "Bullet\EFFECT_CardBullet(Black)01.bmp" 24 個数=4 Whiz.wav
シャッフルショット(命中), 連続大爆発
ダークデストラクター(準備), 召喚 "Creature\EFFECT_Demon01.bmp" 64 
ダークデストラクター(攻撃), 噛み付き
ダークデストラクター(命中), 噛み付き
トランスファー(使用), 光球放出 緑
トランスファー(発動), 光球集中 緑
ヂークナックル, パンチ
ヂークガン, 機関砲
マッドストーム, 竜巻 橙
ブリザード, 吹雪
リフレッシュ, 光柱 赤
ファイヤーブレス, 火炎放射
ウインドスラッシャー, 竜巻
トルネード, 竜巻
サンダーブレス, 大電撃
サンダーストーム, 落雷 青
パラライズウィンド, 煙 黄
しあわせ光線(使用), @戦闘アニメ_虹色必殺光線攻撃
しあわせ光線(発動), -
スーパーノヴァ(攻撃), 光子魚雷 黄
スーパーノヴァ(命中), 連続大爆発 黄
ロブマインド(攻撃), 落雷 紫
ロブマインド(命中), 吸収 黄
ディバイド(攻撃), 落雷 青
ディバイド(命中), 吸収 白
ディバイド<MAP>(攻撃), ＭＡＰ落雷 青
ディバイド<MAP>(命中), 吸収 白
キュア, 光柱 白
リザレクション, 光柱 黄
赤い靴, キック
パシャパシャ, 泡球
メキメキ, ＭＡＰ石柱
メラメラ(攻撃), 実弾発射 "Effect\EFFECT_FireBird(Red).bmp" 32 Whiz.wav 発光
メラメラ(命中), 炎
ヒュルルー, 竜巻
キラキラ, 中ビーム 黄
ポコポコ, 分身打撃
赤い靴(覚醒), 急降下
ヴァニッシュ(攻撃), ＭＡＰ超爆発 黒
ヴァニッシュ(命中), 爆発 黒
機銃, 機関砲
ミサイル, ミサイル
爆撃, 投下爆弾
ヘルブラスト(攻撃), 画像前面発射 "BodyParts\EFFECT_EvilEye(Orange)01.bmp" 1
ヘルブラスト(命中), 爆発
巨大腕(攻撃), 大斬撃
巨大腕(命中), 強打
ダブルヒートブレス, ＭＡＰ火炎弾 赤
ペトロウィンド, 竜巻 黄
かぎづめ, 爪撃
コンフュージョン, 竜巻 黄
杖, 杖
マインドバスター, ＭＡＰ発光 黄
魔力の雷, 球電
デス(準備), 十字架
デス(攻撃), なぎ払い;振り下ろし 
デス(命中), -
ビーム, 小ビーム 水色
ミレニアム, 大ビーム 青
モラル崩壊, ＭＡＰ炎 黒
ディパーチャー, ２連中ビーム 青
キル・ザ・アーク, ２連中ビーム 青
大量虐殺, ＭＡＰ炎 白
破壊神降臨(攻撃), 噛み付き接近
破壊神降臨(命中), 超打
霊気の手(攻撃), 実弾発射 "Hand\EFFECT_ShiningHand(Blue)01.bmp" 32 Whiz.wav 発光
霊気の手(命中), 打突
短刀, ナイフ
ブレイド, サーベル
切り裂き, 連斬撃
爪, 爪撃
氷塊, つらら
二刀流, 日本刀 二刀流
頭部機関砲, バルカン
肩部機関砲, 重機関砲
ツォルンブリッツ, ＭＡＰビーム 橙
ファイナルスレイター(攻撃), 大斬撃
ファイナルスレイター(命中), 強打
機関砲, 機関砲
ナックル, パンチ
背部電磁ウェポンアーム(攻撃), 突く武器突撃 "Hand\EFFECT_Punch(Black)09.bmp" 32
背部電磁ウェポンアーム(命中), 斬撃;電撃
急降下キック, 急降下
対空砲, キャノン砲長距離
列車砲, 大キャノン砲長距離

エルクコワラピュール
烈火乱撃(攻撃), ＭＡＰ炎;@戦闘アニメ_ＭＡＰ射撃武器準備 "Weapon\EFFECT_Rifle01.bmp" 32 Partner(1);ディレイ MachineGun.wav 10
烈火乱撃(命中), 連続爆発

シュウ(アークザラッド)
烈火乱撃(攻撃), ＭＡＰ炎;@戦闘アニメ_ＭＡＰ射撃武器準備 "Weapon\EFFECT_Rifle01.bmp" 32;ディレイ MachineGun.wav 10
烈火乱撃(命中), 連続爆発

フウジン(アークザラッド)
風雷破(攻撃), 竜巻;落雷
風雷破(命中), 竜巻;落雷

ライジン(アークザラッド)
風雷破(攻撃), 落雷;竜巻 Partner(1)
風雷破(命中), 落雷;竜巻
