
#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#
#　EFFECT_Bat.bmp
#　EFFECT_Worm.bmp
#　EFF_Ys_FaiaryTriangle.bmp
#　EFF_Ys_GoddesIllusion.bmp
#　Ys_PylusU.bmp
#　Ys_MiggunU.bmp
#　Ys_Pisckelu.bmp

イース
ロングソード, 剣
シルバーソード, 剣
フレイムソード, 剣
バトルソード, 剣
クレリアソード, 剣
英雄の剣, 剣
バンデットソード, 剣
イシオスブレード, 剣
エメラスの剣, 剣
エメラスの剣, サーベル
エメラスの剣, エストック
ブレイブソード, 剣
ファイアーの魔法, 火炎弾
タイムストップの魔法, 剣
サンダー, 電撃
フレイム, 火炎弾
アイス, 氷弾
レーザー, 拡散ビーム
アバランチロック, 火炎弾
コンバッション, ＭＡＰ炎
ボルカニックロック(準備), 剣
ボルカニックロック(攻撃), 拡散ビーム
ボルカニックロック(命中), ダメージ
ダークボイル(攻撃), 光噴出 黒
ダークボイル(命中), 落下
カタストロフィー(攻撃), 急降下;ＭＡＰ岩弾
剣技ウインド, 剣;スピンアタック ブルー
剣技フレイム, 剣;エナジーブレード レッド
剣技サンダー, 剣;スーパータックル イエロー
メイルストロム, 竜巻
イクスプロージョン, 火炎放射
ライトニング, ＭＡＰ放電
焔霊の腕輪, 火炎弾
地霊の腕輪, スーパータックル イエロー
風霊の腕輪, スピンアタック ブルー
ハンマー, ハンマー
バンディットソード, 大剣
剣, 剣
格闘, 格闘
ナイフ, ナイフ
鞭, 鞭
電撃, 電撃
冷気, 凍結
牙, 噛み付き
スリング, パチンコ
弓, 弓
ハルバード, ハルバード突撃
光弾, 光球
レーザー, ＭＡＰビーム
火球, 火炎弾
炎, 炎
巻き付き, タックル
突撃, タックル
吸血蝙蝠(攻撃), 透明化;実弾発射 EFFECT_Bat.bmp;透明化 解除
ピクティモスの爪, 気斬 グリーン
岩, 岩弾
尻尾, タックル
急降下攻撃(攻撃), 急降下;氷弾
酸の芋虫, 実弾発射 EFFECT_Worm.bmp
氷塊, 氷弾
蝙蝠, 実弾発射 EFFECT_Bat.bmp
大剣, 大剣
稲妻の剣(準備), 大剣
稲妻の剣(攻撃), 斬撃
稲妻の剣(命中), 雷斬撃
羽, 羽
稲妻, 電撃
