汎用
攻撃無効化(対鳳龍剣技), $(Call(戦闘アニメ_パターン解除))

ウィザードリィ・コミックス
鳳龍剣技(準備), $(Call(戦闘アニメ_パターン決定,11))
鳳龍剣技(対パターン_1), 4;Swing.wav;FastGun.wav
鳳龍剣技(対パターン_2), Whiz.wav
鳳龍剣技(対パターン_3), Beam.wav
鳳龍剣技(対パターン_4), Bazooka.wav
鳳龍剣技(対パターン_5), Whiz.wav
鳳龍剣技(対パターン_6), 4;Swing(2).wav;Storm.wav
鳳龍剣技(対パターン_7), 3;Swing.wav;Storm.wav
鳳龍剣技(対パターン_8), Gunpod.wav
鳳龍剣技(対パターン_9), Bazooka.wav
鳳龍剣技(対パターン_10), 2;Swing.wav;Swing.wav
鳳龍剣技(対パターン_11), LaserGun.wav
鳳龍剣技(命中)(対パターン_1), FastGun.wav;$(Call(戦闘アニメ_パターン解除))
鳳龍剣技(命中)(対パターン_2), Explode(Small).wav;$(Call(戦闘アニメ_パターン解除))
鳳龍剣技(命中)(対パターン_3), Beam.wav;$(Call(戦闘アニメ_パターン解除))
鳳龍剣技(命中)(対パターン_4), Explode.wav;$(Call(戦闘アニメ_パターン解除))
鳳龍剣技(命中)(対パターン_5), Slash.wav;$(Call(戦闘アニメ_パターン解除))
鳳龍剣技(命中)(対パターン_6), Storm.wav;$(Call(戦闘アニメ_パターン解除))
鳳龍剣技(命中)(対パターン_7), Storm.wav;$(Call(戦闘アニメ_パターン解除))
鳳龍剣技(命中)(対パターン_8), Gunpod.wav;$(Call(戦闘アニメ_パターン解除))
鳳龍剣技(命中)(対パターン_9), Explode.wav;$(Call(戦闘アニメ_パターン解除))
鳳龍剣技(命中)(対パターン_10), 2;Slash.wav;Slash.wav;$(Call(戦闘アニメ_パターン解除))
鳳龍剣技(命中)(対パターン_11), 3;BeamSaber.wav;3;Swing.wav;Crash.wav;$(Call(戦闘アニメ_パターン解除))
鳳龍剣技(回避), $(Call(戦闘アニメ_パターン解除))
鳳龍渦旋斬, Storm.wav
鳳龍烈風斬, Whiz.wav;Storm.wav
鳳龍烈風斬(命中), Storm.wav
鳳龍虚空斬, Swing.wav
鳳龍虚空斬(命中), Glass.wav
鳳龍核撃斬(準備), Charge.wav
鳳龍核撃斬, 4;Cannon.wav;Explode(Nuclear).wav
鳳龍核撃斬(命中), Explode(Nuclear).wav
鳳龍地裂斬(準備), Charge(2).wav
鳳龍地裂斬, Explode(Far).wav
鳳龍地裂斬(命中), Explode(Small).wav
鳳龍四方斬, Swing.wav
鳳龍四方斬(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav;Saber.wav
鳳龍水月斬, Swing.wav
鳳龍水月斬(命中), Slash(4).wav
鳳龍千手斬, 2;Swing(2).wav;2;Swing(2).wav;Swing(2).wav
鳳龍千手斬(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
波動放射, Whiz.wav
剣圧, Swing.wav
剣圧(命中), GunPod.wav
大剣圧, MicroMissile.wav
大剣圧(命中), Explode.wav
幻影陣, 2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
幻影陣(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;Stab.wav
癒しの杖, Sharara.wav
邪波動, Bow.wav
邪波動(命中), Stab.wav
邪波動連射, Bow.wav;2;Bow.wav;Bow.wav
邪波動連射(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
気斬, BeamSaber.wav
気斬(命中), Slash.wav
首斬, Swing.wav
首斬(命中), 2;Slash.wav;2;Glass.wav
エクスカリバー, Swing.wav
エクスカリバー(命中), Slash.wav
村正, Swing.wav
村正(命中), Slash.wav
一文字, Swing.wav
一文字(命中), Slash.wav
兼光, Swing.wav
兼光(命中), Slash.wav
景光, Swing.wav
