冒険者
格闘, Swing.wav
格闘(命中), Punch.wav
ロングソード, Swing.wav
ロングソード(命中), Slash.wav
カシナートの剣, Swing.wav
カシナートの剣(命中), Slash.wav
真っ二つの剣, Swing.wav
真っ二つの剣(命中), Slash.wav
ハースニール, Swing.wav
ハースニール(命中), Slash.wav
黒の魔剣, Swing.wav
黒の魔剣(命中), Slash.wav
エクスカリバー, Swing.wav
エクスカリバー(命中), Slash.wav
刀, Swing.wav
刀(命中), Slash(3).wav
達人の刀, Swing.wav
達人の刀(命中), Slash(3).wav
村正, Swing.wav
村正(命中), Slash(3).wav
達人の刀, Swing.wav
達人の刀(命中), Slash(3).wav
短刀, Swing.wav
短刀(命中), Slash(2).wav
ショートソード, Swing.wav
ショートソード(命中), Slash(2).wav
最強の短剣, Swing.wav
最強の短剣(命中), Slash(2).wav
忍者刀, Swing.wav
忍者刀(命中), Slash(2).wav
苦無, Swing.wav
苦無(命中), Slash(2).wav
手刀, Swing(2).wav
手刀(命中), Slash(2).wav
メイス, Swing.wav
メイス(命中), FightHit(3).wav
フレイル, Swing.wav
フレイル(命中), FightHit(3).wav
力のメイス, Swing.wav
力のメイス(命中), FightHit(3).wav
粉砕のメイス, Swing.wav
粉砕のメイス(命中), FightHit(3).wav
蛇のメイス, Swing.wav
蛇のメイス(命中), FightHit(3).wav
杖, Swing.wav
杖(命中), BreakOff.wav
炎の杖, Cannon.wav
炎の杖(命中), Fire.wav
錫杖, Swing.wav
錫杖(命中), Slash(3).wav
鋼の戦斧, Swing.wav
鋼の戦斧(命中), Slash.wav
邪悪の戦斧, Swing.wav
邪悪の戦斧(命中), Slash.wav
ショートボウ, Bow.wav
ショートボウ(命中), Stab.wav
盗賊の弓, Bow.wav
盗賊の弓(命中), Stab.wav
飛針, Bow.wav
飛針(命中), Stab.wav
苦無＜投擲＞, Swing(2).wav
苦無＜投擲＞(命中), Stab.wav
隠れる, Hide.wav
攻撃無効化, BeamCoat.wav
バリア貫通, Glass.wav
阻止, BeamCoat.wav
反射, BeamCoat.wav
ダミー, Glass.wav
ディスペル(準備), Inori.wav
ディスペル, Flair.wav
ディスペル(命中), BeamCoat.wav
ジー・ベイル(準備), Inori.wav
ジー・ベイル, Flair.wav
ジー・ベイル(命中), BeamCoat.wav
居合(準備), Reload(2).wav
居合, Glass.wav
気斬(準備), BeamSaber.wav
気斬, Saber.wav
気斬(命中), Slash.wav
首斬, Saber.wav
首斬(命中), Slash(4).wav
奇襲攻撃, Whiz.wav
奇襲攻撃, Slash(4).wav
分身, Whiz.wav
みじん斬り, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav
みじん斬り(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
死点突き, Bow.wav
死点突き(命中), Shock(Low).wav
真空波(準備), Wind.wav
真空波, Storm.wav
真空波(命中), Slash.wav
空刃真空波, Storm.wav
空刃真空波(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
剣圧, GunPod.wav
剣圧(命中), Crash.wav
大剣圧, GunPod.wav
大剣圧(命中), Explode.wav
聖撃(準備), Hittyuu.wav
聖撃, Glass.wav
聖撃(命中), Slash.wav
カティノ, Whiz.wav
カティノ(命中), -
カティノ(クリティカル), Chaff.wav
ハリト, Bow.wav
ハリト(命中), Fire.wav
モグレフ, Flair.wav
ディルト, PowerDown.wav
ディルト(命中), -
ディルト(クリティカル), Search.wav
ソピック, Hide.wav
メリト, Bow.wav
メリト(命中), Fire.wav
ポンチ, Hittyuu.wav
ボラツ, Whiz.wav
ボラツ(命中), -
ボラツ(クリティカル), BreakOff.wav
モリト, Bow.wav
モリト(命中), 1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav;1;BreakOff.wav
モリト(クリティカル), Thunder.wav
マハリト, Cannon.wav
マハリト(命中), Fire.wav
コルツ, Hittyuu.wav
カンティオス, Whiz.wav
カンティオス(命中), -
カンティオス(クリティカル), Chaff.wav
モーリス, PowerDown.wav
モーリス(命中), -
モーリス(クリティカル), Search.wav
ラハリト, Cannon.wav
ラハリト(命中), 1;Explode.wav;12;Fire.wav
ダルト, Cannon.wav
ダルト(命中), 1;EvilEye.wav;12;Whiz.wav
ツザリク, BeamShot.wav
ツザリク(命中), Explode(Small).wav
ロクド, Whiz.wav
ロクド(命中), -
ロクド(クリティカル), BreakOff.wav
リトフェイト, Hittyuu.wav
マモーリス, PowerDown.wav
マモーリス, -
マモーリス(クリティカル), Search.wav
パリオス, Hittyuu.wav
マカニト, Interference.wav
マカニト(命中), Transform.wav
マダルト, Cannon.wav
マダルト(命中), 1;EvilEye.wav;12;Storm.wav
バコルツ, Hittyuu.wav
バスカイヤ, Whiz.wav
バスカイヤ(命中), Explode(Small).wav
バスカイヤ(クリティカル), Chaff.wav
ソコルディ, 魔法陣 BeamSaber.wav;@戦闘アニメ_ＭＡＰフラッシュ攻撃 BeamCoat.wav
ソコルディ(解説), 無数の魔物が召還された！
魔物の群れ, Roar.wav
魔物の群れ(解説), 召還された魔物達が、.相手目掛けて襲いかかった！
魔物の群れ(解説), 召還者の号令と共に、.魔物達が一斉に襲いかかった！
魔物の群れ(解説), 魔物達が咆哮をあげ、一斉に襲いかかった！
魔物の群れ(命中), 1;Crash.wav;4;Crash.wav;4;Crash.wav;4;Crash.wav
ラカニト, Interference.wav
ラカニト(命中), Shock(Low).wav
ジルワン, LaserGun.wav
ジルワン(命中), Glass.wav
ロカラ, Whiz.wav
ロカラ(命中), -
ロカラ(クリティカル), BreakOff.wav
ラダルト, Warship.wav
ラダルト(命中), 1;EvilEye.wav;12;Storm.wav
マモグレフ, Hittyuu.wav
ティルトウェイト(準備), Hittyuu.wav
ティルトウェイト, AntiShipMissile.wav
ティルトウェイト(命中), Explode(Nuclear).wav
ティルトウェイト(M)(準備), Hittyuu.wav
ティルトウェイト(M), AntiShipMissile.wav;10;Explode(Nuclear).wav
ティルトウェイト(命中), Explode.wav
マロール, BeamCoat.wav
マウジウツ, Whiz.wav
マウジウツ(命中), -
マウジウツ(クリティカル), Chaff.wav
ティルトウェイザ(準備), Charge(Long).wav
ティルトウェイザ, Beam.wav
ティルトウェイザ(命中), Explode(Far).wav
Ｍ・Ｍ・デイロマト(準備), Charge(Long).wav
Ｍ・Ｍ・デイロマト, 1;Glass.wav;10;Storm.wav
Ｍ・Ｍ・デイロマト(命中), Explode(Long).wav
Ｗマダルト, 1;Warship.wav;10;Warship.wav
Ｗマダルト(命中), 1;EvilEye.wav;8;EvilEye.wav;12;Storm.wav;4;Storm.wav
カルキ, Hittyuu.wav
ポーフィック, Flair.wav
ディオス, Sharara.wav
バディオス, BeamSaber.wav
バディオス(命中), Stab.wav
マツ, Hittyuu.wav
マニフォ, Whiz.wav
マニフォ(命中), -
マニフォ(クリティカル), Glass.wav
モンティノ, Whiz.wav
モンティノ(命中), -
モンティノ(クリティカル), Hittyuu.wav
カツ, Whiz.wav
カツ(クリティカル), Glass.wav
ディアルコ, Chaff.wav
バマツ, Hittyuu.wav
ハカニド, Whiz.wav
ハカニド(命中), -
ハカニド(クリティカル), Interference.wav
ラテュマピック, Search.wav
ディアル, Sharara.wav
ラツモフィス, Chaff.wav
マポーフィック, 1;Flair.wav;2;Flair.wav;2;Flair.wav
バディアル, BeamSaber.wav
バディアル(命中), Slash.wav
バリコ, 1;Bow.wav;3;Bow.wav;3;Bow.wav;3;Bow.wav;3;Bow.wav
