一部だけだけどね
呪文詠唱表
魔術師系呪文

かけ声, 我、超常なりし法と理の使い手なり――.我が名と技を背に我は行使す――

ハリト, <I><B>――小炎＜ＨＡＬＩＴＯ＞――</I></B>
ハリト, <I>"炎よ、我より放て"</I>;<I><B>――小炎＜ＨＡＬＩＴＯ＞――</I></B>

マハリト, <I></B>――大炎＜ＭＡＨＡＬＩＴＯ＞――</I></B>
マハリト, <I>"炎よ風となり、我より放て"</I>;<I><B>――大炎＜ＭＡＨＡＬＩＴＯ＞――</I></B>

ラハリト, <I><B>――猛炎＜ＬＡＨＡＬＩＴＯ＞――</I></B>
ラハリト, <I>"爆炎よ、我より放て"</I>;<I><B>――猛炎＜ＬＡＨＡＬＩＴＯ＞――</I></B>

ダルト, <I><B>――小凍＜ＤＡＬＴＯ＞――</I></B>
ダルト, <I>"風よ、冷気を帯びよ"</I>;<I><B>――小凍＜ＤＡＬＴＯ＞――</I></B>

マダルト, <I><B>――大凍＜ＭＡＤＡＬＴＯ＞――</I></B>
マダルト, <I>"氷雪よ、吹き抜ける風となれ"</I>;<I><B>――大凍＜ＭＡＤＡＬＴＯ＞――</I></B>

モグレフ, <I><B>――鉄身＜ＭＯＧＵＲＥＦ＞――</I></B>
モグレフ, <I>"我が身よ、鉄の如く堅くなれ"</I>;<I><B>――鉄身＜ＭＯＧＵＲＥＦ＞――</I></B>

マカニト, <I><B>――塵化＜ＭＡＫＡＮＩＴＯ＞――</I></B>
マカニト, <I>"大気よ、結束を解き塵と成す楔となれ"</I>;<I><B>――塵化＜ＭＡＫＡＮＩＴＯ＞――</I></B>

ラカニト, <I><B>――窒息＜ＬＡＫＡＮＩＴＯ＞――</I></B>
ラカニト, <I>"生命の理よ、大気より消えよ"</I>;<I><B>――窒息＜ＬＡＫＡＮＩＴＯ＞――</I></B>

カティノ, <I><B>――仮眠＜ＫＡＴＩＮＯ＞――</I></B>
カティノ, <I>"我が言葉よ、眠りを呼び起こし敵を停止せよ"</I>;<I><B>――仮眠＜ＫＡＴＩＮＯ＞――</I></B>
モーリス, <I><B>――暗霧＜ＭＯＲＬＩＳ＞――</I></B>
モーリス, <I>"我が言葉よ、心に染み入る闇とかせ"</I>;<I><B>――暗霧＜ＭＯＲＬＩＳ＞――</I></B>

ディルト, <I><B>――薄闇＜ＤＩＬＴＯ＞――</I></B>
ディルト, <I>"暗闇よ、覆え"</I>;<I><B>――薄闇＜ＤＩＬＴＯ＞――</I></B>

マモーリス, <I><B>――大闇＜ＭＡＭＯＲＬＩＳ＞――</I></B>
マモーリス, <I>"我が言葉よ、心を閉ざす闇とかせ"</I>;<I><B>――大闇＜ＭＡＭＯＲＬＩＳ＞――</I></B>

モリト, <I><B>――迅雷＜ＭＯＬＩＴＯ＞――</I></B>
モリト, <I>"風よ、弾ける火花となり我より放て"</I>;<I><B>――迅雷＜ＭＯＬＩＴＯ＞――</I></B>

ジルワン, <I><B>――壊呪＜ＺＩＬＷＡＮ＞――</I></B>
ジルワン, <I>"呪いよ、退散し、永遠なる死を与えよ"</I>;<I><B>――壊呪＜ＺＩＬＷＡＮ＞――</I></B>

