イクスィード
中国拳法(命中), Combo.wav
フィストブレイカー(命中), FightHit(3).wav
ライトニングインパクト(命中), Crash.wav
フラッシュバースト, Drill.wav
Ｌビクトリーフラッシュ, BeamShot.wav
ウォーターシュート, Slash(2).wav
ハイドロデリンジャー, Bazooka.wav
ジェノサイドテイルス(命中), Crash.wav
Ｉデストラクション, MultipleRocketLauncher.wav
ダークシュート, Slash(2).wav
ダークデリンジャー, Bazooka.wav
ダークテイルス(命中), Crash.wav
ダークデストラクション, MultipleRocketLauncher.wav
メキシカンストレッチ(命中), Combo.wav
クレイジーバイオレンス(命中), Punch(4).wav
バイオレットブラッド(命中), 6;Fire.wav;2;FightHit(3).wav;2;FightHit(3).wav
ヒートスマッシュ(命中), 6;Fire.wav;4;Crash.wav
Ｇバーニングブレイカー, 6;Fire.wav;8;Charge(long).wav
Ｇバーニングブレイカー(命中), Explode(Nuclear).wav
サイクロンネイル(命中), Stab.wav
イレイサーハリケーン, Wind.wav
トルネードハンティング, Storm.wav
メテオドロップ, Jet.wav
メテオドロップ(命中), Explode(Nuclear).wav
モモコ回転キック(命中), Punch(2).wav
モモコアタック(命中), FightHit(1).wav
ダークネスストーム, Storm.wav

ダークフェロモン
スニークシャドー, BeamSaber.wav
ダークブレイカー, BreakOff.wav
ダークボルトサンダー, Thunder.wav
愛の技ヒミツ, PiyoPiyo.wav
拳銃, Gun.wav
愛の奥義アザムキ, EvilEye.wav
愛の秘技ヒトジチ, Snap.wav
神の張り手(命中), Whip.wav
神の奇跡, Inori.wav
１０人パンチ(命中), FastGun.wav
５０人パンチ(命中), 6;FastGun.wav;6;FastGun.wav;6;FastGun.wav
１００人パンチ(命中), 6;FastGun.wav;6;FastGun.wav;6;FastGun.wav;6;FastGun.wav;6;FastGun.wav;6;FastGun.wav
紅蓮オアシス, 6;Thunder.wav;4;Fire.wav
魅惑の踊り, PiyoPiyo.wav
誘惑の抱擁, Fold.wav
活性のステップ, Snap(E).wav
老人力ヒミツ, PiyoPiyo.wav
老人力アザムキ, EvilEye.wav
老人力ヒトジチ, Snap.wav
ボイ～ン・バッキン, Bubble.wav
ポンポン・ＭＡＸ, Fold.wav
スナイパーライフル, Rifle.wav
１０人チョップ(命中), FastGun.wav
５０人チョップ(命中), 6;FastGun.wav;6;FastGun.wav;6;FastGun.wav
１００人チョップ(命中), 6;FastGun.wav;6;FastGun.wav;6;FastGun.wav;6;FastGun.wav;6;FastGun.wav;6;FastGun.wav
おフランスの踊り, PiyoPiyo.wav
おフランスの抱擁, Fold.wav
おフランスのステップ, Snap(E).wav
強襲(命中), Combo.wav

サイボーグ
ミラクルパンチ(命中), Punch.wav
ミラクルナックル(命中), Punch.wav
ミラクルキック(命中), Punch.wav
ミラクルブレイド, Slash(2).wav
ミラクルボルトサンダー, Thunder.wav
ミラクルダイナマイト, Explode(Small).wav
ミラクルマシンガン, MachineGun.wav
ミラクルジェットチョップ, Jet.wav
ミラクルファイナル, 8;Charge(high).wav;6;Charge(high).wav;4;Charge(high).wav;5;Explode(Nuclear).wav
