ウォーザード
アキレス・ラッシュ(命中), 3;Bazooka.wav;Slash.wav
クロノス・ラッシュ(命中), 3;Bazooka.wav;Slash.wav
マーズ・スラッシュ(命中), Slash.wav
ヘラクレス・ラッシュ(命中), 3;Bazooka.wav;Crash.wav
ガイア・ドライバー(命中), 1;Swing.wav;1;Swing.wav;1;Swing.wav;2;Swing.wav;Shock(Low).wav
ギガス・ドライバー(命中), 1;Swing.wav;2;Swing.wav;4;Shock(Low).wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;2;Swing.wav;Shock(Low).wav
夜叉, Bow.wav
夜叉(命中), Stab.wav
一文字, 1;Bow.wav;1;Bow.wav;Bow.wav
一文字(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
蜻蛉(命中), Saber.wav
不空(命中), Saber.wav
螺旋脚, 1;Swing.wav;1;Swing.wav;Swing.wav
螺旋脚(命中), 1;Punch.wav;1;Punch.wav;Punch.wav
旋風, AntiAirMissile.wav
旋風(命中), Punch(2).wav
旋風(クリティカル), BreakOff.wav
爆昇竜(命中), Bazooka.wav
鬼雷砲, Bazooka.wav
鬼雷砲(命中), Explode(Small).wav
閻魔突き(命中), Crash.wav
羅刹刃(命中), 2;Slash.wav;Slash.wav
十文字, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
十文字(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
炎旋風(命中), Breath.wav
磊落腿(命中), Shock(Low).wav
韋駄天, Fire.wav
韋駄天(命中), Saber.wav
空刃拳, Whiz.wav
空刃拳(命中), Shock(Low).wav
紅鶴蹴, Fire.wav
紅鶴蹴(命中), Bazooka.wav
空撃掌, Bow.wav
空撃掌(命中), Crash.wav
弧炎, Bow.wav
弧炎(命中), Saber.wav
炎龍脚(命中), Saber.wav
天落牙(命中), Breath.wav
超空刃拳, Whiz.wav
超空刃拳(命中), 2;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav;2;Explode.wav
超炎龍脚(命中), Breath.wav
ジャミングゴーズト(クリティカル), PiyoPiyo.wav
デスフェノメノ(クリティカル), PiyoPiyo.wav
ワンド(命中), Punch.wav
アル＆イブン, 2;Cat.wav;Cat.wav
アル＆イブン(命中), Punch(2).wav
アイシクルエッジ(命中), Stab.wav
ブレイブピジョン, Whiz.wav
ブレイブピジョン(命中), Shock(Low).wav
チャクラウェーブ, Beam.wav
チャクラウェーブ(命中), Explode.wav
レヴェリーソード(命中), 2;Slash.wav;2;Slash.wav;Slash.wav
フィアンマカノン, Warship.wav
フィアンマカノン(命中), Explode.wav
グラースカノン, Warship.wav
グラースカノン(命中), Explode.wav
イレクトロカノン, Warship.wav
イレクトロカノン(命中), Explode.wav
トライシクルエッジ(命中), 2;Stab.wav;2;Slash.wav;Stab.wav
ハイパーカノン, Warship.wav
ハイパーカノン(命中), Explode(Nuclear).wav



