################################ 解説 ################################

エターナルリング
ファイアボール(解説), $(パイロット)はファイアボールの魔法で攻撃をかけた。
アイスソード(解説), $(パイロット)はアイスソードの魔法で攻撃をかけた。
トルネード(解説), $(パイロット)はトルネードの魔法で攻撃をかけた。
キュアウォーター(解説), $(パイロット)はキュアウォーターの魔法を使った。
阻止(アバドン)(解説), $(パイロット)はアバドンの魔法で$(相手武器)を防いだ。
ダークサンダー(解説), $(パイロット)はダークサンダーの魔法で攻撃をかけた。
アクス(解説), $(パイロット)はアクスの魔法で攻撃をかけた。
ヘヴン(解説), $(パイロット)はヘヴンの魔法で攻撃をかけた。
ホワイトドラゴン(解説), $(パイロット)はホワイトドラゴンの魔法で攻撃をかけた。
ヒールウォーター(解説), $(パイロット)はヒールウォーターの魔法を使った。
クリア(解説), $(パイロット)はクリアの魔法を使った。
光の守護壁(解説), $(パイロット)は光の守護壁を発動させた。
ダークサンダー(解説), $(パイロット)はダークサンダーの魔法で攻撃をかけた。
ウェーブ(解説), $(パイロット)はウェーブの魔法で攻撃をかけた。
ボンバー(解説), $(パイロット)はボンバーの魔法で攻撃をかけた。
プラズマ(解説), $(パイロット)はプラズマの魔法で攻撃をかけた。
サンダー(解説), $(パイロット)はサンダーの魔法で攻撃をかけた。

################################ ＳＥ ################################

エターナルリング
スティレット(命中), 2;Swing.wav;Stab.wav
ファイアボール, Fire.wav
ファイアボール(命中), Explode(Small).wav
アイスソード, Glass.wav
アイスソード(命中), Slash.wav
トルネード, Storm.wav
トルネード(命中), 0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;_
				0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;Slash.wav
キュアウォーター, 5;Bubble.wav;1.2;Sharara.wav;1.2;Sharara.wav;1.2;Sharara.wav;Sharara.wav
阻止(アバドン), Bubble.wav
ハンティングソード(命中), 2;Swing.wav;Stab.wav
ダークサンダー, Thunder.wav
ダークサンダー(命中), BeamSaber.wav
アクス, 2;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
アクス(命中), 2;Slash.wav;Slash.wav
ヘヴン, 1;BeamCoat.wav;1;BeamCoat.wav;BeamCoat.wav
ヘヴン(命中), -
ヘヴン(とどめ), 5;BeamCoat.wav;Explode.wav
ホワイトドラゴン, 8;Fire.wav;Storm.wav
ホワイトドラゴン(命中), 8;Storm.wav;Crash.wav
エターナルソード(命中), 2;Swing.wav;Stab.wav
カイザーナックル, 0.8;Swing.wav;0.8;Swing.wav;Swing.wav
カイザーナックル(命中), 1.2;BreakOff.wav;1.2;BreakOff.wav;BreakOff.wav
ヒールウォーター, 5;Bubble.wav;1.2;Sharara.wav;1.2;Sharara.wav;1.2;Sharara.wav;Sharara.wav
クリア, 5;Bubble.wav;1.2;Sharara.wav;1.2;Sharara.wav;1.2;Sharara.wav;Sharara.wav
ブレス, Wind.wav
ウェーブ, 5;Charge.wav;Whiz.wav
ウェーブ(命中), Saber.wav
ボンバー, Bazooka(4Shot).wav
ボンバー(命中), 2.5;Explode(Small).wav;2.5;Explode(Small).wav;Explode(Small).wav
エナジーボール, -
エナジーボール(命中), Explode(Small).wav
プラズマ, 10;Charge(high).wav;Whiz.wav
プラズマ(命中), Glass.wav
サンダー, Thunder.wav
サンダー(命中), BeamSaber.wav
突進(命中), Explode.wav
突撃, Whiz.wav
突撃(命中), Explode.wav
羽ばたき, Storm.wav
羽ばたき(命中), Storm.wav

風竜(エターナルリング)
ブレス, Storm.wav
ブレス(命中), 0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;_
				0.8;Slash.wav;0.8;Slash.wav;0.8;Slash.wav;Slash.wav

火竜(エターナルリング)
ブレス, Fire.wav
ブレス(命中), Fire.wav

土竜(エターナルリング)
ブレス, Fire.wav
ブレス(命中), Fire.wav

汎用
攻撃無効化(光の守護壁), BeamCoat.wav
