
カードオブデスティニー
ソードオブナイト, ソード
ミルカ(攻撃), 光投射 白
ミルカ(命中), 発光 白 Transform.wav
ミルカ(統合者)(攻撃), 光投射 白
ミルカ(統合者)(命中), 発光 白 Transform.wav
フヮル(攻撃), 光投射 白
フヮル(命中), 発光 白;Chaff.wav
フラワシ, ソード
フラワシ(命中), 炎斬撃 ホワイト Slash.wav
バルソム, 音符
ネイチャー(攻撃), 光投射 白
ネイチャー(命中), 魔法集中 白;Autodoor(close).wav
ワユ(攻撃), 光投射 白
ワユ(命中), 魔法放射 白;Inori.wav
カラ, ソード
カラ(命中), 炎斬撃 ブルー Slash.wav
アナーヒター, ソード
アナーヒター(命中), 炎斬撃 イエロー Slash.wav
アパーム(攻撃), 光投射 青
アパーム(命中), 津波 Splash.wav
ザム(攻撃), 光投射 黄
ザム(命中), 石柱
フシャスラ(攻撃), 光投射 緑
フシャスラ(命中), 魔法集中 緑;Autodoor(close).wav
ウォフ・マナフ(攻撃), 光投射 青
ウォフ・マナフ(命中), 魔法集中 青;Autodoor(close).wav
アールマティ攻撃), 光投射 黄
アールマティ(命中), 魔法放射 黄;Inori.wav
ロアフィーナ(攻撃), 光投射 青
ロアフィーナ(命中), 魔法放射 青;Inori.wav
トリタ, ソード
トリタ(命中), 炎斬撃 Slash.wav
タローマティ, ソード
タローマティ(命中), 炎斬撃 グリーン Slash.wav
アータル(攻撃), 光投射 赤
アータル(命中), 炎投射
ワイ(攻撃), 光投射 緑
ワイ(命中), 風
アカ・マナフ(攻撃), 光投射 赤
アカ・マナフ(命中), 魔法集中 赤;Autodoor(close).wav
アジ・ダカーハ(攻撃), 光投射 黄
アジ・ダカーハ(命中), 魔法集中 黄;Autodoor(close).wav
パリマティ(攻撃), 光投射 緑
パリマティ(命中), 魔法放射 緑;Inori.wav
ヴォルスタット(攻撃), 光投射 赤
ヴォルスタット(命中), 魔法放射 赤;Inori.wav
ズルワン(命中), 時間逆行
創造剣『インパルス』, ソード
創造剣『デスブリンガー』, ソード
創造剣『ハルモニクス』, ソード
創造剣『ファルシオン』(準備), ソード
創造剣『ファルシオン』, 連斬撃
創造剣『ラグナロク』(準備), ソード
創造剣『ラグナロク』, 連斬撃;斬撃
創造剣『エナジーリバーサー』(準備), ソード
創造剣『レジェンド』(準備), ライトセイバー イエロー Flair.wav
創造剣『レジェンド』, 斬撃
創造剣『アストラル』(準備), ライトセイバー ホワイト Charge.wav
創造剣『アストラル』, 斬撃
降魔剣エクソシズム(準備), ビームサーベル ホワイト Charge(High).wav
降魔剣エクソシズム, 斬撃
魔法剣フレイム(準備), ソード
魔法剣アクア(準備), ソード
魔法剣アース(準備), ソード
魔法剣エアロ(準備), ソード
魔法剣フレイム(命中), 炎投射
魔法剣アクア(命中), 津波 Splash.wav
魔法剣アース(命中), 石柱
魔法剣エアロ(命中), 風
フレイムソード, ソード
フレイムソード(命中), 炎斬撃 Slash.wav
フレイムブレイド, ソード
フレイムブレイド(命中), 炎斬撃 Slash.wav
フレイムエッジ, ソード
フレイムエッジ(命中), 炎斬撃 Slash.wav
アクアソード, ソード
アクアソード(命中), 炎斬撃 ブルー Slash.wav
アクアブレイド, ソード
アクアブレイド(命中), 炎斬撃 ブルー Slash.wav
アクアエッジ, ソード
アクアエッジ(命中), 炎斬撃 ブルー Slash.wav
アースソード, ソード
アースソード(命中), 炎斬撃 イエロー Slash.wav
アースブレイド, ソード
アースブレイド(命中), 炎斬撃 イエロー Slash.wav
アースエッジ, ソード
アースエッジ(命中), 炎斬撃 イエロー Slash.wav
エアロソード, ソード
エアロソード(命中), 炎斬撃 グリーン Slash.wav
エアロブレイド, ソード
エアロブレイド(命中), 炎斬撃 グリーン Slash.wav
エアロエッジ, ソード
エアロエッジ(命中), 炎斬撃 グリーン Slash.wav
シールド防御(マグ), バリア - マグ
煉獄の爆炎, 火炎放射 赤
水神の双剣(攻撃), 津波 Splash.wav
水神の双剣(命中), 斬撃
地獄の業火, 炎
影縫い, 投げナイフ
神速突き(準備), ソード
神速突き, 刺突
引き裂く鉤爪, 爪撃
深淵の渦(命中), 強風
銀魔羅刹剣(準備), ソード
青い刃(攻撃), 津波 Splash.wav
青い刃(命中), 斬撃
風の刃(攻撃), -
アイシクル・スピア, 氷弾
地裂(命中), 石柱
角(命中), 刺突
冥界の虚水(準備), -
冥界の虚水, 津波 Splash.wav
天空への祈り(攻撃), 音符 SchoolBell.wav
ダードガー(命中), 発光
アーダラン(命中), 発光
バフラーム(命中), 発光
