カードオブデスティニー
魔法剣フレイム, Fire.wav
魔法剣アクア, Splash.wav
魔法剣アース, Shock(Low).wav
魔法剣エアロ, Storm.wav
魔法剣フレイム(解説), $(ユニット)は、魔法剣フレイムの力を解放した。その剣先から魔法の力がほとばしる。
魔法剣アクア(解説), $(ユニット)は、魔法剣アクアの力を解放した。その剣先から魔法の力がほとばしる。
魔法剣アース(解説), $(ユニット)は、魔法剣アースの力を解放した。その剣先から魔法の力がほとばしる。
魔法剣エアロ(解説), $(ユニット)は、魔法剣エアロの力を解放した。その剣先から魔法の力がほとばしる。
フレイムソード(解説), $(ユニット)は、灼熱の刃に覆われた剣で攻撃した。
フレイムブレイド(解説), $(ユニット)は、激しい炎に包まれた剣で攻撃した。
フレイムエッジ(解説), $(ユニット)は、逆巻く烈火と化した剣で攻撃した。
アクアソード(解説), $(ユニット)は、水の刃に覆われた剣で攻撃した。
アクアブレイド(解説), $(ユニット)は、激しい水流に包まれた剣で攻撃した。
アクアエッジ(解説), $(ユニット)は、渦巻く激流と化した剣で攻撃した。
エアロソード(解説), $(ユニット)は、真空の刃に覆われた剣で攻撃した。
エアロブレイド(解説), $(ユニット)は、無数のかまいたちに包まれた剣で攻撃した。
エアロエッジ(解説), $(ユニット)は、全てを切り裂く烈風と化した剣で攻撃した。
アースソード(解説), $(ユニット)は、硬質の刃に覆われた剣で攻撃した。
アースブレイド(解説), $(ユニット)は、鋭利な鉱物に包まれた剣で攻撃した。
アースエッジ(解説), $(ユニット)は、全てを砕く激震と化した剣で攻撃した。
創造剣『レジェンド』(解説), $(ユニット)は、栄光の輝きに包まれた剣で攻撃した。
創造剣『グロウアップ』(解説), $(ユニット)は、グロウアップの力を解放した。その剣が黄金色に光り輝く。
創造剣『エナジーブレイカー』(解説), $(ユニット)は、妖しい光が宿った剣で攻撃した。
創造剣『ソウルリバーサー』(解説), $(ユニット)は、ソウルリバーサーの力を解放した。その剣に不死鳥の魂が宿る。
創造剣『アストラル』(解説), $(ユニット)は、全ての元素が宿った剣で攻撃した。
創造剣『ファルシオン』(解説), $(ユニット)は、音速を超える剣で攻撃した。
創造剣『ラグナロク』(解説), $(ユニット)は、神速を超える剣で攻撃した。
創造剣『ハルモニクス』(解説), $(ユニット)は、自らの力に共鳴する剣で攻撃した。
創造剣『アンビヴァレンツ』(解説), $(ユニット)は、人の移ろいし心が宿る剣で攻撃した。
創造剣『エナジーリバーサー』(解説), エナジーリバーサーの力を解放した。その剣が暖かい光に包まれる。
降魔剣エクソシズム(解説), $(ユニット)は、強大な力が収束した剣で攻撃した。
ミルカ(解説), $(ユニット)はミルカの力を解放した。
ミルカ(統合者)(解説), $(ユニット)はミルカの力を解放した。
バルソム(解説), $(ユニット)はバルソムの力を解放した。特殊な波動が$(相手ユニット)を包む！
フラワシ(解説), $(ユニット)はフラワシの力で強化した剣で攻撃した。
ネイチャー(解説), $(ユニット)はネイチャーの力を解放した。
フヮル(解説), $(ユニット)はフヮルの力を解放した。
ワユ(解説), $(ユニット)はワユの力を解放した。
ヤスナ(解説), $(ユニット)はヤスナのガーディアに祈りを捧げた。暖かい光がアスを包み込む。
リュトン(解説), $(ユニット)はリュトンのガーディアに祈りを捧げた。暖かい光がアスを包み込む。
エフェドリン(解説), $(ユニット)はエフェドリンのガーディアに祈りを捧げた。暖かい光がアスを包み込む。
ドゥルワース(解説), $(ユニット)はドゥルワースの力を解放した。$(ユニット)は、大地の守りを得た。
ニュンポス(解説), $(ユニット)はニュンポスの力を解放した。$(ユニット)は、天翔の翼を得た。
ウォルカシャ(解説), $(ユニット)はウォルカシャの力を解放した。$(ユニット)は、聖水の加護を得た
阻止(マナフ)(解説), $(ユニット)はマナフの力を解放した。
シールド防御(マグ)(解説), $(ユニット)はマグの力を解放して攻撃を防いだ。
カラ(解説), $(ユニット)はカラの力で強化した剣で攻撃した。
アナーヒター(解説), $(ユニット)はアナーヒターの力で強化した剣で攻撃した。
アパーム(解説), $(ユニット)はアパームの力を解放した。
ザム(解説), $(ユニット)はザムの力を解放した。
ウォフ・マナフ(解説), $(ユニット)はウォフ・マナフの力を解放した。
フシャスラ(解説), $(ユニット)はフシャスラの力を解放した。
アールマティ(解説), $(ユニット)はアールマティの力を解放した。
ロアフィーナ(解説), $(ユニット)はロアフィーナの力を解放した。
アムルタート(解説), $(ユニット)はアムルタートの力を解放した。
ティシュトリヤ(解説), $(ユニット)はティシュトリヤの力を解放した。$(ユニット)の周りが特殊な力場に包まれる。
ハルワタート(解説), $(ユニット)はハルワタートの力を解放した。幸運の女神が舞い降りる。
アイオン(解説), $(ユニット)はアイオンの力を解放した。周囲の全ての時間が停止する
トリタ(解説), $(ユニット)はトリタの力で強化した剣で攻撃した。
タローマティ(解説), $(ユニット)はタローマティの力で強化した剣で攻撃した。
アータル(解説), $(ユニット)はアータルの力を解放した。
ワイ(解説), $(ユニット)はワイの力を解放した。
アカ・マナフ(解説), $(ユニット)はアカ・マナフの力を解放した。
アジ・ダカーハ(解説), $(ユニット)はアジ・ダカーハの力を解放した。
パリマティ(解説), $(ユニット)はパリマティの力を解放した。
ヴォルスタット(解説), $(ユニット)はヴォルスタットの力を解放した。
ナス(解説), $(ユニット)はナスの力を解放した。
アパオシャ(解説), $(ユニット)はアパオシャの力を解放した。$(ユニット)の周りが特殊な力場に包まれる。
