カードキャプター
反射(クロウカード『鏡』), BeamCoat.wav
攻撃無効化(クロウカード『盾』), Sword.wav
攻撃無効化(さくらカード『盾』), Sword.wav
クロウカード封印, -.wav
クロウカード『力』(命中), Punch.wav
クロウカード『力』(命中), 6;Punch(2).wav
クロウカード『力』(クリティカル), 2;Swing.wav;5;Punch.wav
クロウカード『眠』(命中), -.wav
クロウカード『霧』(命中), -.wav
クロウカード『幻』, Whiz.wav
クロウカード『幻』(命中), -.wav
クロウカード『花』(命中), -.wav
クロウカード『静』(命中), -.wav
クロウカード『闇』(命中), -.wav
クロウカード『迷』(命中), -.wav
クロウカード『影』, Whiz.wav
クロウカード『影』(命中), -.wav
クロウカード『消』(命中), -.wav
クロウカード『樹』, Whiz.wav
クロウカード『樹』(命中), Punch.wav
クロウカード『雨』, Shower.wav
クロウカード『雷』, Thunder.wav
クロウカード『嵐』, Storm.wav
クロウカード『風』, Storm.wav
クロウカード『水』, Splash.wav
クロウカード『撃』, Beam.wav
クロウカード『凍』, Storm.wav
クロウカード『凍』(クリティカル), Flair.wav
クロウカード『凍』(クリティカル), Glass.wav
クロウカード『風』&『水』, 4;Storm.wav;4;Splash.wav
クロウカード『火』(命中), Fire.wav
クロウカード『地』(命中), Shock(Low).wav
さくらカード『力』(命中), Punch.wav
さくらカード『力』(命中), 6;Punch(2).wav
さくらカード『力』(クリティカル), 2;Swing.wav;5;Punch.wav
さくらカード『影』, Whiz.wav
さくらカード『影』(命中), -.wav
さくらカード『樹』, Whiz.wav
さくらカード『樹』(命中), Punch.wav
さくらカード『雷』, Thunder.wav
さくらカード『嵐』, Storm.wav
さくらカード『風』, Storm.wav
さくらカード『水』, Splash.wav
さくらカード『火』(命中), Fire.wav
さくらカード『地』(命中), Shock(Low).wav
さくらカード『希望』, Beam.wav
火神招来(命中), Fire.wav
風牙招来, Storm.wav
雷帝招来, Thunder.wav
水龍招来, Splash.wav

クロウカード
反射(ミラー), BeamCoat.wav
攻撃無効化(シールド), Sword.wav
封印, -.wav
杖(命中), Punch.wav
ファイト(命中), 6;Punch(2).wav
ファイト(クリティカル), 2;Swing.wav;5;Punch.wav
スリープ(命中), -.wav
ミスト(命中), -.wav
イリュージョン(命中), -.wav
フラワー(命中), -.wav
サイレント(命中), -.wav
ダーク(命中), -.wav
メイズ(命中), -.wav
シャドウ(命中), -.wav
イレイズ(命中), -.wav
ウッド(命中), Punch.wav
レイン, Shower.wav
サンダー, Thunder.wav
ストーム, Storm.wav
ウインディ, Storm.wav
ウォーティ, Splash.wav
ウインディ・ウォーティ, 4;Storm.wav;4;Splash.wav
ファイアリー(命中), Fire.wav
アーシー(命中), Shock(Low).wav
