
## 等身大用

Ｅシリーズ
雷閃,                     マシンガン M_Type-0[Raisen].bmp 32
# 雷閃,                     マシンガン
4砲身30mm機関砲,          大型ガトリング
回復,                     回復魔法
チャージ,                 エネルギーフィールド展開 相手ユニットＩＤ
キャタピラ,               タックル
小型砲塔,                 キャノン砲
重機関銃,                 重機関砲
輸送車,                   風
神威,                     サブマシンガン M_M92F-CUSTOM[Kamui].bmp 32
# 神威,                     サブマシンガン
自走砲,                   キャノン砲長距離
集中砲火(攻撃),           キャノン砲長距離;キャノン砲長距離;キャノン砲長距離
集中砲火(命中),           キャノン砲長距離
ロケット砲,               ミサイル長距離
スーパーＭＬＲＳ(攻撃),   ミサイル 8
スーパーＭＬＲＳ(命中),   ミサイル長距離
対空砲,                   マシンキャノン
地対空誘導弾,             ミサイル 2
機関銃,                   機関砲
高速ＡＡＭ,               ミサイル
歩兵用銃機関銃,           重機関砲
輸送ヘリ,                 風
機銃,                     バルカン
多目的大型誘導爆弾,       投下爆弾
突撃(攻撃),               タックル
突撃(命中),               超打
小型電子熱砲,             大キャノン砲
一斉発射,                 大キャノン砲 4;大キャノン砲 4;大キャノン砲 4
高速魚雷,                 ミサイル 1
小型ＳＬＣＭ,             ミサイル長距離
重機関砲,                 重機関砲
輸送艦,                   風
攻撃衛星,                 衛星ビーム 白

戦艦
対空機銃,                 機関砲
副砲,                     キャノン砲
50サンチ砲,               大キャノン砲


## 巨大用

EPN-001GF-IZEN
シールド防御(歩兵部隊),    シールド防御 32 Unit\GATR_IZEN(I)U.bmp
歩兵(準備),                召喚 Unit\GATR_IZEN(I)U.bmp Walk(Robot).wav
歩兵(攻撃),                瞬間変形 Unit\GATR_IZEN(I)U.bmp;マシンガン M_Type-0[Raisen].bmp 32
歩兵(命中),                マシンガン
#歩兵(準備),                召喚 Unit\GATR_IZEN(I)U.bmp Walk(Robot).wav
#歩兵(攻撃),                瞬間変形 Unit\GATR_IZEN(I)U.bmp;マシンガン
#歩兵(攻撃),                マシンガン
重装歩兵(準備),            召喚 Unit\GATR_IZEN(H)U.bmp Walk(Robot).wav
