妖怪
激流(攻撃), 必殺光線 青 Shore.wav
激流(命中), 飛沫 青 Splash.wav
雷撃(攻撃), 怪光線 Thunder.wav
激風(攻撃), 風
激風(命中), 風
つむじ風(攻撃), ＭＡＰ竜巻
風斬(攻撃), 強風
風斬(命中), 竜巻;クリティカル斬撃
蔦縛り(攻撃), 触手 緑
蔦縛り(命中), 旋風 緑 FightHit(3).wav
葉刃(攻撃), 木の葉乱舞
葉刃(命中), オールレンジ;クリティカル斬撃
地斬波(命中), 石柱 crash.wav
髪縛り(攻撃), 触手 黒
髪縛り(命中), 旋風 黒 FightHit(3).wav
吸血(命中), 噛み付き
乱れ髪(攻撃), 多触手 黒;多触手 黒
乱れ髪(命中), 乱突
妖刀村正(準備), 日本刀
妖刀村正(命中), ビームサーベル 黒
烈風斬(準備), 日本刀
烈風斬(攻撃), 斬撃;シュートカッター 白 Whiz.wav
烈風斬(命中), クリティカル斬撃
絡みつき(攻撃), ニードルレーザー 白 Whiz.wav
絡みつき(命中), 旋風 白 FightHit(3).wav
切断糸(攻撃), ニードルレーザー連射 白 Whiz.wav
切断糸(命中), ニードルレーザー連射 白 Slash.wav
アームブレード(準備), エナジーブレード 黒
アームブレード(命中), ライトセイバー 黒
光角槍(攻撃), 小ビーム 黄
光角槍(命中), 小ビーム 黄
冷気(攻撃), 火炎放射 白
冷気(命中), 火炎放射 白
火炎斬り(攻撃), 火炎放射
火炎斬り(命中), 火炎放射;爪撃
羽隠れ(攻撃), 羽
羽隠れ(命中), 羽
歌声(ＭＡＰ)(攻撃), ＭＡＰ音符
歌声(ＭＡＰ)(命中), 音符
歌声(攻撃), 音符
歌声(命中), 音符
マリオネットⅠ(準備), -
マリオネットⅠ(攻撃), ニードルレーザー連射 白 Whiz.wav
マリオネットⅠ(命中), 風 FightHit(3).wav
絡みつき(攻撃), 小ビーム 黒 Slash.wav
絡みつき(命中), 旋風 黒 FightHit(3).wav
破壊光線, 中ビーム 黄
蛸足(攻撃), 触手 赤
蛸足(命中), 打撃
蛸足(MAP)(攻撃), 多触手 赤
蛸足(MAP)(命中), 多触手 赤
くちばし(命中), 刺突
フェイント斬り(攻撃), 斬撃;斬撃
フェイント斬り(命中), 爪撃
連続斬り(命中), 爪撃
衝角(命中), 強打
稲妻, 怪光線
スパークソード, 大剣
スパークファイナル(準備), 粒子集中 赤;炎 赤
スパークファイナル(攻撃), 実弾発射 Shield\EFFECT_BeamShield(Yellow)01.bmp 32 Beam.wav 発光 残像
スパークファイナル(命中), 連続爆発 4
物体覚醒(攻撃), ３ＷＡＹ射出
物体覚醒(命中), 連打
トラクタービーム(攻撃), 必殺光線 白
トラクタービーム(命中), 光柱 Charge.wav
連続突き(攻撃), 格闘;タックル
連続突き(命中), 連突
大型爆弾(MAP)(攻撃), 爆弾;ＭＡＰ大爆発
大型爆弾(攻撃), 爆弾
大型爆弾(命中), 超爆発
草木使い(攻撃), ＭＡＰ煙 緑 Whiz.wav
シ号雷撃(攻撃), 特殊光線 青 Charge.wav;中ビーム 白 Thunder.wav
シ号雷撃(命中), 中ビーム 白 Thunder.wav
水撃槍(MAP)(攻撃), ＭＡＰ持続ビーム 青 Splash.wav
水撃槍(MAP)(命中), 飛沫 青 Splash.wav
水撃槍(攻撃), 中ビーム 青 Splash.wav
水撃槍(命中), 飛沫 青 Splash.wav
衝撃波, スーパータックル 白
衝撃波(MAP)(攻撃), ＭＡＰ移動タックル 白
悲鳴, 音波
破壊光線銃, スーパーガン
魚使い, ピラニア召喚
マリオネットⅡ, 人形召喚
シルバーバレル, リボルバー 発光

汎用
接着弾(準備), リボルバー 発光
接着弾(攻撃), リボルバー 発光
接着弾(命中), 泡球
煙幕弾(準備), リボルバー 発光
煙幕弾(攻撃), リボルバー 発光
煙幕弾(命中), 煙
レベッカ, リボルバー 発光
ぶん殴り(散弾銃), 殴打武器 Weapon\EFFECT_ShotGun01.bmp
てきとー印の散弾銃, ショットガン
