人造人間
ゼロワンカット(攻撃),			格闘 Swing(2).wav
ゼロワンカット(命中),			ダメージ FightHit(1).wav
ゼロワンカット(とどめ),			縦分割 Slash(2).wav
ゼロワンカット(とどめ),			横分割 Slash(2).wav
ゼロワンカット(とどめ),			-
ゼロワンカット(とどめ),			-
ゼロワンカット(とどめ),			-
ゼロワンキック(攻撃),			キック Swing(2).wav
ゼロワンキック(命中),			強打 FightHit(1).wav
ブラストアタック(攻撃),			発光 白 BiyonB@11.wav
ブラストアタック(命中),			発光 白 Glass.wav;小爆発
ブラストパワー,				特殊光線 ホワイト LaserGun.wav
ゼロワンドライバー(攻撃),		スピンジャンプアタック 白 Drill.wav
ゼロワンドライバー(命中),		スピンジャンプアタック 白 FightHit(1).wav
ブラストエンド(攻撃),			スーパーキック -.wav;@戦闘アニメ_スーパーキック命中 FightHit(1).wav;スーパーパンチ ホワイト Whiz.wav;発光 白 Sharara.wav
ブラストエンド(命中),			発光 白 Glass.wav
ブラストエンドクラッシュ(攻撃),		スーパーパンチ ホワイト Whiz.wav;発光 白 Sharara.wav
ブラストエンドクラッシュ(命中),		発光 白 Glass.wav;2;大爆発
ダブルブラザーアタック,			同時必殺光線 ホワイト
ブラストレザー(準備),			同時粒子集中 白
ブラストレザー(攻撃),			破壊光線 LaserGun.wav
ブラストレザー(命中),			破壊光線 LaserGun.wav
トリプルサークライン(準備),		-
トリプルサークライン(攻撃),		ＭＡＰ強風 Charge(High).wav
トリプルサークライン(命中),		強風 LaserGun.wav
小型ミサイル,				小型ミサイル 2
ゼロワンファイヤー,			火炎放射
ダブルマシンアタック(攻撃),		タックル Bike.wav
ダブルマシンアタック(命中),		タックル Crash.wav
トランペット(攻撃),			格闘 Whiz.wav
トランペット(命中),			強打 FightHit(1).wav
ゼロワンズ・サン,			特殊光線 ホワイト
格闘(攻撃),				格闘  Whiz.wav
格闘(命中),				強打 FightHit(1).wav
チェンジ(ゼロワン),			発光 白 Sharara.wav
ビジンダーキック(攻撃),			スーパーキック Whiz.wav
ビジンダーキック(命中),			スーパーキック FightHit(1).wav
ハープアロー(準備),			ハープ
ハープアロー(攻撃),			クロスボウ Music\EFFECT_Harp01.bmp 32 Bow.wav
ハープアロー(命中),			矢
ビジンダーシュート(攻撃),		スーパーキック 白 前転 Whiz.wav
ビジンダーシュート(命中),		スーパーキック 白 FightHit(1).wav
ビジンダーレザー(攻撃),			文字ビーム ◎ 黄 LaserGun.wav
ビジンダーレザー(命中),			爆発
チェンジ(ビジンダー),			桜吹雪 Sharara.wav
鎖分銅,					分銅
電磁仕込み銃(準備),			射撃武器 Weapon\EFFECT_Rod01.bmp 32 Reload.wav
電磁仕込み銃(攻撃),			ライフル Weapon\EFFECT_Rod01.bmp 32 Rifle.wav
電磁仕込み銃(命中),			銃弾 Explode(Small).wav
仕込み杖(準備),				和槍
仕込み杖(攻撃),				斬撃 Swing(2).wav
仕込み杖(命中),				斬撃 FightHit(1).wav
雷神村正(準備),				長ドス
雷神村正(攻撃),				斬撃 Swing(2).wav
雷神村正(命中),				斬撃 FightHit(1).wav
風神村雨(準備),				長ドス
風神村雨(攻撃),				斬撃 Swing(2).wav
風神村雨(命中),				斬撃 FightHit(1).wav
ワルダー燕返し(準備),			長ドス
ワルダー燕返し(攻撃),			反転上昇;なぎ払い
ワルダー燕返し(命中),			横大斬撃 Slash(4).wav
ワルダー燕返し(とどめ),			横分割
月面飛行蹴り(攻撃),			スーパーキック 反転 Whiz.wav
月面飛行蹴り(命中),			スーパーキック FightHit(1).wav
ハカイダーショット(準備),		射撃武器 Bitmap\Weapon\EFFECT_KDR_HakaiderShot.bmp 32 Reload.wav
ハカイダーショット(攻撃),		ライフル Bitmap\Weapon\EFFECT_KDR_HakaiderShot.bmp 32 Rifle.wav;ライフル Bitmap\Weapon\EFFECT_KDR_HakaiderShot.bmp 32 Rifle.wav
ハカイダーショット(命中),		銃弾 Explode(Small).wav;銃弾 Explode(Small).wav
地獄五段返し(攻撃),			格闘 Swing.wav
地獄五段返し(命中),			ジャンプバスター Crash.wav
ギロチン落とし(攻撃),			スーパーキック 前転 Whiz.wav
ギロチン落とし(命中),			ドライバー FightHit(1).wav
アイアンベルト(準備),			Whip.wav
アイアンベルト(攻撃),			ワイヤー Bow.wav
アイアンベルト(命中),			強打 Whip.wav
ハカイダーシュート(攻撃),		格闘 Whiz.wav
ハカイダーシュート(命中),		地獄車;投げ飛ばし Crash.wav
アウトローキック(攻撃),			スーパーキック 反転 Whiz.wav
アウトローキック(命中),			スーパーキック FightHit(1).wav
