超人
キン肉フラッシュ, Beam.wav
キン肉ビーム, Beam.wav
４８の殺人技(命中), Punch.wav
５２の関節技, BreakOff.wav
５２の関節技(命中), Shock(Low).wav
超人絞殺刑(命中), Shock(Low).wav
キン肉バスター(命中), Explode.wav
マッスルスパーク(準備), Punch(4).wav
マッスルスパーク(命中), 1;Swing.wav;4;BreakOff.wav;1;Swing.wav;6;BreakOff.wav;8;Jet.wav;Explode(Far).wav
未完成マッスルスパーク(命中), 6;BreakOff.wav;8;Jet.wav;Shock(Low).wav
コショウ, Swing.wav
コショウ(命中), Whip.wav
テキサスコンドルキック(命中), 4;Cannon.wav;Punch.wav
スピニング・トゥホールド(命中), 2;Swing.wav;BreakOff.wav
カーフ・ブランディング(命中), 4;Cannon.wav;Crash.wav
テキサスクローバーホールド(命中), 1;BreakOff.wav;BreakOff.wav
アノアロファイヤー, Fire.wav
ファイヤータービン, Storm.wav
タワーブリッジ(命中), 4;BreakOff.wav;GunPod.wav
ロビンスペシャル(命中), 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;15;Swing.wav;10;Jet.wav;BreakOff.wav
ベアークロー, Saber.wav
ベアークロー(命中), Slash.wav
ベアークロー(命中), Stab.wav
ベアークロー(命中), 3;Slash.wav;Slash.wav
ウォーズ・レッグブリーカー(命中), BreakOff.wav
スクリュードライバー, 2;Swing.wav;Drill.wav
スクリュードライバー(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav
パロ・スペシャル(命中), 1;BreakOff.wav;BreakOff.wav
×12スクリュードライバー(命中), Glass.wav
功夫殺法(命中), Combo.wav
功夫殺法(命中), Bazooka.wav
レッグラリアート(命中), Crash.wav
百戦百勝脚, Cannon.wav
百戦百勝脚(命中), Bazooka.wav
九龍城落地(命中), Shock(Low).wav
モンゴルボンバー(命中), Bazooka.wav
地獄のシャワー, Shower.wav
ブレーンクロー(命中), BreakOff.wav
ハンブルグの黒い霧(命中), 2;BreakOff.wav;Punch.wav
ベルリンの赤い雨(命中), 1;Swing.wav;Slash.wav
ブレーメンサンセット(命中), Shock(Low).wav
超人相撲(命中), Shock(Low).wav
ルービックキューブ張り手(命中), -.wav
合掌ひねり(命中), Shock(Low).wav
バッファローＢＯＭＢ(命中), Shock(Low).wav
超人十字架落とし(命中), 2;Swing.wav;Explode.wav
ハリケーン・ミキサー, Combo.wav
ハリケーン・ミキサー(命中), Bazooka.wav
ハリケーン・ヒート(命中), 3;BreakOff.wav;4;Swing.wav;2;Stab.wav;Drill.wav
トマホークチョップ(命中), Punch.wav
アパッチのおたけび, 4;AntiShipMissile.wav;4;AntiShipMissile.wav;AntiShipMissile.wav
マッスルドッキング, Explode.wav
マッスルドッキング(カメハメ), Explode.wav
悪魔殺法デビルシャーク, 2;Drill.wav;Drill.wav
