汎用
光のラケット, 光鎚 黄色
ガス拳銃(月たま), 護身銃
短剣(月たま), ダガー
水色の魔よけ札(準備), 投擲武器 Music\EFFECT_GuitarPick(LightBlue)01.bmp 8
水色の魔よけ札(攻撃), 白兵武器
水色の魔よけ札(命中), フラッシュ 水色
シラカバの槍, 石槍
シラカバの槍(命中), 刺突;バラ吹雪 白
火の精の槍(クレヨン), 蛇矛(突２)
火の精の槍(クレヨン)(命中), 刺突;炎
ダミー(年の魔王の傘), @戦闘アニメ_時間逆行準備 相手ユニットＩＤ
尺八(クレヨン)(準備), 振る武器 Music\EFFECT_Recorder01.bmp
尺八(クレヨン)(攻撃), 白兵武器
尺八(クレヨン)(命中), 点打
音食いもうろうさん, 煙
攻撃無効化(青空の水色大福), マント 水色


クレヨン王国
ショウノコンゴウ, 棒
ダイノコンゴウ, 棍棒
格闘, 格闘
牙, 噛み付き
ＤＤＴ, 薬品
かがやく日本刀(準備), 光剣 紫
かがやく日本刀(攻撃), 斬撃
かがやく日本刀(命中), 光斬撃 紫
十二本の刀(準備), 光剣 紫 二刀流
十二本の刀(攻撃), 回転斬撃
十二本の刀(命中), 光斬撃乱舞 紫
銀の指輪(準備), 回転投擲武器 武器画像=リング付きビーム弾(白)
銀の指輪(攻撃), 回転投擲武器 武器画像=リング付きビーム弾(白)
銀の指輪(命中), 大氷柱
左手ければおしまいよ(準備), 光球集中 紫
左手ければおしまいよ(攻撃), キック
左手ければおしまいよ(命中), 点打;光球放出 黄色
投げ縄, フックロープ吊り上げ
光のリュウ(準備), 光噴出 白
光のリュウ(攻撃), 触手 黄色
光のリュウ(命中), 竜炎 黄色 発光
心の玉(攻撃), 格闘
心の玉(命中), 光球集中 白
カラスのパトロール隊, 烏
サーベル, サーベル
タックル, タックル
水の精の力, 光投射 水色
氷の剣(準備), シミター
氷の剣(攻撃), 大炎斬撃 水色 Flair.wav
氷の剣(命中), 凍斬撃
突撃(水), スーパータックル 水色
突撃(火), スーパータックル オレンジ
火の精の玉(準備), 投擲武器 Common\EFFECT_BubbleSphere(Red)01.bmp 16
火の精の玉(攻撃), 投擲武器 Common\EFFECT_BubbleSphere(Red)01.bmp 16;大気放出 オレンジ 相手ユニットＩＤ
火の精の玉(命中), 双眼球 オレンジ
水の精の玉(準備), 投擲武器 Common\EFFECT_BubbleSphere(Blue)01.bmp 16
水の精の玉(攻撃), 投擲武器 Common\EFFECT_BubbleSphere(Blue)01.bmp 16;大気放出 水色 相手ユニットＩＤ
水の精の玉(命中), 双眼球 水色
病気返し(武装), 格闘
モンシロチョウ中隊(攻撃), 妖精
モンシロチョウ中隊(命中), 妖精
マツバ小銃, ニードル連射
オナモミ20mm機関砲, 重機関砲
高飛び空想流(準備), 振る武器 武器画像=ステッキ(逆)
高飛び空想流(攻撃), 振り下ろし
高飛び空想流(命中), ダメージ
花ウサギの力(準備), 光球放出 黄色;変形 CRAYON_HanausagiRope(H)U.bmp
花ウサギの力(攻撃), スーパータックル 黄色
花ウサギの力(命中), スーパータックル 黄色;3;光大噴出 黄色
花ウサギの力(花ウサギ)(準備), 光球放出 黄色
花ウサギの力(花ウサギ)(攻撃), スーパータックル 黄色
花ウサギの力(花ウサギ)(命中), スーパータックル 黄色;3;光大噴出 黄色
無数の花ウサギ(準備), 大気吸収;2;バラ吹雪 白
無数の花ウサギ(攻撃), バラ吹雪 白
無数の花ウサギ(命中), 光圧縮;光柱 黄色
ステッキ(準備), 振る武器 武器画像=ステッキ(逆)
ステッキ(攻撃), 振り下ろし
ステッキ(命中), ダメージ
くさい息, 旋風 緑
くさい息【ＭＡＰ】, 旋風 緑
くちばし, 格闘
内部破壊(準備), 煙;変形 Anime\Animal\EFFECT_Spider01.bmp
内部破壊(攻撃), 本体落下
内部破壊(命中), @戦闘アニメ_亀裂発生クリティカル
さすまた, モール
雪玉(準備), 投擲武器 Bullet\EFFECT_STG_Bullet(LightBlue)02.bmp 16
雪玉(攻撃), 投擲武器 Bullet\EFFECT_STG_Bullet(LightBlue)02.bmp 16
雪玉(命中), 煙 水色
猟犬, 狼
猟銃, ショットガン
怪力, 強打
ダマーニナの鎌, 大鎌
蹴り, キック
目突き(攻撃), 格闘
目突き(命中), 刺突
するどいナイフ, ドス突撃
ワラビぼうき, 振る武器 DGoods\EFFECT_BambooBroom01.bmp
体当たり, タックル
奉納用木刀, 木刀突撃
食いつき, 噛み付き
ナイフ＆木刀(準備), 左右別武器 Weapon\EFFECT_Bokutou01.bmp - - Weapon\EFFECT_Dosu01.bmp
ナイフ＆木刀(攻撃), 振り下ろし;刺突突撃
ナイフ＆木刀(命中), 刺突突撃;2;乱打
キジケン部隊(準備), 鳩召喚
キジケン部隊(攻撃), 鳩;鳩;鳩
キジケン部隊(命中), 乱打
連携攻撃(準備), 振る武器 DGoods\EFFECT_BambooBroom01.bmp
連携攻撃(攻撃), 豚;鳩
連携攻撃(命中), 踏み潰し
マート＝ブランカ隊(攻撃), 馬;黒豹
マート＝ブランカ隊(命中), 強打;マシンガン;連続爆発
乗馬鞭, 鞭
青黒い水(攻撃), 出血
青黒い水(命中), 液体噴射 青
夜咲きカズラ(準備), バラ 青
夜咲きカズラ(攻撃), 竜巻 青
夜咲きカズラ(命中), 竜巻 青;液体噴射 青
大鎌, 大鎌
にくしみを飲む(攻撃), 格闘
にくしみを飲む(命中), 吸収 青
宝石の雨(攻撃), 拡散ビーム 水色
宝石の雨(命中), 拡散ビーム 水色;フラッシュ
ピストル(ダガー), フリントロック銃
ありのままに, 音符 ピンク
無数の手足(攻撃), 触手 白
無数の手足(命中), 包囲ビーム 白
うどん流相撲, 地獄車
分身(黒の銀行), 緊急テレポート - 黒の銀行
格闘(美穂), 格闘
黒の原液(準備), 薬品 黒
黒の原液(攻撃), 格闘
黒の原液(命中), 液体噴射 黒
黒の原液(クリティカル), 光球集中 黒
黒アリ, 鼠召喚
黒雲(準備), 大気吸収 黒
黒雲(攻撃), 竜巻 黒
黒雲(命中), 竜巻 黒;津波
黒クマ, 黒豹召喚
ナイフ, ナイフ
ピストル, ピストル
恐ろしい姿(準備), 煙 赤
恐ろしい姿(攻撃), -
恐ろしい姿(命中), -
トサカ(攻撃), 格闘
トサカ(命中), 落盤 赤
ヒトデ(準備), 変形 Anime\Bullet\EFFECT_StarBullet(Red)02.bmp
ヒトデ(攻撃), バック転
ヒトデ(命中), 刺突
ザリガニ(準備), 変形 Anime\Animal\EFFECT_Scorpion01.bmp
ザリガニ(攻撃), スーパーキック 赤
ザリガニ(命中), スーパーキック 赤
マグマ(準備), 光球集中 オレンジ
マグマ(攻撃), スーパータックル 赤
マグマ(命中), 火柱 赤
藤色の力, 光球 紫
ベージュの力, 光球 オレンジ
地球の腎臓, オーラ オレンジ
催眠術(攻撃), 双眼球 白
催眠術(命中), -
荒戦車軍団(準備), 振る武器 BodyParts\EFFECT_PowerShovel01.bmp
荒戦車軍団(攻撃), 振る武器突撃 BodyParts\EFFECT_PowerShovel01.bmp
荒戦車軍団(命中), 振る武器突撃 BodyParts\EFFECT_PowerShovel01.bmp
富士戦車軍団(準備), 振る武器 BodyParts\EFFECT_PowerShovel01.bmp
富士戦車軍団(攻撃), 振る武器突撃 BodyParts\EFFECT_PowerShovel01.bmp
富士戦車軍団(命中), 振る武器突撃 BodyParts\EFFECT_PowerShovel01.bmp
富士戦車軍団(合体)(準備), 振る武器 BodyParts\EFFECT_PowerShovel01.bmp
富士戦車軍団(合体)(攻撃), 振る武器突撃 BodyParts\EFFECT_PowerShovel01.bmp
富士戦車軍団(合体)(命中), 振る武器突撃 BodyParts\EFFECT_PowerShovel01.bmp
富士戦車軍団(合体し)(準備), 振る武器 BodyParts\EFFECT_PowerShovel01.bmp
富士戦車軍団(合体し)(攻撃), 振る武器突撃 BodyParts\EFFECT_PowerShovel01.bmp
富士戦車軍団(合体し)(命中), 振る武器突撃 BodyParts\EFFECT_PowerShovel01.bmp
陸部隊, 格闘
空部隊, 烏
海部隊, ピラニア
毒針, 刺突
いたずら, 格闘
色彩の力, 虹色光線
槍, スピア
フォーク, 振る武器 DGoods\EFFECT_Fork01.bmp
しゃもじ, 振る武器 DGoods\EFFECT_Scoop01.bmp.bmp
ケチャップ砲(準備), 大砲
ケチャップ砲(攻撃), 水流 赤
ケチャップ砲(命中), 水流 赤
ちくわ砲, 大砲
角笛, 音波 水色
にまあ！, 煙
矢, 弓矢連射
飲み込む(攻撃), 飛びかかり
飲み込む(命中), 重力弾
暴れる, 乱打
アメフラシ, 拡散ビーム 水色 Shower.wav
大波, 津波
踊る, スピン拡散
突風, 竜巻
星, 流星
青龍刀, 青龍刀
飛びかかる(準備), 青龍刀
飛びかかる(攻撃), 飛びかかり
飛びかかる(命中), 唐竹割り
こうもりの群れ, 蝙蝠
さけび声, 音波 黒
竜巻, 竜巻
挑発(武装), 双眼球
舌, 舌
鉄砲水, 水流
水支配(攻撃), フラッシュ 水色
水支配(命中), 球体圧縮 水色
呪い(攻撃), 大気放出 白
呪い(命中), 光柱 紫
豪雨, 大水流
炎, 炎投射
燃える槍, 蛇矛(突２)
燃える槍(命中), 刺突;炎
噴火, 火柱
赤信号, 発光 赤
ウヤヒムガス, 煙
突撃, 強打
枝, スピンアタック
つなひき, 立ち固め
腕, なぎ払い
刀, 日本刀
小銃, ライフル
懇願, 髑髏弾 青
機関銃, ガトリング
火炎放射, 炎投射
機銃, 内蔵ガトリング
爆撃, 投下爆弾
変身攻撃(準備), 変形 Anime\Animal\EFFECT_Pigeon01.bmp
変身攻撃(攻撃), 格闘
変身攻撃(命中), ダメージ
雲, 大気放出 白
ガマガエル, 煙 オレンジ
白ウサギ(準備), -
白ウサギ(攻撃), 打撃突撃
白ウサギ(命中), 旋回光弾 白
消毒光線, 虹色必殺光線
死魚の雨, 髑髏弾 水色
ひげ, 光連続なぎ払い 水色
漁, ネット
魔界(攻撃), 魔法放射 水色
魔界(命中), 魔法集中 水色
土木機械(準備), 振る武器 BodyParts\EFFECT_PowerShovel01.bmp
土木機械(攻撃), 白兵連撃
土木機械(命中), 岩柱
終末(準備), 時間
終末(攻撃), 隕石
終末(命中), 隕石;フラッシュ 黄色
リス部隊, 鼠
リス部隊(命中), 噛み付き
トビ一族, 烏
トビ一族(命中),  液体噴射 白
ドクガ師団, 蜘蛛
カバキコマチグモ部隊, 蜘蛛
イタチ部隊(攻撃), 狼
イタチ部隊(命中), 煙 黄色
マムシ部隊, 蛇
スズメバチ師団, 蜂
粘着つぼ, 薬品 白
憑依(攻撃), 格闘
憑依(命中), 木の葉乱舞
年取り(攻撃), 格闘
年取り(命中), 時間
崩落, ＭＡＰ落盤
年食い(攻撃), 格闘
年食い(命中), 時間逆行
前世返り(攻撃), 本体落下
前世返り(命中), 肩乗り;時間逆行
ブーメランちゃん, 鳩
冷気, 吹雪
渾身の一撃(準備), 光球集中 黄色
渾身の一撃(攻撃), 振り下ろし
渾身の一撃(命中), 強打
悪夢刺し, 煙 紫
肢(準備), 振る武器 BodyParts\EFFECT_Claw(Black)01.bmp
肢(攻撃), 連続なぎ払い
肢(命中), なぎ払い
黒雲鉄道, 旋風 黒
地響き, ＭＡＰ地震
捕食, 格闘
