クレヨン王国
かがやく日本刀(解説), $(パイロット)は髪の毛を日本刀に変え、攻撃をかけた。
十二本の刀(解説), $(パイロット)は髪の毛を十二本の刀に変え、攻撃をかけた。
光のリュウ(解説), $(パイロット)は髪の毛を光のリュウに変え、攻撃をかけた。
無数の花ウサギ(解説), $(パイロット)は無数の花ウサギたちを呼び出した。
まゆみ号(解説), $(パイロット)は愛の言葉を叫んだ。
ナイフ＆木刀(解説), アラエッサはストンストンと同時攻撃をかけた。
連携攻撃(解説), アラエッサはストンストンと連携して攻撃をかけた。
キジケン部隊(解説), $(パイロット)はキジのケンちゃんとその部下を呼び出した。
マート＝ブランカ隊(解説), $(パイロット)はマート＝ブランカとその部下を呼び出した。
黒アリ(解説), $(パイロット)はカードから黒アリを引き出した。
黒雲(解説), $(パイロット)はカードから黒雲を引き出した。
黒クマ(解説), $(パイロット)はカードから黒クマを引き出した。
黒ウマ(解説), $(パイロット)はカードから黒ウマを引き出した。
分身(黒の銀行)(解説), $(パイロット)はとっさに黒の銀行へ退避した。
地球の腎臓(解説), $(パイロット)は地球の腎臓を取り出し占いを行った。
