グランディア
ジオブレード, ソード
魔剣ヴァルボルク, 黒剣
グラナサーベル, 斬撃武器 Anime\EFFECT_GRANDIA2_GranaSabar.bmp
天征剣(準備), -
天征剣(攻撃), 振り上げ
天征剣(命中), アッパー
剣舞・紫電, 分身斬撃
飛翔天征剣(攻撃), 烏;振り上げ大斬撃
飛翔天征剣(命中), 電撃;振り上げ大斬撃
天魔竜陣剣, ＭＡＰオーラ 赤
インパクトボム(攻撃), 投擲武器 Anime\DGoods\EFFECT_PlasticCapcule(White)01.bmp
インパクトボム(命中), 打撃
ナイトメアボール, 泡
白の黙示禄, 中ビーム 白
ヒールクラッシュ, 踏み潰し
クロスボウ, クロスボウ
餓喰の舌, 舌;噛み付き
呪縛の瞳(攻撃), 邪眼解放
呪縛の瞳(命中), 魔法集中 黒
怨恨の爪, 爪撃
堕天の翼, 波動放射 黒 残像
マルチプルナイフ, ショートソード
黄金の衝撃(攻撃), 投擲武器 Anime\DGoods\EFFECT_PicopicoHammer01.bmp
黄金の衝撃(命中), 打撃
必殺！雪玉弾(攻撃), 投擲武器 Anime\Fire\EFFECT_FlameThrowerHit(White)07.bmp
必殺！雪玉弾(命中), 打撃
昇竜斬, 振り上げ大斬撃
ブレイブダーク, ショートソード
氷翔斬(攻撃), 斬撃
氷翔斬(命中), 凍斬撃
真・昇竜斬, 斬撃;振り上げ大斬撃
バトルアックス, 巨大斧
獣牙断, 唐竹割り
獣王爆炎陣, 火柱
獣王金剛撃, 唐竹割り
絶風, 地表衝撃波 白
戦輪, 斬撃武器 Anime\Weapon\EFFECT_Chakram01.bmp
蓮華, チャクラム
乱舞・滅, 乱打;アッパー
疾風, 地表衝撃波 白
グラギン, 岩柱 赤
ヤングクロウ, 斬撃
バーサクランチ, 噛み付き
レッグドリル(攻撃), 打突
レッグドリル(命中), 大刺突 Drill.wav
ズンガ(命中), 大爆発
マグナクロウ, 斬撃
マグナボーリング(攻撃), 打突
マグナボーリング(命中), 大刺突 Drill.wav
マグナリッパー, 大斬撃
触腕, 多触手
踊り食い, 触手乱舞
花粉, ＭＡＰ煙 黄
種, ベアリング
目玉コウモリ(命中), 包囲ビーム 黒
炎獄の吐息, 火炎放射
テイルピアサー, 刺突
魔陣剣, ＭＡＰオーラ 黒
雷撃斬り(攻撃), 斬撃
雷撃斬り(命中), 雷斬撃
邪角妖襲撃(攻撃), 刺突
邪角妖襲撃(命中), 大刺突
鬼哭冥王剣(攻撃), 斬撃
鬼哭冥王剣(命中), 大炎斬撃 黒
拳, 格闘 
腐食ガス, 煙 黄
触手, 多触手
体液絞殺, ２連ショックビーム 赤
黒霧, ＭＡＰ煙 黒
血管, 多触手 赤
無間の刃, 石柱 黒
ハンマースロー(命中), 打突
デットクロー, 爪撃
破壊の光, 中ビーム 黄
シャキア, 氷弾
テンライ, 大電撃
デズン(命中), 超爆発






