
ゴッドサイダー
神魔血破連弾, FastGun.wav
神魔血破連弾(命中), 2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
神魔血破連弾(クリティカル), Charge(high).wav
神鎧剣, Swing.wav
神鎧剣(命中), Slash.wav
粒子光散斬, 3;Beam.wav;Beam.wav
粒子光散斬(命中), 3;Explode(Small).wav;Explode.wav
神魔装弾, Swing.wav
神魔装弾(命中), Bazooka.wav
怨霊散弾, 2;Bomb.wav;2;Bomb.wav;Bomb.wav
怨霊散弾(命中), 2;Stab.wav;Stab.wav
降魔破弓, Bow.wav
降魔破弓(命中), Stab.wav
神魔血破弾, 3;BeamSaber.wav;Swing.wav
神魔血破弾(命中), Shock(Low).wav
神魔血破弾(命中), Explode(Small).wav
怨霊魔鬼雨, 4;Thunder.wav;Shower.wav
怨霊魔鬼雨(命中), 2;Whip.wav;2;Whip.wav;Whip.wav
神魔血破斬, 3;BeamSaber.wav;Swing.wav
神魔血破斬(命中), 3;Slash.wav;Explode(Small).wav
神魔血破斬(クリティカル), Charge(high).wav
神魔電雷血破弾, 3;BeamSaber.wav;Swing.wav
神魔電雷血破弾(命中), 4;Thunder.wav;Explode(Small).wav
神魔電雷血破弾(クリティカル), Charge(high).wav
神魔驚大血破弾, 3;BeamSaber.wav;Swing.wav
神魔驚大血破弾(命中), 4;Charge.wav;Explode(Far).wav
神魔驚大血破弾(クリティカル), Charge(high).wav
飛炎神魔血破弾, 2;Swing.wav;Bomb.wav
飛炎神魔血破弾(命中), 3;Slash.wav;4;Charge.wav;4;Beam.wav;Explode(Small).wav
飛炎神魔血破弾(クリティカル), Charge(high).wav
光刃旋回爆, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
光刃旋回爆(命中), 2;Slash.wav;2;Slash.wav;Slash.wav
神魔岩裂旋, 3;Drill.wav;FastGun.wav
神魔岩裂旋(命中), Slash.wav
元素短剣「命」, Swing.wav
元素短剣「命」(命中), Slash.wav
神魔血爆蹴, Swing.wav
神魔血爆蹴(命中), Punch.wav
神魔真空指, Storm.wav
神魔真空指(命中), Stab.wav
神魔血破砲弾, Bazooka.wav
神魔血破砲弾(命中), Explode(Small).wav
神魔血破砲弾(クリティカル), Charge(high).wav
神魔血破弾二重滅, 3;BeamSaber.wav;2;Swing.wav;Swing.wav
神魔血破弾二重滅(命中), 3;Shock(Low).wav;5;Shock(Low).wav;Explode(Far).wav
神魔血破弾二重滅(クリティカル),  Charge(high).wav
ペルセポリス神魔碑文, 3;BeamSaber.wav;5;Charge.wav;Beam.wav
ペルセポリス神魔碑文(命中), Explode(Nuclear).wav
絶無元素聖剣, Swing.wav
絶無元素聖剣(命中), Slash.wav
堕亜愚残輪, BeamCoat.wav
堕亜愚残輪(命中), Slash.wav
神鎧聖剣, Swing.wav
神鎧聖剣(命中), Slash.wav
千手斬舞, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
千手斬舞(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
千手波動殺, Swing.wav
千手波動殺(命中), 5;FastGun.wav;Explode(Small).wav
千手波動斬舞, 2;Sword.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
千手波動斬舞(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
遠隔波動爆殺, 2;Swing.wav;Bomb.wav
遠隔波動爆殺(命中), 5;FastGun.wav;Explode(Small).wav
魔滅十字剣, 3;Swing.wav;Swing.wav
魔滅十字剣(命中), 3;Slash.wav;Slash.wav
千手爆塵斬舞, 3;BeamSaber.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
千手爆塵斬舞(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;3;Slash.wav;Explode(Small).wav
ナパーム・ランチャー, Cannon.wav
ナパーム・ランチャー(命中), Fire.wav
タックル, Swing.wav
タックル(命中), Shock(Low).wav
ジーザスフラッシュ, Beam.wav
ジーザスフラッシュ(命中), Explode(Small).wav
Ｊ・ショルダークラッシュ, Swing.wav
Ｊ・ショルダークラッシュ(命中), Shock(Low).wav
Ｊ・Ｄ・Ｐ・フラッシュ, 3;Beam.wav;3;Beam.wav;Beam.wav
Ｊ・Ｄ・Ｐ・フラッシュ(命中), Explode(Small).wav
タッチダウンデストロイヤー, Swing.wav
タッチダウンデストロイヤー(命中), Crash.wav
Ｊ・グレイテストフラッシュ, 5;Charge.wav;Beam.wav
Ｊ・グレイテストフラッシュ(命中), Explode(Far).wav
エルボースピンバスター, Swing.wav
エルボースピンバスター(命中), Punch.wav
エルボースピンバスター(命中), Shock(Low).wav
ウィンディレクイエム, FastGun.wav
ウィンディレクイエム(命中), 2;Bazooka.wav;2;Bazooka.wav;Bazooka.wav
ウィンディ・Ｒ・ソバット, Swing.wav
ウィンディ・Ｒ・ソバット(命中), Punch.wav
ウィンディ・Ｒ・ソバット(命中), Crash.wav
バインド, Swing.wav
バインド(クリティカル), BreakOff.wav
水嵐, Storm.wav
水嵐(命中), Splash.wav
弥勒冥界光, Whiz.wav
鬼哭敷圧膨殺, Swing.wav
鬼哭敷圧膨殺(クリティカル), BreakOff.wav
冥界逆傷, Sharara.wav
賢者の石, 5;Charge.wav;Beam.wav
賢者の石(命中), Fire.wav
聖なる義手, Swing.wav
聖なる義手(命中), Punch.wav
義手回転斬, 2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
義手回転斬(命中), Slash.wav
滅義怒降魔輪, 4;Fire.wav;LaserGun.wav
滅義怒降魔輪(命中), Slash.wav
義手嵐断肩, Swing.wav
義手嵐断肩(命中), Punch.wav
滅義怒抜施弾, 4;Fire.wav;Beam.wav
滅義怒抜施弾(命中), Explode(Small).wav
猛禽弾刺, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
猛禽弾刺(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
猛禽変化(準備), Bird.wav
猛禽変化, Jet.wav
猛禽変化(命中), Stab.wav
猛禽変化(命中), Crash.wav
元素短剣「トロイア」, Swing.wav
元素短剣「トロイア」(命中), Slash.wav
反射, 3;Sword.wav;Beam.wav

デビルサイダー
神鎧剣, Swing.wav
神鎧剣(命中), Slash.wav
怨霊散弾, 2;Bomb.wav;2;Bomb.wav;Bomb.wav
怨霊散弾(命中), 2;Stab.wav;Stab.wav
怨霊魔鬼雨, 4;Thunder.wav;Shower.wav
怨霊魔鬼雨(命中), 2;Whip.wav;2;Whip.wav;Whip.wav
堕亜愚残輪, BeamCoat.wav
堕亜愚残輪(命中), Slash.wav
