ゴージャス☆アイリン
死の舞踏(準備), 光噴出 桃 Sharara.wav
死の舞踏(攻撃), タックル Charge(Silent).wav;1;浴びせ蹴り Bubble.wav;2;魔法放射 桃 EvilEye.wav
死の舞踏(命中), 発光 桃
付け爪(攻撃), 投擲武器 Music\EFFECT_GuitarPick(Red)01.bmp 8
付け爪(命中), 刺突
暗殺術(準備), ガラス片
暗殺術(準備), ナイフ
暗殺術(攻撃), 白兵武器
暗殺術(命中), クリティカル斬撃
トラップ(攻撃), Reload(3).wav;2;ＭＡＰ爆発
トラップ(命中), 爆発
死苦へのメイクアップ(準備), 光噴出 桃 Sharara.wav
死苦へのメイクアップ(攻撃), タックル Charge(Silent).wav;1;浴びせ蹴り Bubble.wav;2;魔法放射 桃 EvilEye.wav
死苦へのメイクアップ(命中), @戦闘アニメ_振り下ろし攻撃 赤 Whiz.wav;3;唐竹割り Slash(3).wav;2;出血
死苦へのメイクアップ(とどめ), 縦分割
殺しのメイクアップ, -
特殊ガム(準備), 光棍 白 Fold.wav
特殊ガム(攻撃), 刺突
特殊ガム(命中), 刺突 Slash.wav
チェーンソー(準備), チェーンソー Engine.wav
チェーンソー(攻撃), チェーンソー
チェーンソー(命中), チェーンソー Crash.wav
刺青化幻掌(準備), 粒子集中 黒 Fold.wav;2;突く武器 Hand\EFFECT_ShiningHand(Black)01.bmp 32 Chaff.wav
刺青化幻掌(攻撃), 白兵武器;刺突
刺青化幻掌(命中), 大刺突
刺青舞宙弾(準備), 粒子集中 黒 Fold.wav
刺青舞宙弾(攻撃), ６ＷＡＹ射出 Swing(2).wav
刺青舞宙弾(命中), 乱突
