壊造時次郎
発進, その名も農作業用サイボーグ！.サイボーグじいちゃん、:Ｇ！！
回避, ひょっ！！
回避, ちょわっ！！
回避, 耕すならワシも負けん！
回避, マッハ２のスピードぐらいでガタガタ言うんでないわい！！
回避, 馬鹿者！ それは違うわ！
回避, ひょーこりゃいいわい！！
回避, 馬鹿者！ ワシは５ｋｍ先に落とした針の音を聞き分けられるんじゃ！！
ダメージ小, なんじゃさわがしい！
ダメージ小, 日本、いや世界でトップの農業を営む為にサイボーグになったのじゃ！！
ダメージ小, 自分が負けたと思うまで人間は負けんのじゃ！！
ダメージ中, ムウ、これは！？ 身体が動かん！！
ダメージ中, このままでは…… Ｇちゃんアーマードパーツ装着！;………？;ひょっ！！？ こら！ 山田さんちのバアさん！！ アーマードパーツを返すのじゃっ！！
ダメージ中, ワシは断じてキサマなどにはやられんわ！！
ダメージ中, 悪と農業がある限り、サイボーグＧちゃんまだまだくたばらんわっ！！
ダメージ中, ワシを怒らせると農薬が漏れやすくなるという事を知らんようじゃの！
ダメージ中, なにが何でも是が非でもワシはいくのじゃっ！
ダメージ大, ヌウ、メタンエネルギーがっ！！
ダメージ大, これは、流石にこたえるわい
ダメージ大, うぬう…… 年は取るもんじゃないわい
ダメージ大, 関節と動力系をやられたっシクシクするわっ！！;サイボーグになってもリュウマチに悩まされるとは……
破壊, 最後のメタンエネルギーが……
破壊, うぬう…… これで朽ちるとは……
射程外, おのれっ！！ 卑怯なり！！
射程外, ム～なかなか上手くいかん
攻撃, 見よ！ このプラズマ堆肥融合鶏糞ガス爆発パワー２０００馬力のこの力を！！
攻撃, さっそくこの力を見せびらかすのじゃ！！
攻撃, ゆるせん！ 農作業パワーで成敗してくれるわ！
攻撃, いかーん！ ワシャ断じて許さん！！
攻撃, サイバーパワー全開じゃ！！
攻撃, サイボーグＧちゃん参上！！
攻撃, 貴様の思い通りにはさせん！！
攻撃(対ショッカー), サイボーグの力を悪事に使うとは！ どうせなら農業で世界征服をせんかーっ！
攻撃(対相楽左之助), いい若いモンが昼間から遊んどるでないわーっ！
ガンテツウォーターシャワー, なんじゃ？ ガンテツ小便か
ガンテツウォーターシャワー, おお！ それは鋼鉄をもぶち抜く恐ろしい水圧の小便を利用した;ガンテツウォーターシャワー！！
Ｇちゃんアタック(命中), Ｇちゃんパンチ！！
Ｇちゃんアタック(命中), Ｇちゃん神出鬼没アタック！！
最大重量５００ｔ(命中), 最大重量５００ｔ！！
必殺！入れ歯カミカミ(命中), 必殺！ 入れ歯カミカミ！！
田植え式早苗爆弾(命中), 田植え式早苗爆弾じゃ！！
猛烈もうろくキック(命中),  猛烈もうろくキッーーク！！！
超燃焼堆肥力破壊的鉄拳(命中), スーパーバーニングコンポストエナジークラッシャーパンチ！！
ガンテツ・ダブルパンチ(命中), ゆくぞガンテツ！！ ハイパーダブルパンチ！！
Ｇエンブレム烈風アタック, こうなったら最後の手段！ 多量のエネルギーを消耗するがやってみよう！;Ｇエンブレム烈風アターーーーック！！
Ｇエンブレム烈風アタック(とどめ), うむ、見事なＧじゃ！！
Ｇメガトン, こうなったら最後の手段！ 多量のエネルギーを消耗するがやってみよう！;必殺！！ Ｇメガトン！！
Ｇメガトン, 見ろ！ 貴様に対する正義の怒りじゃ！！;必殺！！ 爆裂Ｇメガトンじゃ！！
Ｇメガトン(とどめ), 成敗！


壊造時次郎(Ｙ)
回避, ここかっ！！
回避, 見切った！！
回避, やはりここじゃったな！！
回避, 当たる訳にはいかん！
回避, サイバーランナー全開！！
回避, 甘いわ！ 伊達に若返ってはおらん！！
ダメージ小, このヤングボディには通用せん！！
ダメージ小, 道具の使い方がなっておらん！！
ダメージ小, 気合いが足りん！！
ダメージ中, ムウ、これは！？ 身体が動かん！！
ダメージ中, ムウ！！ ヤングモードでもかわせなんだか！！
ダメージ中, ワシは断じてキサマなどにはやられんわ！！
ダメージ中, 悪と農業がある限り、サイボーグＧちゃんまだまだくたばらんわっ！！
ダメージ中, なにが何でも是が非でもワシはいくのじゃっ！
ダメージ大, わしのヒザはまだ折れておらん！！ 
ダメージ大, これは、流石にこたえるわい
ダメージ大, 退けるものか！ 日本の農業はワシが守る！！
ダメージ大, ワシのたぎる血はまだ冷めておらん！！
破壊, 最後のメタンエネルギーが……
破壊, うぬう…… これで朽ちるとは……
射程外, おのれっ！！ 卑怯なり！！
射程外, ム～なかなか上手くいかん
攻撃, これでどうだ！！
攻撃, ワシは必ず敵を倒し、日本の畑を守る！！
攻撃, 皆の力、ワシに貸してくれ！！
攻撃, ヤングパワー全開！！
攻撃, 悪の野望を打ち砕けるのは、ワシしかおらんのじゃ！！
攻撃, ヤングモードは３０秒しかもたん…… その間に決着をつける！
Ｇメガトン, こうなったら最後の手段！ 多量のエネルギーを消耗するがやってみよう！;必殺！！ Ｇメガトン！！
Ｇメガトン, 見ろ！ 貴様に対する正義の怒りじゃ！！;必殺！！ 爆裂Ｇメガトンじゃ！！
Ｇメガトン(とどめ), 成敗！
Ｇギガトン, こうなったら最後の手段！ 多量のエネルギーを消耗するがやってみよう！;これが、Ｇメガトンの１０００倍の威力を持つ、Ｇギガトン！！
Ｇギガトン(とどめ), 成敗！


壊造喜由
回避, 外れらのら～！
回避, しつこい奴は嫌いらのら～
回避, オラの目は両目とも７．０で余りに良すぎて透視出来るんら～
回避, 遅すぎて止まって見えるのら～！！
ダメージ小, これじゃ蠅も殺せないのら
ダメージ小, オラの美しい顔に傷がつくのら！
ダメージ小, 煎餅が旨いのら～
ダメージ中, 痛いのら～ １０倍返しなの～
ダメージ中, ハウ！ 持病のリュウマチがっ！！
ダメージ中, 持病のヘルニアがっ！！
ダメージ中, そんなにオラの歌が聴きたいのら？
ダメージ中, 乱暴な連中なのら！ 許せないのら！
ダメージ大, え、エネルギー不足なのら……
ダメージ大, ま、まだ歌えるのら……
ダメージ大, オラはしぶといのら～～！
破壊, ジイさん……
破壊, まだ死ねないのら……
射程外, あまりに目が良すぎて見えないのら～
射程外, オラの声が届かないのら～
めんくりたまボンバー, めんくりたまボンバー！！
砂目潰し, 砂目潰しら～！！
般若心経シャウト, サイバーメタルアイアンばあちゃんＱら～！！
般若心経シャウト, オラの作った新曲を聞かせてやるら～
般若心経シャウト, ＲＡＡＡＡＡＡＨＨＨＨＨ！！！！
般若心経シャウト, アコースティックなサウンドと、透明で美しいボーカルがマッチしてため息こぼれるら～
般若心経シャウト, 観自在菩薩行深般若波羅密多時！！
般若心経シャウト, オラの１万オクターブの響き渡る声域が聴きたいんらな！


社礼頭毒郎(Ｙ)
回避, 若返って思い出したのだ……全てを！！
回避, ゲハハハハ！！ ケッサクだべ！！ そんな子供騙しに引っかかりおって！！
回避, ワガハイはこの世で最新最強の改造人間となったべ！！
回避, 鼻息でビルも崩れ落ちるこのパワーを見たべか！！
回避, どうだべ！ びっくらこいたべ！
ダメージ小, ガハハハハ！ 効かないべ！
ダメージ小, おどりゃなめとんべか！！
ダメージ小, この最新のサイボーグの体には通用しないべ！！
ダメージ中, おのれ！ ワガハイにまたしても屈辱を！
ダメージ中, いつの間に貴様！！
ダメージ中, まだワガハイの恐ろしさがわからんべか！
ダメージ中, そんなものハッタリだべ！！
ダメージ大, またしても、またしてもーー？！！！
ダメージ大, そ、そんな馬鹿な！ ワガハイが負ける？！
ダメージ大, 馬鹿な？！ ワガハイは完璧な筈だべ！
ダメージ大, おのれええええ！！！ また負けるなど許されんべ！！
破壊, トホホだべ……
射程外, おのれ！ 小癪なマネをするだべ！
射程外, そんなものは無駄な足掻きだべ！！
攻撃, 50年前のワガハイの頭脳と技術なら世界征服も時間の問題だべ！！
攻撃, 今度はワガハイが全てを奪う番だべ！！
攻撃, 50年間！ ワガハイが味わってきた屈辱、貴様にも味あわせてやるべ！！
攻撃, 貴様の頭もとんがらせてやるべ！！
攻撃, ワガハイのパワーを見せてやるべ！！
攻撃, ワガハイの手にかかれば積み木崩しより簡単だべ！！
攻撃, ワガハイは新世界の神となるだべ！！
攻撃, ワガハイはＧちゃんを越えたべーー！！



