

#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#
#　EFFECT_AuraDragon,bmp
#　EFFECT_Pyramid.bmp

サガフロ２
パンチ, 打突
ボコボコ, 連打
コークスクリュー, 打突
ハートブレイク, 超打
キッチンシンク, 打突
滝登り, キック;キック;キック
三龍旋, タックル;実弾発射 EFFECT_AuraDragon,bmp 発光;実弾発射 EFFECT_AuraDragon,bmp 発光;実弾発射 EFFECT_AuraDragon,bmp 発光
カムイ, スーパータックル
断滅, 超打;超打;スーパーキック
クリス・アカラベス, ナイフ
ストーンナイフ, ナイフ
炎のロッド, サーベル
風伯, 剣
雷伯, 剣
獣骨の長剣, 剣
ギュスターヴの剣, 大剣
炎の剣, エナジーブレード レッド
ファイアブランド, エナジーブレード レッド
グスタフの剣, 剣
ガラティーン, 大剣
丙子椒林剣, 剣
炎の太刀, 炎;斬撃
なぎ払い(準備), 剣
なぎ払い(攻撃), なぎ払い
なぎ払い(命中), なぎ払い
巻き打ち, 斬撃
切り返し, 斬撃
十字切り(準備), 剣
十字切り(攻撃), 斬撃;なぎ払い
十字切り(命中), 斬撃;なぎ払い
追突剣, 刺突
かすみ二段(準備), 剣
かすみ二段(攻撃), 振り下ろし;振り上げ
かすみ二段(攻撃), 斬撃;斬り上げ
スマッシュ(準備), 剣
スマッシュ(攻撃), 振り下ろし
スマッシュ(命中), 大斬撃
ファイナルレター(準備), 剣
ファイナルレター(攻撃), 刺突
ファイナルレター(命中), 決め文字 Ｚ
デッドエンド, 剣突撃
なで斬り, 連斬撃
クロスブレイク(準備), 剣
クロスブレイク(攻撃), 斬撃;なぎ払い
クロスブレイク(命中), 斬撃;なぎ払い
みじん切り(準備), 剣
みじん切り(攻撃), 斬撃;なぎ払い
みじん切り(命中), 斬撃;なぎ払い
残像剣, 分身斬撃
雷雲剣(準備), 剣;落雷
雷雲剣(攻撃), 斬撃
雷雲剣(命中), 雷斬撃
天地二段(準備), 剣
天地二段(攻撃), 振り下ろし;振り上げ
天地二段(命中), 斬撃;斬り上げ
逆風の太刀, 剣突撃;発光
ブルクラッシュ(準備), 剣
ブルクラッシュ(攻撃), タックル;大斬撃
ブルクラッシュ(命中), 大斬撃
烈風剣(準備), 剣;木の葉乱舞
烈風剣(攻撃), 旋風
烈風剣(命中), 竜巻
剣風閃(準備), 剣
剣風閃(攻撃), 振り下ろし;気斬
剣風閃(命中), 斬撃
無拍子(準備), 剣
無拍子(攻撃), 透明化;剣突撃;透明化 解除
無拍子(命中), 斬撃
ベアクラッシュ(準備), 剣
ベアクラッシュ(攻撃), タックル;振り下ろし
ベアクラッシュ(命中), 大斬撃
マルチウェイ(準備), 剣
マルチウェイ(攻撃), 斬撃乱舞
マルチウェイ(命中), 斬撃乱舞;超斬撃
疾風剣(準備), 剣;木の葉乱舞
疾風剣(攻撃), スピンアタック 緑
疾風剣(命中), スピンアタック 緑;旋風 緑
木槍, スピア
灯の槍, スピア
古木の槍, スピア
氷の槍, スピア
ビーストランス, スピア
火炎龍(準備), スピア;炎
火炎龍(攻撃), 刺突
火炎龍(命中), 刺突
払い突き(準備), スピア
払い突き(攻撃), なぎ払い;刺突
払い突き(命中), なぎ払い;刺突
二段突き(準備), スピア
二段突き(攻撃), 連突
二段突き(命中), 連突
草伏せ(準備), スピア
草伏せ(攻撃), なぎ払い
草伏せ(命中), なぎ払い
チャージ, スピア突撃
チャージ(命中), 大刺突
くし刺し, スピア突撃
高波返し(準備), スピア
高波返し(攻撃), なぎ払い;なぎ払い;刺突
高波返し(命中), なぎ払い;なぎ払い;刺突
スウィング(準備), スピア
スウィング(攻撃), なぎ払い
スウィング(命中), なぎ払い
スウィング(準備), スピア
エイミング(攻撃), 光球 相手ユニットＩＤ;刺突
エイミング(命中), 大刺突
光の腕(準備), スピア
光の腕(攻撃), 光球;刺突
光の腕(命中), 刺突
活殺獣閃衝(準備), スピア
活殺獣閃衝(攻撃), 発光;なぎ払い;刺突
活殺獣閃衝(命中), なぎ払い;刺突
ミズチ(準備), スピア;泡
ミズチ, 実弾発射 EFFECT_AuraDragon,bmp 発光
蓮華衝(準備), スピア
蓮華衝(攻撃), 乱突
蓮華衝(命中), 乱突
無双三段(準備), スピア
無双三段(攻撃), 刺突;刺突;刺突
無双三段(命中), 刺突;刺突;大刺突
アルダーストライク(準備), スピア;泡
アルダーストライク(攻撃), 刺突;実弾発射 EFFECT_LightBubble03.bmp 遅
アルダーストライク(命中), 発光;粒子集中 ブルー
石斧, 片刃斧
ハンマーヘッド, 片刃斧
水樹の斧, 片刃斧
トマホーク, トマホーク投擲
かかと切り, 片刃斧
一人時間差(準備), 片刃斧
一人時間差(攻撃), なぎ払い;斬撃
一人時間差(命中), 大斬撃
ハイパーハンマー, 片刃斧
夜叉横断, 片刃斧
スカイドライヴ, トマホーク投擲
一人時間差(準備), 片刃斧
大強撃(攻撃), 振り下ろし
大強撃(命中), クリティカル斬撃
車輪撃, スピンアタック
スカイランデヴー(準備), 片刃斧
スカイランデヴー(攻撃), トマホーク投擲;トマホーク投擲;光噴出;トマホーク投擲
スカイランデヴー(命中), トマホーク投擲;トマホーク投擲;トマホーク投擲
マキ割りトルネード, スピンジャンプアタック
若木の杖, 杖
かしの杖, 杖
ひいらぎの杖, 杖
双蛇の杖, 杖
氷晶の杖, 杖
銀環の杖, 杖
砂龍の杖, 杖
ブリムスラーヴス, 杖
回し打ち, 杖
海老殺し, 杖
骨砕き(準備), 杖
骨砕き(攻撃), 振り下ろし
骨砕き(命中), 打撃
痛打, 杖突撃
グランドスラム(準備), 杖
グランドスラム(攻撃), 振り下ろし;ＭＡＰ地震
グランドスラム(命中), ダメージ
かめごうら割り, 杖
疾風打(準備), 杖;木の葉乱舞
疾風打(攻撃), スピンアタック 緑
疾風打(命中), スピンアタック 緑;旋風 緑
からすとうさぎ(準備), 杖
からすとうさぎ(攻撃), 振り下ろし;振り下ろし;振り下ろし
からすとうさぎ(命中), 打撃;打撃;強打
狩人の弓, 弓
レンジャーボウ, 弓
エルダーボウ, 弓
でたらめ矢(準備), 弓
でたらめ矢(攻撃), ＭＡＰ矢
でたらめ矢(命中), 矢
狙い撃ち, 弓
狙い撃ち(攻撃), ロックオン;弓矢
アローレイン(準備), 弓
アローレイン(攻撃), ＭＡＰ矢
アローレイン(命中), 矢
毒矢(準備), 泡;弓
毒矢(攻撃), 光投射 青
毒矢(命中), 矢
バードハンティング(準備), 炎;弓
バードハンティング(攻撃), 光投射 赤
バードハンティング(命中), 矢
イド・ブレイク, 発光;弓
死ね矢(準備), 炎;弓
死ね矢(攻撃), 光投射 緑;光投射 赤
死ね矢(命中), 矢;発光
光の矢(準備), 炎;弓
光の矢(攻撃), 小ビーム
光の矢(命中), 矢
針千本(準備), 弓
針千本(攻撃), 矢連射
針千本(命中), 矢;矢;矢;矢;矢
ウインドブレーカー(準備), 炎;弓
ウインドブレーカー(攻撃), 光投射 赤
ウインドブレーカー(命中), 矢
イズナ(準備), 発光;弓
イズナ(攻撃), 光球
イズナ(命中), オールレンジ
水晶のピラミッド(準備), 弓
水晶のピラミッド(攻撃), 矢;矢;矢;矢
水晶のピラミッド(命中), 決め画像 EFFECT_Pyramid.bmp
風と樹のうた, ＭＡＰ音波
スリープ(準備), 発光 グリーン
スリープ, 泡
ブッシュファイア(準備), 発光 グリーン
ブッシュファイア(攻撃), 木の葉乱舞;炎
ブッシュファイア(命中), 火柱
ウッドストック(準備), 発光 グリーン
ウッドストック, 木の葉乱舞;ニードル
ニードルショット(準備), 発光 グリーン
ニードルショット(攻撃), 木の葉乱舞;オールレンジ
ニードルショット(命中), ニードル連射
生命の水(準備), 泡
生命の水(使用), 魔法放射 青
生命の水(発動), 泡
ウォーターハンマー(準備), 発光 白;ハンマー
ウォーターハンマー(攻撃), 振り下ろし
ウォーターハンマー(命中), 打撃
マグマプロージョン(準備), 発光 白
マグマプロージョン(攻撃), 決め画像 Anime\EFFECT_Spear01.bmp
マグマプロージョン(命中), 小爆発
デルタ・ペトラ(準備), 発光 白
デルタ・ペトラ(攻撃), 実弾発射 EVENT\スペシャルパワー\lucky_3_02.bmp 発光 速;実弾発射 EVENT\スペシャルパワー\lucky_3_02.bmp 発光 速;実弾発射 EVENT\スペシャルパワー\lucky_3_02.bmp 発光 速;実弾発射 EVENT\スペシャルパワー\lucky_3_02.bmp 発光 速;実弾発射 EVENT\スペシャルパワー\lucky_3_02.bmp 発光 速;実弾発射 EVENT\スペシャルパワー\lucky_3_02.bmp 発光 速
デルタ・ペトラ(命中), 発光 白
フレイムナーガ(準備), 炎
フレイムナーガ(攻撃), 火炎弾
フレイムナーガ(命中), 火柱
