
########　・体術
パンチ,			 700,  1,  1,  +30,   -,   -,   -, AAAA,   +0, 突

ボコボコ,		1300,  1,  1,  +10,   -,  10,   -, AAAA,   +0, 突
コークスクリュー,	1400,  1,  1,  +10,   -,  15,   -, AAAA,   +0, 突
ハートブレイク,		1400,  1,  1,   +0,   -,  20,   -, AAAA,   +0, 突Ｓ
キッチンシンク,		1600,  1,  1,  +10,   -,  30, 110, AAAA,  +20, 突低攻
滝登り,			2000,  1,  1,  +15,   -,  50, 115, AAAA,  -10, 突
三龍旋,			2000,  1,  1,   +0,   -,  50, 120, AAAA,   +0, 突
カムイ,			2100,  1,  2,  -15,   -,  50, 120, AAAA,   +5, 突格Ｐ失L1
断滅,			2300,  1,  1,  +10,   -,  50, 130, AAAA,  +20, 突

########　・剣技
クリス・アカラベス,	 800,  1,  1,  +30,   -,   -,   -, AAAA,   +0, 武
ストーンナイフ,		 800,  1,  1,  +30,   -,   -,   -, AAAA,   +0, 武
炎のロッド,		1000,  1,  1,  +25,   -,   -,   -, AAAA,   +0, 武
風伯,			1000,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 武
雷伯,			1000,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 武
獣骨の長剣,		1100,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 武
ギュスターヴの剣,	1100,  1,  1,   +0,   -,   -,   -, AAAA,  +20, 武
炎の剣,			1100,  1,  1,  +20,   -,   -,   -, AAAA,  +10, 武
ファイアブランド,	1100,  1,  1,  +20,   -,   -,   -, AAAA,  +10, 武
グスタフの剣,		1200,  1,  1,   +0,   -,   -,   -, AAAA,  +10, 武
ガラティーン,		1200,  1,  1,  +30,   -,   -,   -, AAAA,  +20, 武
ベオウルフ,		1200,  1,  1,   +0,   -,   -,   -, AAAA,   +0, 武
ギュスターヴの剣(後期),	1300,  1,  1,   +0,   -,   -,   -, AAAA,  +20, 武
丙子椒林剣,		1400,  1,  1,  +10,   -,   -,   -, AAAA,  +10, 武

なぎ払い,		1100,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 武
巻き打ち,		1200,  1,  1,   +0,   -,  10,   -, AAAA,  +15, 武Ｓ
切り返し,		1200,  1,  1,  +10,   -,   5,   -, AAAA,   +0, 武
十字切り,		1300,  1,  1,   +0,   -,   5,   -, AAAA,   +0, 武聖
追突剣,			1300,  1,  1,  +10,   -,   5,   -, AAAA,   +0, 武
かすみ二段,		1300,  1,  1,  +20,   -,   5,   -, AAAA,   +5, 武
スマッシュ,		1400,  1,  1,  -15,   -,  10,   -, AAAA,   +0, 武
ファイナルレター,	1400,  1,  1,   +0,   -,  25, 110, AAAA,   +0, 武即
デッドエンド,		1400,  1,  1,  +10,   -,  25,   -, AAAA,  +30, 武
なで斬り,		1400,  1,  1,   +5,   -,  15,   -, AAAA,   +5, 武
クロスブレイク,		1500,  1,  1,  +15,   -,  15,   -, AAAA,  +10, 武
みじん切り,		1600,  1,  1,   +0,   -,  20,   -, AAAA,   +0, 武
残像剣,			1600,  1,  4,   +0,   -,  30, 115, AAAA,   +0, 武格Ｍ移
雷雲剣,			1700,  1,  1,  +10,   -,  15,   -, AAAA,   +0, 武魔射
天地二段,		1700,  1,  1,  -10,   -,  25,   -, AAAA,  -10, 武Ｓ
逆風の太刀,		1700,  1,  1,  +10,   -,  20,   -, AAAA,   +0, 武
ブルクラッシュ,		1800,  1,  1,  -10,   -,  30, 110, AAAA,   +0, 武
烈風剣,			1800,  1,  3,  -10,   -,  30,   -, AAAA,   +0, 魔風
剣風閃,			1900,  1,  3,  -10,   -,  40, 110, AAAA,   +0, 格実
無拍子,			2000,  1,  1,  +20,   -,  40, 120, AAAA,   +0, 接
ベアクラッシュ,		2100,  1,  1,  -20,   -,  50, 115, AAAA,  +10, 武
マルチウェイ,		2200,  1,  1,  +20,   -,  60, 120, AAAA,  +20, 武
疾風剣,			2200,  1,  1,  -10,   -,  50, 120, AAAA,   +0, 武魔射


########　・槍技
木槍,			 900,  1,  1,  +30,   -,   -,   -, AAAA,   +0, 武
灯の槍,			1000,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 武
古木の槍,		1000,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 武
氷の槍,			1100,  1,  1,  +15,   -,   -,   -, AAAA,   +0, 武
ビーストランス,		1200,  1,  1,   +0,   -,   -,   -, AAAA,   +0, 武

払い突き,		1200,  1,  1,  +15,   -,   5,   -, AAAA,   +0, 武
二段突き,		1200,  1,  1,  +10,   -,   5,   -, AAAA,  +10, 武
草伏せ,			1200,  1,  1,  +10,   -,  20,   -, AAAA,  +15, 武Ｓ
チャージ,		1300,  1,  2,   +0,   -,  15,   -, AAAA,   +0, 武格Ｐ
くし刺し,		1300,  1,  2,  -10,   -,  10,   -, AAAA,  -10, 武格Ｐ
高波返し,		1400,  1,  1,  +10,   -,  15,   -, AAAA,  +10, 武
スウィング,		1400,  1,  1,  +20,   -,  20,   -, AAAA,  +10, 武
エイミング,		1600,  1,  1,   +0,   -,  30, 110, AAAA,   +0, 武貫Ｒ
光の腕,			1700,  1,  1,  -10,   -,  35, 110, AAAA,  +10, 接
活殺獣閃衝,		1800,  1,  1,   +0,   -,  40, 110, AAAA,   +0, 武
ミズチ,			1800,  1,  2,   +0,   -,  40, 110, AAAA,   +0, 魔武水Ｐ
蓮華衝,			2000,  1,  1,   +0,   -,  60, 115, AAAA,  +10, 武
無双三段,		2200,  1,  1,  +15,   -,  60, 120, AAAA,  +10, 武
アルダーストライク,	2400,  1,  2,  -10,   -,  75, 130, AAAA,   +0, 魔地水


########　・斧技
石斧,			1000,  1,  1,   +0,   -,   -,   -, AAAA,   +0, 武
ハンマーヘッド,		1000,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 武
水樹の斧,		1100,  1,  1,   +0,   -,   -,   -, AAAA,   +0, 武

トマホーク,		1200,  1,  3,  -10,   -,   5,   -, AACA,   +0, 実格
かかと切り,		1200,  1,  1,  +10,   -,   5,   -, AAAA,  +20, 武低運
一人時間差,		1300,  1,  1,  +20,   -,  10,   -, AAAA,   +0, 接
ハイパーハンマー,	1400,  1,  1,  +10,   -,  15,   -, AAAA,   +0, 武
夜叉横断,		1500,  1,  1,  -10,   -,  20,   -, AAAA,   +0, 武
スカイドライブ,		1500,  1,  3,  -10,   -,  25,   -, AAAA,   +0, 実格
大強撃,			1700,  1,  1,  -10,   -,  30,   -, AAAA,  +15, 武
車輪撃,			1700,  1,  1,  +10,   -,  25, 105, AAAA,   +0, 武
スカイランデブー,	2000,  1,  3,   +0,   -,  45, 115, AAAA,   +0, 実格
マキ割りトルネード,	2200,  1,  2,  -20,   -,  70, 120, AAAA,   +0, 武格Ｐ金


########　・杖技
若木の杖,		 900,  1,  1,  +10,   -,   -,   -, AAAA,   +0, 武
かしの杖,		 900,  1,  1,  +10,   -,   -,   -, AAAA,   +0, 武
ひいらぎの杖,		1000,  1,  1,  +10,   -,   -,   -, AAAA,   +0, 武
双蛇の杖,		1000,  1,  1,  +10,   -,   -,   -, AAAA,   +0, 武
氷晶の杖,		1000,  1,  1,  +10,   -,   -,   -, AAAA,   +0, 武
銀環の杖,		1100,  1,  1,  +10,   -,   -,   -, AAAA,   +0, 武
砂龍の杖,		1100,  1,  1,  +10,   -,   -,   -, AAAA,   +0, 武
ブリムスラーヴス,	1100,  1,  1,  +10,   -,   -,   -, AAAA,  +10, 武

回し打ち,		1200,  1,  1,   +0,   -,   5,   -, AAAA,   +5, 武
海老殺し,		1300,  1,  1,   +0,   -,  10,   -, AAAA,   +0, 武
骨砕き,			1400,  1,  1,   +0,   -,  10,   -, AAAA,  +10, 武
痛打,			1500,  1,  1,  -10,   -,  15,   -, AAAA,  +10, 武
グランドスラム,		1600,  1,  1,  -15,   -,  40,   -, CAAC,  -10, Ｍ投L1
