

侍魂
蹴撃, キック
キック, キック

覇王丸(侍魂)
銘刀河豚毒, 日本刀
烈震斬(攻撃), 格闘 -.wav;回転振り下ろし
烈震斬(命中), 唐竹割り
旋風裂斬(攻撃), 振り上げ;竜巻
旋風裂斬(命中), 竜巻;落下 Crash.wav
弧月斬(攻撃), 振り上げ;アッパー
弧月斬(命中), 振り上げ;振り上げ;落下 Crash.wav
斬鉄閃(攻撃), 斬撃
斬鉄閃(命中), 大斬撃
斬鋼閃(攻撃), 斬撃
斬鋼閃(命中), 超斬撃
天覇凄煌斬(準備), 発光 青
天覇凄煌斬, 斬撃
天覇凄煌斬(命中), 超斬撃
天覇封神斬(準備), 発光 青
天覇封神斬(攻撃), 振り上げ;振り上げ;振り上げ;振り上げ;振り上げ;アッパー
天覇封神斬(命中), 振り上げ;振り上げ;振り上げ;振り上げ;振り上げ;振り上げ;落下 Crash.wav

羅刹丸(侍魂)
妖刀屠痢兜, 日本刀
凪刃(攻撃), 振り上げ
凪刃(命中), 振り上げ
旋風波(攻撃), 振り上げ
旋風波(命中), 光噴出 Slash.wav
旋風裂斬・刹(攻撃), 振り上げ;竜巻
旋風裂斬・刹(命中), 竜巻;落下 Crash.wav
牙突, 振り下ろし;刺突
飛燕(攻撃), 振り上げ;斬撃
飛燕(命中), 振り上げ;大斬撃
剛破(攻撃), 格闘
剛破(命中), 強打 Bazooka.wav
天覇断空烈斬(準備), 発光 青
天覇断空烈斬(攻撃), 振り上げ
天覇断空烈斬(命中), 振り上げ;竜巻 Storm.wav;「<BIG>天覇！ 断空烈斬ッ！！</BIG>」;@戦闘アニメ_回転振り下ろし攻撃;唐竹割り Crash.wav

橘右京
自作刀・無名(攻撃), なぎ払い
自作刀・無名(命中), なぎ払い
雲雀(攻撃), 刺突
雲雀(命中), 打撃 Punch.wav
朧刀(攻撃), 格闘
朧刀(命中), なぎ払い;斬撃;振り上げ
細雪(攻撃), 連続なぎ払い
細雪(命中), 連続なぎ払い
燕返し(攻撃), 回転振り下ろし
燕返し(命中), 振り下ろし;爆発
夢想残光霞(準備), 発光 青
夢想残光霞(攻撃), 格闘
夢想残光霞(命中), 夢想残光霞
燕六連(準備), 発光 青
燕六連(攻撃), 格闘
燕六連(命中), @戦闘アニメ_回転振り下ろし攻撃 6;斬撃乱舞;大爆発;「………燕六連！！」

ナコルル(侍魂)
宝刀チチウシ, 斬撃
アムベヤトロ(攻撃), 瞬間変形 SS_Nakoruru(S)U.bmp;実弾発射 SS_MamahahaU.bmp Bird.wav 残像
アムベヤトロ(命中), 爆発
カムイリムセ(攻撃), 斬撃
カムイリムセ(命中), 強打 Punch.wav
レラムツベ(攻撃), 格闘 -.wav;振り上げ Saber.wav
レラムツベ(命中), 振り上げ
アンヌムツベ(攻撃), 格闘 -.wav;なぎ払い Saber.wav
アンヌムツベ(命中), なぎ払い
アペフチカムイリムセ, 斬撃;振り上げ;斬撃;振り上げ;斬撃;振り上げ
アペフチカムイリムセ(命中), 強打 Punch.wav;強打 Punch.wav;強打 Punch.wav;強打 Punch.wav;強打 Punch.wav;強打 Punch.wav
イルスカヤトロリムセ(攻撃), 瞬間変形 SS_Nakoruru(S)U.bmp;実弾発射 SS_MamahahaU.bmp Bird.wav 残像
イルスカヤトロリムセ(命中), 爆発;@戦闘アニメ_火炎弾攻撃 青;@戦闘アニメ_火炎弾攻撃 青;@戦闘アニメ_火炎弾攻撃 青;爆発;爆発;大爆発
エレルシカムイリムセ(準備), 発光 青
エレルシカムイリムセ(攻撃), 瞬間変形 SS_Nakoruru(M)U.bmp;スーパータックル 青
