ジョジョの奇妙な冒険
槍(命中), Sword.wav
ハットブレード, Saber.wav
ハットブレード(命中), Slash.wav
ハンマー(命中), Crash.wav
手榴弾, 12;Bomb.wav;Explode(Far).wav
格闘(ルドル＝フォン＝シュトロハイム(サイボーグ)), Crash.wav
ロケットパンチ, Inori.wav
ロケットパンチ(命中), Crash.wav
紫外線照射装置, LaserGun.wav
紫外線照射装置(命中), BeamCoat.wav
重機関砲, MachineGun.wav
マシンガン, MachineGun.wav
火炎放射器, MicroMissile.wav
シールド防御(波紋防御), BeamCoat.wav
青緑の波紋疾走, 8;Charge.wav;LaserGun.wav
青緑の波紋疾走(命中), Shock(Low).wav
緋色の波紋疾走, 8;Charge.wav;Inori.wav
緋色の波紋疾走(命中), Explode.wav
山吹き色の波紋疾走, Charge(high).wav
山吹き色の波紋疾走(命中), FastGun.wav
合体波紋, Charge(high).wav
合体波紋(命中), Explode(Far).wav
癒しの波紋, Charge.wav
幸運と勇気の剣(命中), Slash.wav
波紋カッター, 2;Beam.wav;Beam.wav
波紋カッター(命中), 2;Slash.wav;Slash.wav
仙道波蹴(命中), Bazooka.wav
波紋疾走, Charge(High).wav
波紋疾走(命中), Shock(Low).wav
波紋乱渦疾走(命中), 2;Inori.wav;2;Inori.wav;2;Inori.wav;2;Inori.wav;Inori.wav
クラッカーヴォレイ, 2;Saber.wav;Saber.wav
クラッカーヴォレイ(命中), 2;Punch.wav;Punch.wav
クラッカーブーメラン, 4;Saber.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
クラッカーブーメラン(命中), Combo.wav
波紋の結界, 6;BreakOff.wav;Charge(Long).wav
トンプソン機関銃, MachineGun.wav
波紋ビーム, 8;Charge.wav;Beam.wav
エイジャの増幅波紋, 8;Charge.wav;Inori.wav
エイジャの増幅波紋(命中), Explode(Far).wav
大型スレッジハンマー(命中), Crash.wav
大型鋼鉄球ボーガン, Missile.wav
大型鋼鉄球ボーガン(命中), Crash.wav
シャボンランチャー, Bubble.wav
シャボンランチャー(命中), Shock(Low).wav
シャボンカッター, 4;Bubble.wav;2;Beam.wav;Beam.wav
シャボンカッター(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;Slash.wav
シャボンバリアー, Bubble.wav
シャボンバリアー(命中), BeamCoat.wav
シャボンレンズ, 6;Bubble.wav;LaserGun.wav
シャボンレンズ(命中), BeamCoat.wav
波紋マフラー, Sword.wav
波紋マフラー(命中), Shock(Low).wav
吸血(命中), Charge(high).wav
空裂眼刺驚(準備), Charge.wav
空裂眼刺驚, 2;Beam.wav;Beam.wav
気化冷凍法(命中), 4;BreakOff.wav;Charge(Long).wav
死髪踊縛, Saber.wav
格闘(命中), Shock(Low).wav
幸運の剣(命中), Slash.wav
死髪踊剣, Saber.wav
死髪踊剣(命中), Slash.wav
真空波, Storm.wav
大剣(命中), Slash.wav
天地来蛇殺(命中), 2;Sword.wav;4;Sword.wav;Inori.wav
ナイフ(命中), Stab.wav
拷問機具(命中), Sword.wav
全身からのメス, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
全身からのメス(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
毒蛇, Swing.wav
毒蛇(命中), Stab.wav
鉄の爪(命中), Slash.wav
輝彩滑刀(命中), Saber.wav
生物の弾丸, MachineCannon.wav
生物の弾丸(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
数百倍の波紋疾走, 8;Charge.wav;Inori.wav
数百倍の波紋疾走(命中), Shock(Low).wav
体術(命中), Bazooka.wav
神砂嵐, Storm.wav
渾楔颯, Storm.wav
怪焔王, LaserGun.wav
怪焔王大車獄, LaserGun.wav
憎き肉片(命中), 1;Reload.wav;1;Reload.wav;1;Reload.wav;1;Reload.wav;Reload.wav
露骨な肋骨(命中), Saber.wav
血管針(命中), Stab.wav
突撃(命中), Crash.wav
