
シウス＝ウォーレン
クレイモア, Swing.wav
クレイモア(命中), Slash.wav
衝霊破, Whiz.wav
衝烈破, MicroMissile.wav
紅蓮剣, Cannon.wav
紅蓮剣(命中), Explode.wav
閃光剣, Cannon.wav
双破斬, Swing.wav
双破斬(命中), 2;Slash.wav;3;Slash.wav
七星紅蓮剣, 8;Charge.wav;3;Cannon.wav;3;Cannon.wav;3;Cannon.wav
七星紅蓮剣(命中), 2;Explode.wav;2;Explode.wav;2;Explode.wav
蒼龍招来, 2;Swing.wav;2;Breath.wav
玄武招来, Thunder.wav
白虎招来, 2;Missile.wav;2;Missile.wav;2;Missile.wav

アシュレイ＝バーンヘルト
ムラサマブレード, Swing.wav
ムラサマブレード(命中), Saber.wav
衝霊破, Whiz.wav
紅蓮剣, Cannon.wav
紅蓮剣(命中), Explode.wav
閃光剣, Cannon.wav
双破斬, 2;Swing.wav;2;Swing.wav
双破斬(命中), 2;Slash.wav;3;Slash.wav
七星雷鳴剣, 3;Swing.wav;3;Swing.wav;3;Sword.wav
七星雷鳴剣(命中), Thunder.wav
朱雀翔撃破, AntiShipMissile.wav
蒼竜醒雷斬, AntiAirMissile.wav
七星双破斬, 2;Swing.wav;3;Swing.wav;2;Saber.wav;3;Saber.wav
七星双破斬(命中), 2;Slash.wav;3;Slash.wav;2;Saber.wav;2;Saber.wav



スターオーシャン
閃光剣, 2;Cannon.wav;2;Cannon.wav;2;Cannon.wav;2;Cannon.wav 
空破斬, Whiz.wav
空破斬(命中), Punch.wav
紅蓮剣, 2;Swing.wav;3;Swing.wav
紅蓮剣(命中), 2;Slash.wav;3;Slash.wav
雷鳴剣, Thunder.wav
吼竜破, AntiShipMissile.wav
黒竜天雷破, AntiShipMissile.wav
黒竜天雷破(命中), Thunder.wav
七星雷鳴剣, Thunder.wav
七星閃光剣, 8;Charge.wav;2;Cannon.wav;2;Cannon.wav;2;Cannon.wav;2;Cannon.wav 
七星双破斬, 2;Swing.wav;3;Swing.wav;2;Saber.wav;3;Saber.wav
七星双破斬(命中), 2;Slash.wav;3;Slash.wav;2;Saber.wav;2;Saber.wav
ヒール, Sharara.wav
キュアライト, Sharara.wav
キュアオール, Sharara.wav
フェアリーヒール, Sharara.wav
フェアリーライト, Sharara.wav
プレス(命中), Shock(Low).wav
グラビティプレス, Bomb.wav
グラビティプレス(命中), 2;Shock(Low).wav;2;Shock(Low).wav;2;Shock(Low).wav;2;Shock(Low).wav
流星掌(命中), Bazooka.wav 
練気拳(命中), Punch(4).wav
朱雀翔撃破, AntiShipMissile.wav
朱雀翔撃破(命中), Crash.wav
白虎吼破弾, Charge.wav 
白虎吼破弾(命中), Combo.wav
裏桜花炸光(準備), Charge(Long).wav 
裏桜花炸光, Combo.wav 
裏桜花炸光(命中), Crash.wav
桜花八卦掌(命中), -
シルヴァンボウ, Bow.wav
シルヴァンボウ(命中), Stab.wav
メテオスウォーム, 3;Bomb(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav
ファイアボルト, Cannon.wav
エクスプロード(命中), Explode(Far).wav
メテオスウォーム, 3;Bomb(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav
レイ(命中), 2;BeamCoat.wav;3;BeamCoat.wav;3;BeamCoat.wav;BeamCoat.wav;3;BeamCoat.wav
イラプション, Breath.wav
イラプション(命中), Fire.wav
アースグレイブ, Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav
アースグレイブ(命中), 2;Slash.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav;3;Crash.wav
グレイブ(命中), 2;Slash.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav;3;Crash.wav
アースクエイク, Bazooka.wav
アースクエイク(命中), 3;Shock(Low).wav;3;Shock(Low).wav;3;Shock(Low).wav;3;Shock(Low).wav;3;Crash.wav
シャドウボルト, -
シャドウボルト(命中), Snap(E).wav;3;Snap(E).wav;3;Snap(E).wav
グレムリンレアー(命中), 2;Slash.wav;3;Slash.wav;3;Slash.wav;3;Slash.wav
レイブンオーブ, Swing.wav
レイブンオーブ(命中), Punch.wav
アーククリスタル, Swing.wav
アーククリスタル(クリティカル), Flair.wav
シールクリスタル, Swing.wav
シールクリスタル(クリティカル), Flair.wav
ヘイルオーブ, Swing.wav
ヘイルオーブ(命中), EvilEye.wav
フレアオーブ, Swing.wav
フレアオーブ(命中), AntiShipMissile.wav
サンダーオーブ, Swing.wav
サンダーオーブ(命中), Thunder.wav
マルチプルぱんち(命中), Punch.wav
えぃやぁとぉ(命中), Punch(3).wav
ＪＰサマーソルト(命中), Combo.wav
ドリームコンボ, Flair.wav
ドリームコンボ(命中), Combo.wav
バニーホイッスル, LaserGun.wav
旋風棍(命中), Punch.wav
疾風棍, Storm.wav
霧氷凍棍, Swing.wav
霧氷凍棍(命中), Glass.wav
水月両断破(命中), Crash.wav
覇王疾風棍, Storm.wav
紅蓮旋風棍, AntiShipMissile.wav
疾風破裏剣(命中), 3;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Crash.wav
七星乱舞(命中), Combo.wav
レイブンソード, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
３ＷＡＹ, 3;Swing.wav;3;Swing.wav;3;Swing.wav
３ＷＡＹ(命中), 3;Slash.wav;3;Slash.wav;3;Slash.wav
３ＶＯＬＬＥＹ, 1;Swing.wav;1;Swing.wav;1;Swing.wav
３ＶＯＬＬＥＹ(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav
シルヴァンショット, MachineGun.wav
シルヴァンショット(命中), -
アンホーリィテラー, 2;Cannon.wav;2;Cannon.wav;2;Cannon.wav
ヴィクトリーテラー, 2;Beam.wav;2;Beam.wav;2;Beam.wav
アクアスプレッド, Swing.wav
アクアスプレッド(命中), Splash.wav
ギャラクシィＧＢ, Swing.wav
ギャラクシィＧＢ(命中), Explode.wav


