ＳＯ２
フェイズガン, BeamShot.wav 
空破斬, Whiz.wav
空破斬(命中), Saber.wav
双破斬, 2;Swing.wav;3;Swing.wav
双破斬(命中), 2;Saber.wav;3;Saber.wav
流星掌, FastGun.wav
兜割(命中), Saber.wav
ソードボンバー(命中), 3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav
活人剣, Sharara.wav
バーストナックル, AntiShipMissile.wav
吼竜破, MicroMissile.wav 
爆裂破, Bazooka.wav;3;Bazooka.wav;3;Bazooka.wav
爆裂破(命中), 3;Crash.wav;3;Crash.wav;3;Crash.wav
ケイオスソード, BeamSaber.wav
ケイオスソード(命中), Saber.wav
弧月閃, 3;Slash.wav;8;Missile.wav
弧月閃(命中), Saber.wav
円月斬, Flair.wav
円月斬(命中), Saber.wav
鳳吼破, AntiShipMissile.wav
朱雀衝撃破, AntiShipMissile.wav
朧, Missile.wav
朧(命中), Saber.wav
クロスウェイブ, 2;Swing.wav;3;Swing.wav
クロスウェイブ(命中), 2;Saber.wav;3;Saber.wav
クロスラッシュ, 2;Swing.wav;3;Swing.wav
クロスラッシュ(命中), 2;Saber.wav;3;Saber.wav
ツインスタッブ(命中), 2;Stab.wav;4;Stab.wav
ノーザンクロス, Swing.wav
ノーザンクロス(命中), EvilEye.wav
ハリケーンスラッシュ, Storm.wav
デッドトライアングル, Flair.wav
デッドトライアングル(命中), Explode.wav
ドラゴンブレス, Breath.wav
αオンワン, 3;Cannon.wav;3;Cannon.wav;3;Cannon.wav
αオンワン(命中), 3;Explode(Small).wav;3;Explode(Small).wav;3;Explode(Small).wav
フォトンプリズン, EvilEye.wav
フォトンプリズン(命中), 3;EvilEye.wav;3;EvilEye.wav
コールドウィンド, Wind.wav 
コールドウィンド(命中), 3;EvilEye.wav
コールドウィンド(クリティカル), 3;EvilEye.wav;3;EvilEye.wav
スプレッドレイ, 3;Cannon.wav;3;Cannon.wav;3;Cannon.wav
スプレッドレイ(命中), 3;Saber.wav;3;Saber.wav;3;Saber.wav
グラビティシェル, Charge(Long).wav
グラビティシェル(命中), 3;Explode.wav
レーザービット, LaserGun.wav
レーザービット(命中), 3;Beam.wav;3;Beam.wav;3;Beam.wav
フレイムランチャー, AntiShipMissile.wav
ハイパーランチャー, BeamShot.wav 
サウザンドウィップ(命中), 3;Whip.wav;2;Whip.wav;2;Whip.wav
ディメンジョンウィップ, Fold.wav
