スピたん
永遠神剣『紡ぎ』, ライトセイバー
虎破の型(攻撃), 振り上げ
虎破の型(命中), 振り下ろし
龍撃の型(攻撃), 振り上げ
虚空の型(準備), ライトセイバー
虚空の型(攻撃), 斬撃乱舞
空割の型, 波動放射
天貫の型, 光噴出
地裂の型, 地表衝撃波
永遠神剣『静寂』, 剣
永遠神剣『孤独』, 剣
永遠神剣『熱病』, 剣
阻止(アイスバニッシャー), 五芒星 青
サイレントフィールド, ＭＡＰ重力弾
ステイシスフィールド, ＭＡＰ重力弾
フローズンエリア, ＭＡＰ重力弾
フローズンエンチャント, 連斬撃
リープアタック, 斬撃
ネリープアタック, 斬撃
インパルスブロウ, 斬撃
フューリー, 斬撃
ヘブンズソード, 斬撃
アルティメットアサルト(攻撃), 急降下
アルティメットアサルト(命中), 急降下 青 Slash.wav;大爆発
スプレマシースラスト(攻撃), 急降下
スプレマシースラスト(命中), 急降下 青 Slash.wav;大爆発
タイダルディアー(準備), 剣
タイダルディアー(攻撃), 津波
ブラインドフューリー, 連斬撃
ヘブンズソード改, 連斬撃
アブソリュートゼロ(準備), 剣
アブソリュートゼロ(攻撃), 泡球
永遠神剣『大樹』, 投げ槍
永遠神剣『曙光』, 投げ槍
ストライク, 投げ槍
パワーストライク, 投げ槍
パワーストライク(命中), クリティカル斬撃
ライトニングストライク, 投げ槍
ライトニングストライク(命中), クリティカル斬撃
ソニックストライク, 投げ槍
ソニックストライク(命中), クリティカル斬撃
エレメンタルブラスト, 魔法集中 黄 大
エレメンタルブラスト(命中), 炎 緑
アースプライヤー, 六芒星 白 対象ユニットＩＤ;回復魔法
ハーベスト, 六芒星 白 対象ユニットＩＤ;回復魔法
キュアー, 六芒星 白 対象ユニットＩＤ;回復魔法
ピュリファイ, 六芒星 白 対象ユニットＩＤ;回復魔法
ワールウィンドゥ(準備), 投げ槍
ワールウィンドゥ(攻撃), 光噴出
『曙光』, 投げ槍
永遠神剣『消沈』, 白兵連撃
永遠神剣『赤光』, 白兵連撃
ファイアボルト(準備), 五芒星 赤 Charge.wav
ファイアボルト, 火炎弾 赤 Beam.wav
ファイアボルト(命中), 爆発
ファイアボール(準備), 五芒星 赤 Charge.wav
ファイアボール, 火炎弾 赤 Beam.wav
ファイアボール(命中), 爆発
フレイムシャワー(準備), 五芒星 赤 Charge.wav
フレイムシャワー, ＭＡＰ火炎弾 Beam.wav
フレイムシャワー(命中), 爆発
アークフレア(準備), 五芒星 赤 Charge.wav
アークフレア, 炎 赤
アークフレア(命中), 炎 赤
インフェルノ(準備), 五芒星 赤 Charge.wav
インフェルノ, 中ビーム 赤 Beam.wav
ライトニングファイア(準備), 五芒星 赤 Charge.wav
ライトニングファイア, 中ビーム 赤 Beam.wav
ライトニングファイア(命中), 爆発
イグニッション(準備), 五芒星 赤 Charge.wav
イグニッション, 大ビーム 赤 Beam.wav
イグニッション(命中), 火柱
エクステンション(準備), 五芒星 赤 Charge.wav
エクステンション, 大ビーム 赤 Beam.wav
エクステンション(命中), 火柱
アポカリプス(準備), 五芒星 赤 Charge.wav
アポカリプス, 波動放射 レッド Beam.wav
アポカリプス(命中), 大落雷
スターダスト(準備), 五芒星 赤 大 Charge.wav
スターダスト, ＭＡＰビーム
スターダスト(命中), 超爆発
スィング, 白兵連撃
フルスィング, 白兵連撃
フレイムスイング(準備), 魔法集中 赤 小
フレイムスイング, 白兵連撃
フレイムエンチャント(準備), 魔法集中 赤 小
フレイムエンチャント, 白兵連撃
ヒートスイング(準備), 魔法集中 赤 小
ヒートスイング, 白兵連撃
ドライフロア, 五芒星 赤
永遠神剣『失望』, 日本刀突撃
永遠神剣『月光』, 日本刀突撃
居合の太刀, 日本刀突撃
居合の太刀(命中), 斬撃乱舞
飛燕の太刀, 日本刀突撃
飛燕の太刀(命中), 斬撃
雲散霧消の太刀, 日本刀突撃
雲散霧消の太刀(命中), 斬撃乱舞
月輪の太刀, 日本刀突撃
