
スレイヤーズ
インバースストライク, 格闘
ショートソード,	ショートソード
フリーズ・アロー(準備), 五芒星 Charge.wav
フリーズ・アロー(攻撃), 光投射 青 Bow.wav
フリーズ・アロー(命中), 凍結
フレア・アロー(準備), 五芒星 Charge.wav
フレア・アロー(攻撃), 光投射 赤 Bow.wav
フレア・アロー(命中), 炎 赤
ディル・ブランド(準備), 五芒星 Charge.wav
ディル・ブランド, 旋風
ディグ・ヴォルト(準備), 五芒星 Charge.wav
ディグ・ヴォルト, 電撃
フリーズ・ブリッド(準備), 五芒星 Charge.wav
フリーズ・ブリッド(攻撃), 魔法放射 青 中 相手ユニットＩＤ
フリーズ・ブリッド(命中), 氷柱
エルメキア・ランス(準備), 五芒星 Charge.wav
エルメキア・ランス, 気斬 白
メガ・ブランド(準備), 五芒星 Charge.wav
メガ・ブランド, 煙 Explode(Long).wav 
ファイアー・ボール(準備), 五芒星 Charge.wav
ファイアー・ボール(攻撃), 火炎弾 Beam.wav
ファイアー・ボール(命中), 炎 赤
ブラスト・アッシュ(準備), 五芒星 黒 Charge.wav
ブラスト・アッシュ, 特殊光線 黒
ダム・ブラス(準備), 五芒星 Charge.wav
ダム・ブラス(攻撃), 気弾 黄色
ダム・ブラス(命中), ダメージ
ダイナスト・ブラス(準備), 五芒星 黒 Charge.wav
ダイナスト・ブラス, メガショックビーム
ドラグ・スレイブ(すぺしゃる)(準備), 五芒星 黒;フェイスアップ 赤 Charge(high).wav
ドラグ・スレイブ(すぺしゃる)(攻撃),  巨大ビーム 赤 電撃
ドラグ・スレイブ(すぺしゃる)(命中),  巨大ビーム 赤;爆発
体当たり, タックル
#
高笑い, 音波
ナーガ・ストラッシュ, 格闘
ホーリー・ブレス(準備), 六芒星 白 Charge.wav
ホーリー・ブレス(攻撃), ＭＡＰフラッシュ
ホーリー・ブレス(命中), 発光 白
ボム・ディ・ウィン(準備), 五芒星 Charge.wav
ボム・ディ・ウィン(攻撃), ＭＡＰ気弾 白
ボム・ディ・ウィン(命中), 旋風
ディミルアーウィン(準備), 五芒星 Charge.wav
ディミルアーウィン(攻撃), 竜巻
ディミルアーウィン(命中), 乱打
フェルザレード(準備), 五芒星 Charge.wav
フェルザレード(攻撃), 大ビーム 白
フェルザレード(命中), 発光
ダルフ・ゾーク(準備), 五芒星 黒 Charge.wav
ダルフ・ゾーク(攻撃), 波動放射
ダルフ・ゾーク(命中), 津波
カオス・ストリング(準備), 五芒星 Charge.wav
カオス・ストリング(攻撃), ネット
カオス・ストリング(命中), 斬撃
#
セイルーンクラッシュ, 格闘
誠意ある説得, 音符 Thunder.wav
平和主義者クラッシュ, 打撃突撃
平和主義者クラッシュ(解説), $(ユニット)は身もフタもない技で攻撃をかけた。
愛情ダブルインパクト, 同時スーパーパンチ
#
バーディーくん, 投げナイフ
ハリスくん, ナイフ
リパーくん, ショートソード
カルマくん,  日本刀
ジャックくん, ソード
#
合唱高笑い, 音波;音波
#
レイピア, レイピア
#
ブレード・ハウト, 地表衝撃波 白
黒いバスタードソード, 黒剣
#
光の刃(準備), ライトセイバー 青
光の刃, ニードルレーザー 青
光の刃(命中), ビームサーベル 青
光の剣, ライトセイバー 青
阻止(光の剣), 切り払い
#
ひざかっくん, 打撃突撃
#
デコピン, 打突
#
メギド・フレア(準備), 六芒星 白 Charge.wav
メギド・フレア(攻撃), 火炎弾 白
メギド・フレア(命中), 発光 白
リカバリィ(準備), 六芒星 白 Charge(Long).wav
リカバリィ, 回復魔法
#
リザレクション(準備), 六芒星 白 Charge(Long).wav
リザレクション, 回復魔法
ディクリアリィ(準備), 六芒星 白 Charge(Long).wav
ディクリアリィ, 回復魔法
#
アーク・ブラス(準備), 五芒星 Charge.wav
アーク・ブラス, ＭＡＰ放電
#
エルメキア・フレイム(準備), 五芒星 Charge.wav
エルメキア・フレイム, 波動放射 白



