
# ＳＲＣ開発センター配布の効果音ファイルをＤＬしておくと吉です。

セブン＝フォートレス
ヴァスクラッフ, Swing.wav
ヴァスクラッフ(命中), 2;Slash.wav;Bubble.wav
ニムリング, Swing.wav
ニムリング(命中), Slash.wav
ニムリング(クリティカル), Flair.wav
ディネガー, Swing.wav
ディネガー(命中), Stab.wav
シーサーペントウィップ(命中), 3;Whip.wav
シーサーペントウィップ(クリティカル), BeamSaber.wav
スコップ(命中), Tub.wav
フランベルジュ, Swing.wav
フランベルジュ(命中), Slash.wav
ロングボウ, Bow.wav
ロングボウ(命中), Stab.wav
チェーンウィップ, Swing.wav
チェーンウィップ(命中), Whip.wav
招力放翔(準備), Charge(High).wav
招力放翔, Jet.wav
招力放翔(命中), Explode(Far).wav
水竜闘気斬, Whiz.wav
水竜闘気斬(命中), Slash.wav
神雷招, Thunder.wav
急所突き(命中), Stab.wav
魔闘剣, AntiAirMissile.wav
魔闘剣(命中), Shock(low).wav
昇竜挙(命中), 2;Punch.wav;Bazzoka.wav
渾身の一撃(命中), 1;Slash.wav;Shock(low).wav
ベガ夫流格闘術(命中), Punch.wav
ベガ帽子(命中), Slash.wav
目から怪光線, LaserGun.wav
ダブル○ープレス(命中), Punch(2).wav
ベガミサイル(準備), Reload.wav
ベガミサイル, Missile.wav
ベガミサイル(命中), Explode.wav
サイコ○ラッシャー, FlyBy(High).wav
闇薙竜尾斬, -
紫電(命中), Slash.wav
二刀流(命中), 2;Slash.wav;Slash.wav
居合い(命中), Sword.wav
闇影四重陣(準備), 1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;Whiz.wav
闇影四重陣, Swing.wav
闇影四重陣(命中), Search.wav
爆砕剣(命中), 1;Inori.wav;Shock(low).wav
隙間撃ち(命中), Stab.wav
シャドウブレード改, BeamSaber.wav
シャドウブレード改(命中), Saber.wav
闘気一点集中, AntiAirMissile.wav
闘気一点集中(命中), 1;Stab.wav;Explode(Far).wav
チャージ, Bazzoka.wav
チャージ(命中), Shock(Low).wav
属性能力・戦－炎(準備), Fire.wav
属性能力・戦－炎, AntiAirMissile.wav
属性能力・戦－炎(命中), 1;Shock(low).wav;Explode(Far).wav
属性能力・神－森(クリティカル), Sharara.wav
武器落とし(弓)(クリティカル), Sword.wav
パセリ, 2;Swing.wav;Swing.wav
パセリ(命中), 2;Slash.wav;Slash.wav
炎のブレス, Breath.wav
エアドラゴン, Storm.wav
触手, Swing.wav
触手(命中), Shock(low).wav
光弾(命中), Explode(Nuclear).wav
聖光爆烈(命中), Explode(small).wav
光滅羅輪, Drill.wav
光滅羅輪(命中), 1;Slash.wav;1;Slash.wav;Slash.wav
熱光爆烈(命中), Explode.wav
光転疾走, 5;Whiz.wav;3;Explode.wav;3;Explode.wav;Explode.wav
雷爆光矢, Thunder.wav
雷爆光矢(命中), Explode.wav
雷王砲,	-
孔竜雷撃, -
烈空聖雷, 10;Thunder.wav;Explode(Far).wav
聖光疾矢, 2;Beam.wav;2;Beam.wav;Beam.wav
激滅雷光, Thunder.wav
激滅雷光(命中), MultipleRocketLauncher(Light).wav
衝撃空砲, AntiAirMissile.wav
衝撃空砲(命中), Shock(Low).wav
雷神王結界陣(準備), 2;BeamSaber.wav;2;BeamSaber.wav;BeamSaber.wav
雷神王結界陣, Inori.wav
雷神王結界陣(命中), MultipleRocketLauncher.wav
鳳凰乱舞, Jet.wav
鳳凰乱舞(命中), Explode(Far).wav
神獄気斬, Storm.wav
神獄気斬(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
超光爆炸(準備), Charge.wav
超光爆炸, LaserGun.wav
超光爆炸(命中), Explode(Far).wav
七色光弾(準備), Charge(long).wav
七色光弾, 1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
七色光弾(命中), Explode(Nuclear).wav
撃炎弾,	-
閃光火矢, Missile.wav
閃光火矢(命中), Fire.wav
蒼炎爆烈(命中), Explode.wav
爆裂光矢, 5;Flair.wav;FastGun.wav
暴爆跳弾, 2;Cannon.wav;2;Cannon.wav;2;Cannon.wav;2;Cannon.wav;2;Cannon.wav;Cannon.wav
百竜炎覇(準備), Fire.wav
百竜炎覇, MicroMissile.wav
爆炎衝還, Snap.wav
爆炎衝還(命中), Breath.wav
葉刃嵐刃, 1;Whiz.wav;1;Whiz.wav;Whiz.wav
葉刃嵐刃(命中), Slash.wav
葉斬舞刃, 2;Whiz.wav;1;Whiz.wav;1;Whiz.wav;2;Whiz.wav;1;Whiz.wav;Whiz.wav
葉斬舞刃(命中), 2;Slash.wav;1;Slash.wav;1;Slash.wav;2;Slash.wav;1;Slash.wav;Slash.wav
銀葉百裂刃, Storm.wav
銀葉百裂刃(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;12;Charge(long).wav;Explode(Far).wav
鋼水破弾(命中), Whip.wav
水斬円盤(命中), Slash.wav
早水鋭槍(命中), Stab.wav
腐沼召喚, Fold.wav
魔獣咆哮, Growl.wav
暗指光矢(命中), BeamSaber.wav
暗黒爆烈(命中), Explode.wav
暗黒魔矢(命中), BeamSaber.wav
精崩心壊, Hittyuu.wav
闇手斬(命中), Saber.wav
闇炎滅絶, Snap.wav
闇炎滅絶(命中), Fire.wav
獄炎滅殺, Snap.wav
獄炎滅殺(命中), Fire.wav
鋭闇刺, -
鋭闇刺(命中), 3;Stab.wav;3;Stab.wav;Stab.wav
蟹光線(準備), 2;Reload.wav;2;Reload.wav;2;Reload.wav;2;Reload.wav;2;Reload.wav;2;Reload.wav;2;Reload.wav;Reload.wav
蟹光線, 1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
死気波動, Bazooka.wav
死気波動(命中), Shock(Low).wav
黒龍影弾(準備), BeamSaber.wav
黒龍影弾, AntiShipMissile.wav
黒龍影弾(命中), 4;Slash.wav;3;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
冥光気斬(準備), BeamSaber.wav
冥光気斬, AntiAirMissile.wav
冥光気斬(命中), Slash.wav
指氷弾(命中), Punch.wav
冷気爆烈(命中), Glass.wav
氷槍投射(準備), Wind.wav
氷槍投射, Bow.wav
氷槍投射(命中), Stab.wav
美粒死惨, Storm.wav
氷色吐息, Bow.wav
氷槍乱射(準備), Wind.wav
氷槍乱射, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
氷槍乱射(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;Stab.wav
氷結爆烈, Flair.wav
氷結爆烈(命中), 3;Glass.wav;Storm.wav
氷竜裂壊(準備), Wind.wav
氷竜裂壊, 3;Flair.wav;Storm.wav
氷竜裂壊(命中), 4;Slash.wav;3;Slash.wav;1;Slash.wav;5;Slash.wav;Glass.wav
魔雪降来, -
幻獣襲撃, Whiz.wav
幻獣襲撃(命中), Explode(small).wav
三日月光鞭(準備), BeamSaber.wav
三日月光鞭, Saber.wav
三日月光鞭(命中), Whip.wav
三日月舞光, 2;LaserGun.wav;2;LaserGun.wav;2;LaserGun.wav;2;LaserGun.wav;LaserGun.wav
白月光襲(準備), Charge.wav
白月光襲, Beam.wav
白月光襲(命中), 1;Explode.wav;1;Explode.wav;Explode.wav
閃烈月輪破(準備), Hittyuu.wav
閃烈月輪破, LaserGun.wav
閃烈月輪破(命中), Explode(Far).wav
星崩爆球(準備), Charge(High).wav
星崩爆球, Flair.wav
星崩爆球(命中), Explode(Far).wav
幸薄戦士特攻, Jet.wav
幸薄戦士特攻(命中), Crash.wav
絶叫魔導師特攻, Jet.wav
絶叫魔導師特攻(命中), Crash.wav
貫く雷弾, Thunder.wav
貫く雷弾(命中), Inori.wav
聖なる光の爆烈(命中), Explode.wav
