ゼルダの伝説
デクの実, 石
デクの実(命中), Slap.wav
フックショット, クナイ 有線
勇者の弓, 弓矢
コキリの剣, ショートソード
バクダン, 爆弾
デクの棒, 木刀
氷の矢, 弓矢
氷の矢(命中), 凍結
炎の矢, 弓矢
炎の矢(命中), 炎
光の矢, 弓矢
光の矢(命中), 飛沫 黄
大妖精の剣, 大剣
回転斬り(準備), 粒子集中 赤
回転斬り, 回転斬撃
フェザーソード, シミター
金剛の剣, 神剣
金剛の剣(命中), Slash.wav
勇者の盾, スモールシールド
ミラーシールド, ミドルシールド
踏みつけ, タックル
シャボン, 泡球
回転アタック, タックル
まるまりダッシュ, スーパータックル 赤
ゴロンパンチ, アッパー
ゴロンパンチ(命中), 炎
ゴロンプレス, タックル
大バクダン(準備), ダイナマイト
大バクダン, ＭＡＰ大爆発
大バクダン(命中), 爆発
ヒレブーメラン, ブーメラン
武術, 白兵連撃
バリアアタック, スーパータックル 青
シールド防御(バリア), バリア バリア
鬼神剣ビーム, 小ビーム 青
鬼神剣, シャムシール
回転攻撃, 乱打
熱レーザー, 中ビーム 赤
乱射レーザー, 拡散ビーム 黄
捕縛, 触手
巨大コマ, コマ
ムチ, 多触手
レーザー, ニードルレーザー
火炎輪, 火炎弾
オドルワソード, 剣
虫軍団, ニードル連射
岩落とし, 岩
雷撃, 怪光線
雷撃(命中), 電撃
突進, スーパータックル
飲み込み, 噛み付き
魚軍団, ニードル連射
バクハツ(攻撃), タックル
バクハツ(命中), 爆発
