ゼルダの伝説
マスターソード, 剣
ジャンプ斬り, 剣
ジャンプ斬り(攻撃), 振り下ろし Swing.wav
ジャンプ斬り(命中), 唐竹割り
回転斬り(準備), 剣
回転斬り(攻撃), 回転斬撃
回転斬り(命中), なぎ払い
妖精の弓, 弓矢
炎の矢, 弓矢
炎の矢(命中), 炎
氷の矢, 弓矢
氷の矢(命中), 凍結
光の矢, 弓矢
光の矢(命中), 発光 黄
メガトンハンマー, ウォーハンマー
フックショット(攻撃), 実弾発射 Weapon\EFFECT_Bind01.bmp Bow.wav
フックショット(命中), 刺突 Stab.wav
反射(退魔剣マスターソード), 切り払い
反射(退魔剣マスターソード)(解説), $(ユニット)はマスターソードで$(相手武器)を打ち返した。
バクダン, 爆弾
デクの棒, 棒
コキリの剣, 剣
妖精のパチンコ, パチンコ
ブーメラン, ブーメラン
デクの実(命中), 閃光手榴弾
ソード, 黒剣
ダークマスターソード, 黒剣
ジャンプ斬り(敵), 黒剣
ジャンプ斬り(敵)(攻撃), 振り下ろし Swing.wav
ジャンプ斬り(敵)(命中), 唐竹割り
魔神剣, 黒剣
魔神双剣, 黒剣 二刀流
光球(攻撃), 球電
光球(命中), 球電 Glass.wav
光球・乱射(攻撃), 球電;2;球電;2;球電
光球・乱射(命中), 球電 Glass.wav;球電 Glass.wav;球電 Glass.wav
爪, 爪撃
炎, 火炎放射
転がり攻撃, タックル
電撃, 電撃
槍, スピア
突進, スピア突撃
落石, 岩
触手, 触手 青
振り回し(攻撃),触手 青
振り回し(命中),ジャイアントスイング
体当たり, 打突
冷凍魔法(準備), 魔法集中 青 Charge.wav
冷凍魔法(攻撃), 吹雪 Whiz.wav
冷凍魔法(命中), 凍結
火炎魔法(準備), 魔法集中 赤 Charge.wav
火炎魔法(攻撃), 火炎放射 Whiz.wav
火炎魔法(命中), 火炎放射
体当たり, 格闘
衝撃波, ＭＡＰ地震
踏み付け, 踏み潰し
パンチ, 打突
押し潰し, 格闘
大斧, ハルバード







#独自のグラフィックを用いる際のデータ
#以下のグラフィックを下記のようにリネーム。
#マスターソード→EFFECT_MasterSword.bmp
#デクの実　　　→EFFECT_Decnomi.bmp
#フックショット→EFFECT_HookShot.bmp
#
#そしてこっちのデータを用いる。
#マスターソード(準備), 振る武器 EFFECT_MasterSword.bmp
#マスターソード(攻撃), 斬撃
#マスターソード(命中), 斬撃
#回転斬り(準備), 振る武器 EFFECT_MasterSword.bmp
#回転斬り(攻撃), 回転斬撃
#回転斬り(命中), なぎ払い
#ジャンプ斬り(準備), 振る武器 EFFECT_MasterSword.bmp
#ジャンプ斬り(攻撃), 振り下ろし Swing.wav
#ジャンプ斬り(命中), 唐竹割り
#デクの実(準備), 振る武器 EFFECT_Decnomi.bmp
#デクの実(攻撃), 手投げ武器 EFFECT_Decnomi.bmp
#デクの実(命中), 閃光手榴弾
#フックショット(準備), 射撃武器 EFFECT_HookShot.bmp
#フックショット(攻撃), 実弾発射 Weapon\EFFECT_Bind01.bmp Bow.wav
#フックショット(命中), 刺突 Stab.wav

