

タクティクスオウガ
ミニマムダガー(準備), ナイフ
ミニマムダガー(攻撃), 斬撃 Stab.wav
ミニマムダガー(命中), 斬撃 Stab.wav
ショートソード(準備), ショートソード
ショートソード(攻撃), 斬撃 Slash.wav
ショートソード(命中), 斬撃 Slash.wav
バルダーダガー(準備), ナイフ
バルダーダガー(攻撃), 斬撃 Stab.wav
バルダーダガー(命中), 斬撃 Stab.wav
バルダーソード(準備), 剣
バルダーソード(攻撃), 斬撃 Slash.wav
バルダーソード(命中), 斬撃 Slash.wav
スレンダースピア(準備), スピア
スレンダースピア(攻撃), スピア Swing.wav
スレンダースピア(命中), 刺突 Stab.wav
バルダースピア(準備), スピア
バルダースピア(攻撃), スピア Swing.wav
バルダースピア(命中), 刺突 Stab.wav
アースジャベリン(準備), スピア
アースジャベリン(攻撃), スピア Swing.wav
アースジャベリン(命中), 刺突 Stab.wav
ペンティスカ(準備), スピア
ペンティスカ(攻撃), スピア Swing.wav
ペンティスカ(命中), 刺突 Stab.wav
ショートボウ(準備), 弓矢
ショートボウ(攻撃), 弓矢
ショートボウ(命中), 矢
ボウガン(準備), クロスボウ
ボウガン(攻撃), クロスボウ
ボウガン(命中), 矢
バルダーボウ(準備), 弓矢
バルダーボウ(攻撃), 弓矢
バルダーボウ(命中), 矢
ツインクロスボウ(準備), クロスボウ
ツインクロスボウ(攻撃), クロスボウ
ツインクロスボウ(命中), 矢
雷神の弓(準備), 弓矢
雷神の弓(攻撃), 弓矢
雷神の弓(命中), 矢
フランシスカ(準備), トマホーク
フランシスカ(攻撃), 斬撃 Slash.wav
フランシスカ(命中), 斬撃 Slash.wav
バルダーアックス(準備), 両刃斧
バルダーアックス(攻撃), 斬撃 Slash.wav
バルダーアックス(命中), 斬撃 Slash.wav
ハルトハンマー(準備), ハンマー
ハルトハンマー(攻撃), 打突
ハルトハンマー(命中), 打撃
バルダークラブ(準備), ウォーハンマー
バルダークラブ(攻撃), 打突
バルダークラブ(命中), 打撃
破魔のムチ(準備), 鞭
破魔のムチ(攻撃), 斬撃 Whip.wav
破魔のムチ(命中), 斬撃 Whip.wav
シプレの杖(準備), ロッド
シプレの杖(攻撃), 打突
シプレの杖(命中), 打撃
バルダーメイス(準備), メイス
バルダーメイス(攻撃), 打突
バルダーメイス(命中), 打撃
ファイアワンド(準備), ロッド
ファイアワンド(攻撃), 打突
ファイアワンド(命中), 打撃
マドゥ(準備), クロー
マドゥ(攻撃), 白兵連撃 Slash.wav
マドゥ(命中), 爪撃 Slash.wav
ブラックキャット(準備), クロー
ブラックキャット(攻撃), 白兵連撃 Slash.wav
ブラックキャット(命中), 爪撃 Slash.wav
デゼールブレード(準備), ソード
デゼールブレード(攻撃), 斬撃 Slash.wav
デゼールブレード(命中), 斬撃 Slash.wav
イセベルグ(準備), 大剣 Swing.wav
イセベルグ(攻撃), 斬撃 Slash.wav
イセベルグ(命中), 大斬撃 Slash.wav
アンビシオン(準備), エストック
アンビシオン(攻撃), 刺突 Slash.wav
アンビシオン(命中), 刺突 Slash.wav
サンシオン(準備), ハンマー
サンシオン(攻撃), 打突
サンシオン(命中), 打撃
ニフリートソード(準備), ソード
ニフリートソード(攻撃), 斬撃 Slash.wav
ニフリートソード(命中), 斬撃 Slash.wav
トゥルエノ(準備), クロー
トゥルエノ(攻撃), 白兵連撃 Slash.wav
トゥルエノ(命中), 爪撃 Slash.wav
ラプチャーローズ(準備), 鞭
ラプチャーローズ(攻撃), 斬撃 Whip.wav
ラプチャーローズ(命中), 斬撃 Whip.wav
グラムロック(準備), 両刃斧
グラムロック(攻撃), 斬撃 Slash.wav
グラムロック(命中), 斬撃 Slash.wav
ペニテンス(準備), ソード
ペニテンス(攻撃), 斬撃 Slash.wav
ペニテンス(命中), 斬撃 Slash.wav
ファフニール(準備), ソード
ファフニール(攻撃), 斬撃 Slash.wav
ファフニール(命中), 斬撃 Slash.wav
ダブルアタック(準備), 剣
ダブルアタック(攻撃), 連斬撃 Swing.wav
ダブルアタック(命中), 連斬撃 Slash.wav
シールドアタック(準備), 突く武器 \Anime\Shield\EFFECT_Shield01.bmp
シールドアタック(攻撃), 突く武器突撃 \Anime\Shield\EFFECT_Shield01.bmp
シールドアタック(命中), 強打
カマンダスガン(準備), ニューナンブ
カマンダスガン(攻撃), ニューナンブ
カマンダスガン(命中), 銃弾
ウィンドショット(準備), 魔法集中 白
ウィンドショット(攻撃), 光球 白
ウィンドショット(命中), 強風
ファイアストーム(準備), 六芒星 赤 EvilEye.wav
ファイアストーム(攻撃), 火炎弾 Fire.wav
ファイアストーム(命中), 火柱 Fire.wav
ストライクノヴァ(準備), 魔法集中 赤
ストライクノヴァ(攻撃), 光球 赤
ストライクノヴァ(命中), 爆発
サンダーフレア(準備), 六芒星 黄 EvilEye.wav
サンダーフレア(攻撃), ＭＡＰ落雷 Thunder.wav
サンダーフレア(命中), 電撃 Thunder.wav
アイスブラスト(準備), 六芒星 青 EvilEye.wav
アイスブラスト(攻撃), 石柱 青 Glass.wav
アイスブラスト(命中), 凍結 Glass.wav
アシッドクラウド(準備), 六芒星 緑 Flair.wav
アシッドクラウド(攻撃), 岩弾
アシッドクラウド(命中), 煙 Shock(Low).wav
クラッグプレス(準備), 六芒星 緑 Flair.wav
クラッグプレス(攻撃), 岩弾
クラッグプレス(命中), 煙 Shock(Low).wav
アシッドレイン(準備), 六芒星 青 EvilEye.wav
アシッドレイン(攻撃), 氷弾 青 Glass.wav
アシッドレイン(命中), 凍結 Glass.wav
ナイトメア(準備), 六芒星 黒 EvilEye.wav
ナイトメア(攻撃), １ＷＡＹ射出
ナイトメア(命中), 発光 黒 Inori.wav
ワードオブペイン(準備), 六芒星 黒 EvilEye.wav
ワードオブペイン(攻撃), １ＷＡＹ射出
ワードオブペイン(命中), 粒子集中 黒
サラマンダー(準備), 六芒星 赤 EvilEye.wav
サラマンダー(攻撃), ８ＷＡＹ射出 赤 Stab.wav
サラマンダー(命中), 火柱 Fire.wav
ノーム(準備), 六芒星 緑 EvilEye.wav
ノーム(攻撃), ８ＷＡＹ射出 緑 Stab.wav
ノーム(命中), 煙 Shock(Low).wav
フェンリル(準備), 六芒星 青 EvilEye.wav
フェンリル(攻撃), ８ＷＡＹ射出 Stab.wav
フェンリル(命中), 凍結 MultipleRocketLauncher.wav
サンダーバード(準備), 六芒星 黄 EvilEye.wav
サンダーバード(攻撃), ８ＷＡＹ射出 黄 Stab.wav
サンダーバード(命中), 球電
ダークロア(準備), 六芒星 黒 EvilEye.wav
ダークロア(攻撃), ８ＷＡＹ射出 黒
ダークロア(命中), 発光 黒
