
Ｔシリーズ
流体多結晶合金(発動), @戦闘アニメ_変形発動 TERM_TerminetorT1000U.bmp
改良型流体多結晶合金(発動), @戦闘アニメ_変形発動 TERM_TerminetorTXU.bmp
拳, 打突
プラズマライフル, ビームライフル
AMT_Hardballer, ライフル EFFECT_RWG_AMT_HARDBALLERLONGSLIDE.bmp
UZI_Submachinegun, サブマシンガン
AR18, マシンガン
SPAS12, ショットガン
Ithaca_Model37, ショットガン
MM1(攻撃), グレネード;ＭＡＰ煙 白
MM1(命中), 煙 白
MM1<直射>(攻撃), グレネード
MM1<直射>(命中), 強打
Colt_Combat_Elite, ピストル
XM177, マシンガン
Winchester_M1887(SwordOff), ショットガン
GE_M134, チェーンガン Anime\Weapon\EFFECT_Gatling01.bmp
M79_GrenadeLancher, グレネードランチャー EFFECT_RWG_M79GrenadeLauncher.bmp
Glock18, ピストル
H&K_G36K, マシンガン
Remington_M870, ショットガン
Browning_M1919, チェーンガン
Exculibur_Mk2, グレネードランチャー
RPG_7(準備), ロケットランチャー EFFECT_RWG_RPG7.bmp
RPG_7(攻撃), ロケットランチャー EFFECT_RWG_RPG7(N).bmp
RPG_7(命中), ロケットランチャー
格闘術, 格闘
ブレード, 仕込み刃
串刺し(命中), 超打 Stab.wav
Beretta_M92FS, ピストル EFFECT_RWG_BERETTA_M92.bmp
Browning_HiPower, ピストル
H&K_MP5K, サブマシンガン
トランスジェクター, 刺突
エンジンカッター, チェーンソー
火炎放射器, 火炎放射
プラズマ砲, 中ビーム
S&W_M4506, リボルバー
GAU-19, チェーンガン

人類
S&W_M15, リボルバー
Speedsix, リボルバー
Ithaca_Model37(SwordOff), ショットガン
Detonics_M1911_Custom, ピストル
XM177, マシンガン
Remington_M870, ショットガン
Glock18, ピストル
AKMS, マシンガン EFFECT_RWG_AK47.bmp
