
アリオン＝フェブリオ
無銘, 斬撃
スラッシュ, 大斬撃
スラッシュストーム, 大斬撃
マジックミサイル(攻撃), 六芒星 白
マジックミサイル(命中), ダメージ
マジックブラスト(攻撃), 六芒星 白
マジックブラスト(命中), ダメージ
これでもくらえ！(攻撃), 振り下ろし
これでもくらえ！(命中), 超斬撃 赤
これでもくらえ！(解説), $(ユニット)は全力を込めた攻撃をしかけた。
ヒール, 回復魔法
フルヒール, 回復魔法
急場しのぎ, 回復魔法

騎士エンデ
霊剣オルス, 刺突
ディバインソード, 刺突 緑
ディバインストライク, 刺突 緑
ライトニングソード, 刺突 黄
ライトニングアサルト, 刺突 黄
ヴァルキリー, 連突 緑
猛襲の構え, 発光 紫 Flair.wav;攻撃力ＵＰ;防御力ＤＯＷＮ
守勢の構え, 発光 紫 Flairwav;攻撃力ＤＯＷＮ;防御力ＵＰ
騎士の誇り, 発光 紫 Flair.wav;攻撃力ＵＰ;防御力ＵＰ;移動力ＵＰ

カバネ＝ユエン＝ホムラ
焔刀ヤシャ, 斬撃
紅蓮斬, 大斬撃 赤
紅蓮円斬, 大斬撃 赤
無明斬, 大斬撃 黒
無明円斬, 大斬撃 黒
焔朱(命中), 炎 Explode.wav
焔朱演舞(命中), 連続爆発
虚眠術, 光投射
虚黙術, 光投射
虚亡術, 光投射
虚眠斬, 斬撃
虚黙斬, 斬撃
虚亡斬, 斬撃
吸命斬(攻撃), 斬撃
吸命斬(命中), 斬撃;吸収
幻刀連斬(準備), -
幻刀連斬(攻撃), 斬撃
幻刀連斬(命中), クリティカル斬撃
七刀乱舞, 回転大炎斬撃

グリシーヌ＝ルフトハウゼル
フレミア(攻撃), 斬撃
フレミア(命中), 打突
ファイアボルト(命中), 炎 Explode.wav
インフェルノ(命中), 連続爆発
アイスボルト(命中), 凍結 Glass.wav
ブリザード(命中), 吹雪 Glass.wav
サンダーボルト(命中), 落雷
ライトニングストーム(命中), 大電撃
スリープ, 六芒星 白
ウィークネス, 六芒星 白
ディスエンチャント, 六芒星 白
ＷＧ＝スーパーノヴァ, ＭＡＰ大爆発
ＷＧ＝スーパーノヴァ(解説), $(ユニット)はワールドジェネシス＝スーパーノヴァで攻撃をかけた。
フレミア＆スロータ(攻撃), ＭＡＰオーラ 赤 Explode(Far).wav
フレミア＆スロータ(命中), 大爆発

ミリア＝サルディン
破魔の錫杖(準備), -
破魔の錫杖(攻撃), 斬撃
破魔の錫杖(命中), 打突
ホーリーライト(命中), 発光 白 Glass.wav
ホーリーワード(命中), 発光 白 Glass.wav
グローリア(命中), 光大噴出 白 Glass.wav
カース(命中), 発光 白 BeamShot.wav
コンフュージョン(命中), 発光 白 BeamShot.wav
ヒール, 回復魔法
ヒーリングサークル, 回復魔法
アンセム, 回復魔法
キュア, 回復魔法
キュアオール, 回復魔法

レジーナ＝ノギア
短剣, 斬撃
ハンティングボウ, 弓矢
スナイプ, 弓矢
フォースアロー, 弓矢
パラライズアロー, 弓矢
サウザンドアロー, 弓矢連射
影縫いの魔弓, 弓矢連射

魔族の狩人ロゼ
無銘(ロゼ)(攻撃), 振り下ろし
無銘(ロゼ)(命中), 唐竹割り
フロストスマッシュ(攻撃), 振り下ろし
フロストスマッシュ(命中), 唐竹割り 青
フロストラッシュ(攻撃), 振り下ろし
フロストラッシュ(命中), 唐竹割り 青
シャドウスマッシュ(攻撃), 振り下ろし
シャドウスマッシュ(命中), 唐竹割り 黒
シャドウラッシュ(攻撃), 振り下ろし
シャドウラッシュ(命中), 唐竹割り 黒
レックレスチャージ(攻撃), 回転斬撃
レックレスチャージ(命中), 唐竹割り
ハウリングブレード(攻撃), 振り下ろし
ハウリングブレード(命中), 唐竹割り
氷河龍の牙(攻撃), 振り下ろし
氷河龍の牙(命中), 超斬撃 青
手負いの獅子(攻撃), 振り下ろし
手負いの獅子(命中), 超斬撃 黒
魔性開放, 発光 紫 Flair.wav;攻撃力ＵＰ

シルヴィア＝ヴェスパー
古老樹の杖(準備), -
古老樹の杖(攻撃), 斬撃
古老樹の杖(命中), 打突
気合いの一撃(攻撃), 斬撃
気合いの一撃(命中), 強打
バーニングショット(命中), 炎 Explode.wav
エクスプロージョン(命中), 大爆発
フロストショット(命中), 凍結 Glass.wav
アイスクエイク(命中), 氷柱  Glass.wav
サンダーショット(命中), 落雷
テンペスト(命中), 大電撃
ウィンドプリズン, 強風
サイクロン, 旋風
デスクラウド(命中), 煙 紫
ジャッジメント(命中), 大落雷
ディスインテグレート(命中), 飛沫 橙 Glass.wav

氷の人形姫ナーダ
人形(準備), しもべ DCZ2_SnowDollU.bmp
雪人形の飛礫(命中), 凍結 Glass.wav
人形たちの雪合戦(命中), 雪だるま Glass.wav
雪人形の影(命中), 粒子集中 黒 Whiz.wav;飛沫 黒 Explode.wav
雪人形の影法師(命中), 粒子集中 黒 Whiz.wav;飛沫 黒 Explode.wav
眠くなる踊り(命中), 周囲回転 DCZ2_SnowDollU.bmp Bubble.wav
言葉も出ない踊り(命中), 周囲回転 DCZ2_SnowDollU.bmp Bubble.wav
わからなくなる踊り(命中), 周囲回転 DCZ2_SnowDollU.bmp Bubble.wav
絶対零度の迷宮, ＭＡＰ氷柱 Glass.wav
雪人形の謝肉祭(命中), つらら Glass.wav;つらら Glass.wav

ミズチ＝マオ＝ホムラ
咬竜の魔扇, 斬撃
混乱の一撃, 回転斬撃
ダークバースト(命中), 粒子集中 黒 Whiz.wav;飛沫 黒 Explode.wav
みだれ撃ち, なぎ払い
連撃, 連斬撃
ファイアストーム(命中), 大爆発
アイスストーム(命中), 吹雪 Glass.wav
サンダーストーム(命中), 大電撃
ダークレイ(命中), 大ビーム 黒

ネイル＝ダスクウォーカー
暗剣ドゥーム, 斬撃
麻痺の一撃, 回転斬撃
サイレンス, 六芒星 白
ミュータント＝ナイトメア, 召喚 DCZ2_MutantNightmareU.bmp
無数の幻影, 召喚 DCZ2_MutantNightmareU.bmp;召喚 DCZ2_MutantNightmareU.bmp;召喚 DCZ2_MutantNightmareU.bmp

トゥース＝ダスクウォーカー
灼剣プロミナ, 斬撃
連撃, 連斬撃
ミュータント＝ナイトメア, 召喚 DCZ2_MutantNightmareU.bmp
幻影分身, 分身斬撃

カルディア＝トロイメロール
キラーテイル(攻撃), 斬撃
キラーテイル(命中), 打突 Whip.wav
ファイアブラスト(命中), 炎 Explode.wav
ファイアバースト(命中), 連続爆発
ヒール, 回復魔法

影無き剣士ヒカゲ
妖刀ムラマス, 斬撃
乱撃, 回転斬撃
連撃, 連斬撃

竜人アイアンハイド
頭蓋割りの戦斧, 斬撃
みだれ撃ち, なぎ払い
渾身の一撃(攻撃), 振り下ろし
渾身の一撃(命中), 超打 Crash.wav
