
### 戦闘アニメ #######################################################

ＴＯＳ
ウッドブレード, 木刀 二刀流
シンクレアー, サーベル 二刀流
マテリアルブレード, ダブル斬撃
チャクラム(攻撃), 斬撃
スティールソード, ソード
レーザーブレード, ビームサーベル
イージープレイ, -
イージープレイ(命中), 打撃
フォーリンスター, -
フォーリンスター(命中), 打撃
ジェムロッド, 杖
ルビーワンド, 杖
式符, 打突
阿修羅(命中), 打撃
フランシスカ, 片刃斧
ダブルセイバー, ダブル斬撃
長剣(準備), -
大斧(準備), -
杖(準備), -
杖(命中), 打撃
忍刀, 脇差
シールド防御(粋護陣), バリア BeamCoat.wav "粋護陣"
シールド防御(レデュース・ダメージ), バリア BeamCoat.wav "レデュース・ダメージ"
シールド防御(フォースフィールド), バリア BeamCoat.wav "フォースフィールド"
シールド防御(衝弾符), バリア BeamCoat.wav "衝弾符"
シールド防御(地精陣), バリア BeamCoat.wav "地精陣"
シールド防御(不剄), バリア BeamCoat.wav "不剄"
魔神剣(準備), -
魔神剣(攻撃), 地表衝撃波
魔神剣(命中), ダメージ 青 Saber.wav
剛・魔神剣(準備), -
剛・魔神剣(攻撃), 地表衝撃波 橙
剛・魔神剣(命中), ダメージ 橙 Saber.wav
魔皇刃(攻撃), 光噴出 青 Saber.wav 対象ユニットＩＤ;地表衝撃波
魔皇刃(命中), ダメージ 青 Saber.wav
魔神剣・双牙(準備), -
魔神剣・双牙(攻撃), 地表衝撃波;Whiz.wav
魔神剣・双牙(命中), ダメージ 青 Saber.wav;Saber.wav
魔神連牙斬(攻撃), 地表衝撃波;Whiz.wav;地表衝撃波
魔神連牙斬(命中), ダメージ 青 Saber.wav;Saber.wav
裂空斬, 回転斬撃
裂斬風, 回転斬撃
真空裂斬(攻撃), 回転斬撃
真空裂斬(命中), 回転斬撃;振り上げ
虎牙破斬, 振り上げ;斬撃
虎牙烈斬(攻撃), 振り上げ;斬撃
虎牙烈斬(命中), 振り上げ;大斬撃
猛虎豪破斬(攻撃), 振り上げ;斬撃;振り上げ;斬撃
猛虎豪破斬(命中), 振り上げ;斬撃;振り上げ;大斬撃
虎牙連斬, 振り上げ;なぎ払い;斬撃
散沙雨, 連突
綜雨衝, 連突
秋沙雨, 連突;振り上げ
斬光時雨(攻撃), 連突;振り上げ
斬光時雨(命中), 連突;振り上げ;斬撃
瞬迅剣(攻撃), 斬撃突撃
