
ＴＯＤ
ディムロス, Swing.wav
ディムロス(命中), Slash.wav
魔神剣, 2;Swing.wav;3;Beam.wav
魔神剣(命中), Explode(Small).wav
飛燕連脚(命中), 6;Punch(2).wav;3;Slash.wav
爪竜連牙斬, 2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
虎牙破斬(命中), 2;Saber.wav;Saber.wav
烈空斬, Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
断空剣, Storm.wav
獅子戦吼, Whiz.wav
獅子戦吼(命中), 8;Punch(2).wav;2;Bazooka.wav
閃空裂破, Bazooka.wav
閃空裂破(命中), FastGun.wav
鳳凰天駆, 6;Fire.wav;Whiz.wav
鳳凰天駆(命中), Explode(Far).wav
紅蓮剣, 3;Swing.wav;4;Fire.wav
紅蓮剣(命中), Explode.wav
空牙昇竜脚, Fire.wav
空牙昇竜脚(命中), Punch(4).wav
熱破旋風陣, 6;Fire.wav;Storm.wav
熱破旋風陣(命中), Explode(Far).wav
魔王炎撃波(準備), Fire.wav
魔王炎撃波, MicroMissile.wav
魔王炎撃波(命中), Explode(Small).wav
獅吼爆炎陣, Whiz.wav
獅吼爆炎陣(命中), 8;Punch(2).wav;3;Bazooka.wav;4;Explode(Nuclear).wav
殺劇舞荒剣(命中), Explode(Small).wav
皇王天翔翼(命中), Explode(Far).wav
ファイアボール, 5;Whiz.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav
ファイアボール(命中), Explode(Small).wav
イラプション, Whiz.wav
イラプション(命中), Explode.wav
ファイアウォール, Whiz.wav
ファイアウォール(命中), Fire.wav
ファイアストーム, 5;Whiz.wav;Storm.wav
ファイアストーム(命中), Fire.wav
フィアフルフレア, Whiz.wav
フィアフルフレア(命中), FastGun.wav
フレアトーネード, Whiz.wav
フレアトーネード(命中), Explode(Nuclear).wav
エクスプロード, Whiz.wav
エクスプロード(命中), Explode(Nuclear).wav
アトワイト, Swing.wav
アトワイト(命中), Slash.wav
スナイプエア(命中), 2;Slash.wav;Slash.wav
ローバーアイテム, Swing.wav
ローバーアイテム(命中), Slash.wav
スナイプロア(命中), 2;Slash.wav;Slash.wav
ブラッディローズ, 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;6;FastGun.wav
ファーストエイド, Sharara.wav
アイスニードル, Whiz.wav
アイスニードル(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav
ディープミスト, Whiz.wav
ディープミスト(クリティカル), PowerDown.wav
アイストーネード, Whiz.wav
アイストーネード(命中), Glass.wav
アシッドレイン, Shower.wav
アシッドレイン(クリティカル), PowerDown.wav
アンチドート, Sharara.wav
バリアー, BeamCoat.wav
アイスウォール, Whiz.wav
アイスウォール(命中), Glass.wav
リカバー, Sharara.wav
ヒール, Sharara.wav
シャープネス, Charge.wav
サイレンス, Whiz.wav
サイレンス(命中), PowerDown.wav
アイシクル, Whiz.wav
アイシクル(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
ナース, Sharara.wav
ディスペル, Hittyuu.wav
ブリザード, 5;Whiz.wav;Storm.wav
ブリザード(命中), Glass.wav
キュア, Sharara.wav
レイズデッド, Sharara.wav
メイルストローム, Whiz.wav
メイルストローム(命中), Search.wav
リザレクション, Sharara.wav
タイダルウェーブ, Whiz.wav
タイダルウェーブ(命中), Splash.wav
シャルティエ, Bow.wav
シャルティエ(命中), Slash.wav
空襲剣(命中), 2;Slash.wav;Slash.wav
魔人闇, BeamSaber.wav
魔人闇(命中), Explode(Small).wav
ストーンブラスト, 5;Whiz.wav;MachineCannon.wav
グレイブ, 5;Whiz.wav;Punch(3).wav
ピコハン, Swing.wav
ピコハン(命中), Punch.wav
ストーンウォール, Whiz.wav
ストーンウォール(命中), 2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;2;Punch.wav;4;Crash.wav
ピコピコハンマー, Swing.wav
ピコピコハンマー(命中), Punch(3).wav
プレス, Whiz.wav
プレス(命中), Sword.wav
デモンズランス, 5;Whiz.wav;4;BeamSaber.wav;1;BeamShot.wav
デモンズランス(命中), Crash.wav
イクティノス, Swing.wav
イクティノス(命中), Slash.wav
豪烈, Bow.wav
豪烈(命中), Stab.wav
風神剣, 2;Swing.wav;3;Whiz.wav
風神剣(命中), Explode(Small).wav
疾風, 1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
疾風(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav;1;Stab.wav
陽炎, Whiz.wav
陽炎(命中), Slash.wav
雹雨, Bow.wav
雹雨(命中), FastGun.wav
烈空刃, Whiz.wav
烈空刃(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav
ウィンドアロー, Whiz.wav
ウィンドアロー(命中), Explode(Small).wav
ストーム, Storm.wav
ストリームアロー, Whiz.wav
ストリームアロー(命中), 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav
ウォールウィンド, Whiz.wav
ウォールウィンド(命中), Wind.wav
エアスラスト, Whiz.wav
エアスラスト(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav
サイクロン, 5;Whiz.wav;8;Storm.wav;3;Slash.wav;4;Slash.wav;Slash.wav
サイクロン(命中), Slash.wav
ゴッドブレス, 5;Whiz.wav;MultipleRocketLauncher.wav
ゴッドブレス(命中), Bazooka.wav
クレメンテ, Swing.wav
クレメンテ(命中), Slash.wav
ルーンスタッフ, Swing.wav
ルーンスタッフ(命中), Punch.wav
フィリアボム, Swing.wav
フィリアボム(命中), Explode(Small).wav
Ｆ・フィールド, Whiz.wav
Ｆ・フィールド(命中), MachineCannon.wav
ツインボム, 2;Swing.wav;Swing.wav
ツインボム(命中), 5;Explode(Small).wav;Explode(Small).wav
ボムレイン, 2;Swing.wav;2;Swing.wav;2;Swing.wav;2;Swing.wav
ボムレイン(命中), Explode(Far).wav
ライトニング, Whiz.wav
ライトニング(命中), Thunder.wav
トラクタービーム, Charge.wav
トラクタービーム(命中), Crash.wav
レイ, 5;Whiz.wav;LaserGun.wav
レイ(命中), Explode(Small).wav
サンダーブレード, Whiz.wav
サンダーブレード(命中), 5;Thunder.wav;Explode(Small).wav
ホーリーランス, 4;Whiz.wav;2;BeamShot.wav;2;BeamShot.wav;2;BeamShot.wav;2;BeamShot.wav;2;BeamShot.wav
ホーリーランス(命中), Glass.wav
インデグニション, 5;Whiz.wav;5;LaserGun.wav
インデグニション(命中), Thunder.wav
エクステンション, Whiz.wav
エクステンション(命中), Flair.wav
ブラックホール, Whiz.wav
ブラックホール(命中), Explode(Long).wav
メテオスォーム, Whiz.wav
メテオスォーム(命中), 3;Explode(Far).wav;3;Explode(Far).wav;3;Explode(Far).wav;3;Explode(Far).wav;Explode(Far).wav
ディバインパウア, Whiz.wav
ディバインパウア(命中), 8;Storm.wav;8;Fire.wav;8;Storm.wav;3;Glass.wav;8;Storm.wav;3;Slash.wav;4;Slash.wav;Slash.wav;2;Sword.wav
フランヴェルジュ, Swing.wav
フランヴェルジュ(命中), Slash.wav
猛襲剣(命中), 3;Punch.wav;Slash(4).wav
魔神剣・改, 2;Swing.wav;3;Beam.wav
魔神剣・改(命中), Explode(Small).wav
剛雷剣, Swing.wav
剛雷剣(命中), 2;Slash.wav;Slash.wav
剛・魔神剣, 2;Swing.wav;3;Beam.wav
剛・魔神剣(命中), Explode(Small).wav
烈・魔神剣, 2;Swing.wav;3;Beam.wav
烈・魔神剣(命中), Explode(Small).wav
斬！, Whiz.wav
斬！(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;4;Slash.wav;4;Explode(Small).wav
リュート, Swing.wav
リュート(命中), Punch.wav
あたるシンフォニ, Charge.wav
ごーごーサンバ(命中), Punch(2).wav
かわせマーチ, Charge.wav
しびれルンバ(命中), 
ねむれララバイ(命中), 
なかよしワルツ, Sharara.wav
ミラクルボイス(命中), 
カイザーナックル, Swing.wav
カイザーナックル(命中), Punch.wav
ボルトスラスト, Thunder.wav
ボルトスラスト(命中), Crash.wav
ロンブショルダー, Punch(2).wav
グレイトアッパー(命中), Punch(3).wav
ヘルズハリケーン(命中), Punch(4).wav
イカスヒップ, Whiz.wav
イカスヒップ(命中), 2;BeamCoat.wav;Crash.wav
ヘビィボンバー, Charge(long).wav
ヘビィボンバー(命中), Explode(Small).wav
迅雷, Bow.wav
迅雷(命中), Thunder.wav
飛燕, 5;Whiz.wav;1;Bow.wav;1;Bow.wav;1;Bow.wav
飛燕(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wav
死天滅殺弓, Charge(high).wav
死天滅殺弓(命中), 5;Gun.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav
銀のおたま, Swing.wav
銀のおたま(命中), Punch.wav
雷神拳(命中), 2;Punch.wav;Thunder.wav
リリスラッシュ(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
雷神十連撃(命中), 2;FightHit(1).wav;2;FightHit(1).wav;2;FightHit(1).wav;2;FightHit(1).wav;2;FightHit(1).wav;2;FightHit(1).wav;2;FightHit(1).wav;2;FightHit(1).wav;2;FightHit(1).wav;2;FightHit(1).wav;4;Thunder.wav
サンダーソード, Whiz.wav
サンダーソード(命中), 2;FightHit(1).wav;2;FightHit(1).wav;2;FightHit(1).wav;2;FightHit(1).wav;2;FightHit(1).wav;6;LaserGun.wav
ベアクロー, Swing.wav
ベアクロー(命中), Punch.wav
刺突爪拳(命中), Slash.wav
爪辰流撃(命中), 6;Punch(2).wav;3;Slash.wav
超波動弾, LaserGun.wav
シデン, Swing.wav
シデン(命中), Slash.wav
斬崩剣, 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav
斬光剣, 2;Swing.wav;4;MicroMissile.wav
衝撃波, Whiz.wav
衝撃波(命中), Explode(Small).wav
スレイヤーソード, Swing.wav
スレイヤーソード(命中), Slash.wav
一閃(命中), Slash(4).wav
超連斬波, 2;Saber.wav;2;Saber.wav;2;Crash.wav;2;Slash.wav
衝波激突剣, Whiz.wav
衝波激突剣(命中), 2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;2;Slash.wav;6;FastGun.wav
ロケットパンチ, Missile.wav
張り手(命中), Punch.wav
押しつぶし(命中), Crash.wav
シャインボマー, MicroMissile.wav
電撃砲台, 3;Beam.wav;3;3;Beam.wav;3;Beam.wav;3;Beam.wav
爆弾発進(命中), Explode(Far).wav
砲台発進(命中), Explode(Far).wav
ズームパンチ, Swing.wav
ズームパンチ(命中), Punch.wav
飛空虫(命中), Explode(Small).wav
地走虫(命中), Explode(Small).wav
虫乱舞, Combo.wav
ベルセリオス, Swing.wav
ベルセリオス(命中), Slash.wav
ヘルスライサー, Bow.wav
ヘルスライサー(命中), Slash.wav
ブラックウィング, Fire.wav
ブラックウィング(命中), Explode(Far).wav
ミニレーザー, 1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav;1;BeamShot.wav
機雷, -
機雷(命中), 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav
レーザー, 10;Charge(2).wav;MultipleRocketLauncher(Light).wav

リオン＝マグナス(ゾンビ)
魔神剣, 2;Swing.wav;3;Beam.wav;2;Swing.wav;3;Beam.wav
魔神剣(命中), 4;Explode(Small).wav;4;Explode(Small).wav
