
クレス＝アルベイン
魔神剣, 2;Swing.wav;3;Beam.wav
魔神剣(命中), Explode(Small).wav
飛燕連脚(命中), 6;Punch(2).wav;3;Slash.wav
襲爪雷斬(命中), Thunder.wav
秋沙雨(命中), 0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;Sword.wav
虎牙破斬(命中), 2;Saber.wav;Saber.wav
柔招来, Charge.wav
鳳凰天駆, 6;Fire.wav;Whiz.wav
鳳凰天駆(命中), Explode(Far).wav
守護方陣, Whiz.wav
守護方陣(命中), MachineCannon.wav
真空破斬(準備), Charge(high).wav
真空破斬, Swing.wav
真空破斬(命中), Crash.wav
集気法, Sharara.wav
獅子戦吼, Whiz.wav
獅子戦吼(命中), 8;Punch(2).wav;2;Bazooka.wav
剛招来, Charge.wav
閃空裂破, Bazooka.wav
閃空裂破(命中), FastGun.wav
紅蓮剣, 3;Swing.wav;4;Fire.wav
紅蓮剣(命中), Explode.wav
虚空蒼破斬, 2;Swing.wav;3;BeamCoat.wav
虚空蒼破斬(命中), Explode(Small).wav
空間翔転移, Whiz.wav
空間翔転移(命中), 2;Saber.wav;2;Saber.wav;2;Saber.wav
次元斬, Whiz.wav
次元斬(命中), 2;Swing.wav;Explode(Nuclear).wav
猛虎連撃破(命中), 3;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;3;Saber.wav;4;Saber.wav;Saber.wav
魔神飛燕脚, 2;Swing.wav;3;Beam.wav
魔神飛燕脚(命中), 6;Punch(2).wav;3;Slash.wav
魔神双破斬, 2;Swing.wav;3;Beam.wav
魔神双破斬(命中), 2;Saber.wav;Saber.wav
魔神千裂破, 2;Swing.wav;3;Beam.wav
魔神千裂破(命中), 0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;Sword.wav
魔神閃空破, 2;Swing.wav;3;Beam.wav
魔神閃空破(命中), FastGun.wav
獅子飛燕脚, Whiz.wav
獅子飛燕脚(命中), 6;Punch(2).wav;3;Slash.wav
獅子吼破斬, Whiz.wav
獅子吼破斬(命中), 2;Saber.wav;Saber.wav
獅子千裂破, Whiz.wav
獅子千裂破(命中), 0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;Sword.wav
獅子閃空破, Whiz.wav
獅子閃空破(命中), FastGun.wav
襲爪飛燕脚, Thunder.wav
襲爪飛燕脚(命中), 6;Punch(2).wav;3;Slash.wav
襲爪雷斬破, Thunder.wav
襲爪雷斬破(命中), 2;Saber.wav;Saber.wav
襲爪千裂破, Thunder.wav
襲爪千裂破(命中), 0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;0.5;Sword.wav;Sword.wav
襲爪閃空破, Thunder.wav
襲爪閃空破(命中), FastGun.wav
鳳凰天翔脚, 6;Fire.wav;Whiz.wav
鳳凰天翔脚(命中), 6;Punch(2).wav;3;Slash.wav
