
ＴＯＲ
############## 武器 ##############
グラディウス, ソード
フォルティソード(準備), 神剣
フォルティソード, 斬撃
トンファー, トンファー 二刀流
シルバートンファー, トンファー 二刀流
フォルティトンファー, トンファー 二刀流
フォルティスピアー, 方天戟(突)
レザーアームズ, 打撃
スチールアームズ, 打撃
フォルティアームズ, 打撃
カード(準備), トランプ
カード(攻撃), なぎ払い;なぎ払い
カード(命中), 刺突 Slash.wav;刺突 Slash.wav
ホーリィカード(準備), トランプ
ホーリィカード(攻撃), なぎ払い;なぎ払い
ホーリィカード(命中), 刺突 Slash.wav;刺突 Slash.wav
フォルティカード(準備), トランプ
フォルティカード(攻撃), なぎ払い;なぎ払い
フォルティカード(命中), 刺突 Slash.wav;刺突 Slash.wav
仕込み杖, 斬撃
仕込み杖(命中), 打撃
ナイフ投げ, ナイフ投げ
ナイフ投げ(命中), 刺突
グレイブ, ナギナタ
############## 術技 ##############
絶氷刃, 凍斬撃
瞬連塵(攻撃), 振る武器突撃 -.bmp
瞬連塵(命中), 斬撃;連斬撃
裂破衝(攻撃), 連斬撃
裂破衝(命中), 連斬撃 Saber.wav
絶翔斬(攻撃), アッパー
絶翔斬(命中), 振り上げ Saber.wav;斬撃 Glass.wav
幻龍斬(攻撃), 振る武器突撃 -.bmp
幻龍斬(命中), 斬撃;2;振り下ろし;振り上げ
無影衝(攻撃), @戦闘アニメ_転移
無影衝(命中), クリティカル斬撃
旋風槍, なぎ払い
裂駆槍(準備), -
裂駆槍(攻撃), スピア突撃
裂駆槍(命中), 刺突;ダメージ -.wav
轟破槍(準備), -
轟破槍(攻撃), 振り下ろし;@戦闘アニメ_石柱準備 Shock(Low).wav
轟破槍(命中), ダメージ Crash.wav
瞬迅槍(準備), -
瞬迅槍(攻撃), 振る武器突撃 -.bmp
瞬迅槍(命中), 振り下ろし;振り下ろし;振り下ろし
天雷槍(準備), -
天雷槍(攻撃), 振り上げ
天雷槍(命中), 斬撃;@戦闘アニメ_落雷攻撃
滅翔槍(準備), -
滅翔槍(攻撃), 振り上げ
滅翔槍(命中), 振り上げ;@戦闘アニメ_ジャンプ攻撃;大斬撃
翔連脚, キック
轟裂破(攻撃), 振る武器突撃 -.bmp
轟裂破(命中), 強打 Bazooka.wav
牙連撃(攻撃), 連打
牙連撃(命中), 連打 Punch.wav;強打 FightHit(1).wav
疾空破(攻撃), スピンキック
疾空破(命中), 強打 Punch.wav
樹砲閃(攻撃), 矢 Bow.wav
樹砲閃(命中), 刺突
扇翔閃(攻撃), 矢;ＭＡＰビーム 白 Bow.wav
扇翔閃(命中), 刺突
############## 導術 ##############
フレアショット(攻撃), @戦闘アニメ_発光準備 赤 EvilEye.wav;火炎弾 赤 Whiz.wav
フレアショット(命中), 爆発
ウィンドエッジ(攻撃), @戦闘アニメ_発光準備 緑 EvilEye.wav
ウィンドエッジ(命中), エナジーブレード 緑
アーチシェイド(攻撃), @戦闘アニメ_発光準備 黒 EvilEye.wav
アーチシェイド(命中), 黒斬撃 Saber.wav
バーンストライク(攻撃), @戦闘アニメ_発光準備 赤 EvilEye.wav;大キャノン砲 3
バーンストライク(命中), 連続大爆発 3
ガスティーネイル(攻撃), @戦闘アニメ_発光準備 緑 EvilEye.wav
ガスティーネイル(命中), 回転ハイパービームサーベル 緑 AntiAirMissile.wav
ブラッディクロス(攻撃), @戦闘アニメ_発光準備 黒 EvilEye.wav
ブラッディクロス(命中), 発光 黒 Slash.wav;黒斬撃
ロックバラージ(攻撃), @戦闘アニメ_発光準備 橙 EvilEye.wav;実弾発射 Anime\Weapon\EFFECT_Stone01.bmp 32 Whiz.wav 残像
ロックバラージ(命中), 連打
スプラッシャー(攻撃), @戦闘アニメ_発光準備 青 EvilEye.wav
スプラッシャー(命中), 津波 青 Splash.wav
