
テネレッツァ
ハイパーモード(愛という名の魔法), 10;Charge(High).wav;Inori.wav
攻撃無効化(魔法障壁), BeamCoat.wav
護身用ナイフ(命中), Slash.wav
ブロンズソード(命中), Slash.wav
ウインドカッター, 2;Whiz.wav;Whiz.wav
ウインドカッター(命中), 3;Slash.wav;Slash.wav
ファイヤーボール, Beam.wav
ファイヤーボール(命中), Explode.wav
二天一流の心得, Saber.wav
二天一流の心得(命中), 2;Slash(4).wav;Slash(4).wav
アースハンマー(準備), Charge.wav
アースハンマー, Warship.wav
アースハンマー(命中), Crash.wav
フレイムウォール(準備), Charge.wav
フレイムウォール, Interference.wav
フレイムウォール(命中), -
バーニングブラスト(準備), Charge(Long).wav
バーニングブラスト, Storm.wav
バーニングブラスト(命中), MicroMissile.wav
テンペスト(準備), Charge(Long).wav
テンペスト, 3;Beam.wav;3;Beam.wav;3;Beam.wav;3;Beam.wav;Beam.wav
テンペスト(命中), 3;Explode.wav;3;Explode.wav;3;Explode.wav;3;Explode.wav;Explode(Far).wav
クリムゾンフレア(準備), Charge(2).wav
クリムゾンフレア, LaserGun.wav
クリムゾンフレア(命中), MicroMissile.wav
エンジェルコール(準備), Charge(2).wav
エンジェルコール, Storm.wav
エンジェルコール(命中), Interference.wav
フリーズランサー, 2;Beam.wav;2;Beam.wav;Beam.wav
フリーズランサー(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
ロックボム, Bomb.wav
ロックボム(命中), Explode.wav
サイクロン(準備), Charge.wav
サイクロン, 10;Wind.wav;Storm.wav
サイクロン(命中), -
グレシャークロス(準備), Charge.wav
グレシャークロス, Crash.wav
グレシャークロス(命中), 1;Stab.wav;1;Stab.wav;1;Stab.wavStab.wav
メテオ(準備), Charge(Long).wav
メテオ, Bomb.wav
メテオ(命中), Explode(Nuclear).wav
アイスジャベリン(準備), Charge(Long).wav
アイスジャベリン, 2;Saber.wav;2;Saber.wav;2;Saber.wav;MicroMissile.wav
アイスジャベリン(命中), Warship.wav
メルトダウン(準備), Charge(2).wav
メルトダウン, 5;Fold.wav;Explode(Nuclear).wav
メイルシュトローム(準備), Charge(2).wav
メイルシュトローム, 5;Hittyuu.wav;Explode(Nuclear).wav
突撃, Beam.wav
突撃(命中), Stab.wav
ジャマダハル, Saber.wav
ジャマダハル(命中), Sword.wav
スピンラッシュ, 4;Saber.wav;4;Saber.wav;3;Saber.wav;3;Saber.wav;2;Saber.wav;2;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Storm.wav
スピンラッシュ(命中), 1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;Sword.wav
尾撃, Saber.wav
尾撃(命中), WarShip.wav
濃霧, Breath.wav
招雷, 7;Charge.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
アイスレーザー, 1;Beam.wav;1;Beam.wav;Beam.wav
キック, 7;Charge.wav;Beam.wav
キック(命中), Explode.wav
ジャンプ(縮地), Whiz.wav
毒酒の霧, Breath.wav
毒酒の霧(クリティカル), Fold.wav
居合抜き, Swing(2).wav
居合抜き(命中), 3;Slash(4).wav;2;Slash(2).wav;3;Slash(2).wav;Slash(4).wav
斬撃波, 3;Saber.wav;Storm.wav
斬撃波(命中), Slash(4).wav
格闘術(命中), Bazooka.wav
ソニックブーム, 3;Saber.wav;Storm.wav
ソニックブーム(命中), Slash(4).wav
斬馬剣, Saber.wav
斬馬剣(命中), Crash.wav
飛翔扇, 3;Whiz.wav;3;Whiz.wav;Whiz.wav
飛翔扇(命中), Combo.wav
ライトニングアロー, Beam.wav
ライトニングアロー(命中), Stav.wav
サモンアーマー, 7;Charge.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
サモンアーマー(命中), Slash.wav
サモンアーマー(命中), Slash(4).wav
サモンデスサイズ, 7;Charge.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
サモンデスサイズ(命中), Slash.wav
サモンデスサイズ(命中), Slash(4).wav
分身突撃, Whiz.wav
分身突撃(命中), Crash.wav
分身突撃(命中), Bazooka.wav
デビルアポカリプス(準備), Charge.wav
デビルアポカリプス, 1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
デビルアポカリプス(命中), Explode(Long).wav
ギガンティックアーム, 6;MicroMissile.wav;MicroMissile.wav
ギガンティックアーム(命中), 3;Crash.wav;Crash.wav
ギガンティックアーム(命中), 3;Warship.wav;Warship.wav
ライトニング, 1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
ライトニング(命中), Explode(Long).wav
ジャンプ, Bomb.wav
ジャンプ(命中), Explode(Nuclear).wav
