
Ｎ◎ＶＡ市民
格闘, 格闘
サイバーアーム, 格闘
雷神・改, 打突
雷神・改(命中), 放電
降魔刀, 日本刀
小太刀, 脇差
『義経』短刀, 脇差
『ＢＯＯ』トンファー, トンファー
『X.Q.JONAH』チェーンソー, チェーンソー
仕込み杖(攻撃), 斬撃
仕込み杖(命中), 斬撃
オメガＲＥＤ, 鞭
オメガＲＥＤ, エナジーブレード レッド
ガイスト(攻撃), 斬撃
ガイスト(命中), 斬撃
レイザーシャープ, 打突
ＩＤＡ－１０, キック
『夜の剣』クロイツェル, 大剣
巨大斧, 両刃斧
『Ｐ４』ピストル, ピストル
『ＭＰ１０』ピストル, ピストル
『Model.29RE』ピストル, リボルバー
『.45calストッパー』ピストル, ピストル
『ＢＯＭＢ』ピストル, ピストル
『ＡＰＳ１１』ＳＭＧ, サブマシンガン
『ＡＰＳ１１』ＳＭＧ(準備), -
『トンプソンＭ１９２８』ＳＭＧ, サブマシンガン
『ＡＰ４０』ＳＭＧ, サブマシンガン
『ＳＴＷ２４０』ＡＲ, ライフル
『ナックルバスター』ＳＧ, ショットガン
『サンダーボルト』ライフル, 対物ライフル
『Cal.50』機関銃, ガトリング
『ＢＭ』, 対戦車ライフル
Ｓ８イーグル, ピストル
ＢＢマキシマム, ピストル
Ｍ９８Ｆ１, ピストル
『白虎』12.7mm機関砲, 機関砲
『ライトニング』ＭＲ, -
『ライトニング』ＭＲ(命中), 爆発
『龍王』50mmハンドキャノン, バズーカ
ルシファーズハンマー, キャノン砲
ミサイルランチャー, ミサイル
小型ミサイル, 小型ミサイル
タップ, Computer.wav
ＡＩ, オールレンジ
天変地異, ＭＡＰ地震
天変地異, ＭＡＰ強風
天変地異, ＭＡＰ竜巻
天変地異, ＭＡＰ落雷
天変地異, ＭＡＰ吹雪
難攻不落(発動), 決め画像 Info(ユニット, Unit(対象ユニットＩＤ), グラフィック) 前面
扇動, 音波
神の御言葉, 音波
黄泉還り, 光噴出
守護神, 発光
制裁, -
制裁(命中), ダメージ
電脳神, Computer.wav
触手, 触手
風使い, 強風
火炎魔人, 火炎放射
光の運び手, 小ビーム
