
# 以下、レギュラーキャラや秘密道具用の汎用アニメ。

汎用
阻止(秘密道具), バリア Flair.wav 秘密道具
反射(ヒラリマント), マント レッド Swing.wav ヒラリマント
阻止(スーパー手ぶくろ), シールド防御 32 Weapon\EFFECT_Kettleholder01.bmp BreakOff.wav - スーパー手ぶくろ
阻止(秘剣電光丸), @戦闘アニメ_斬撃攻撃; シールド防御 -.bmp -.wav - - 秘剣電光丸 
スモールライト(ドラえもん)(準備), 突く武器 EFFECT_DORA_SmallLight.bmp reload.wav
スモールライト(ドラえもん)(攻撃), 特殊光線 イエロー Sharara.wav
スモールライト(ドラえもん)(命中), 発光 イエロー
空気砲(ドラえもん)(準備), 射撃武器 EFFECT_DORA_KuukiHou.bmp reload.wav
空気砲(ドラえもん)(攻撃), 手持ち発射 EFFECT_DORA_KuukiHou.bmp 28 対象ユニットＩＤ Bullet\EFFECT_AuraBall01.bmp 32 Bazooka.wav
空気砲(ドラえもん)(命中), 強打
空気砲×２(準備), 振る武器 EFFECT_DORA_KuukiHou.bmp reload.wav 二刀流
空気砲×２(攻撃), 連気弾 Bazooka.wav
空気砲×２(命中), 強打; 強打
スーパー手ぶくろ(ドラえもん)(攻撃), 打突
スーパー手ぶくろ(ドラえもん)(命中), 投げ飛ばし
秘剣電光丸(ドラえもん)(準備), 竹刀
秘剣電光丸(ドラえもん)(攻撃), 連斬撃
秘剣電光丸(ドラえもん)(命中), 唐竹割り
瞬間接着銃(ドラえもん), 消火器 Weapon\EFFECT_SuperCannon01.bmp 
ショックガン(ドラえもん), ビームライフル EFFECT_DORA_ShockGun.bmp
マッドウォッチ<ｽﾛｰ>(ドラえもん), 時間逆行
マッドウォッチ<ｸｲｯｸ>(ドラえもん), 時間
ドリームガン(ドラえもん)(準備), リボルバー
ドリームガン(ドラえもん)(攻撃), リボルバー
ドリームガン(ドラえもん)(命中), 発光
ビッグライト(ドラえもん), @戦闘アニメ_特殊光線攻撃 グリーン; 発光 オレンジ Bazooka.wav
タイムストップ(ドラえもん)(攻撃), 時間
タイムストップ(ドラえもん)(命中), 時間逆行
タイムふろしき(ドラえもん), 時間逆行
銀のダーツ(ドラえもん), クナイ
石ヤリ(ドラえもん), 殴打武器 -.bmp
石オノ(ドラえもん), 石斧
阻止(未来の道具), バリア Flair.wav 未来の道具
お医者さん鞄(ドラえもん), 修理装置
ショックガン(コーヤコーヤ), レーザーガン 水色 Weapon\EFFECT_Dellinger01.bmp _GetEFBS(Weapon\EFFECT_Dellinger01.bmp)
ショックピストル(宇宙小戦争), 光弾銃 青 "Weapon\EFFECT_LightBulletGun01.bmp" _GetEFBS(Weapon\EFFECT_LightBulletGun01.bmp)
テレポート(どこでもドア), テレポート１ Door(Open).wav 赤
テレポート(どこでもドア), -
瞬間接着銃(ドラえもん), 水鉄砲 Weapon\EFFECT_SuperCannon01.bmp _GetEFBS(Weapon\EFFECT_SuperCannon01.bmp)
ウルトラｽﾄｯﾌﾟウォッチ(ドラえもん)(攻撃), ＭＡＰフラッシュ
ウルトラｽﾄｯﾌﾟウォッチ(ドラえもん)(命中), 時間逆行
こけおどし手投げ弾(ドラえもん)(攻撃), 手榴弾
こけおどし手投げ弾(ドラえもん)(命中), 連続爆発 ホワイト 3
桃太郎印のきびだんご(ドラえもん)(攻撃), 回転投擲武器 武器画像=ＳＴＧ弾１(黄) _GetWPBS(ＳＴＧ弾１(黄))
桃太郎印のきびだんご(ドラえもん)(命中), 発光 ホワイト
コンクフード(ドラえもん), エネルギーフィールド展開 イエロー
レスキューボトル(ドラえもん)(使用), 風
レスキューボトル(ドラえもん)(発動), 補給装置
あべこべクリーム(ドラえもん), ビームコート Sharara.wav あべこべクリーム
片付けラッカー(ドラえもん), 緊急テレポート Hide.wav 片付けラッカー
チータローション(ドラえもん), 緊急テレポート Storm.wav チータローション, 強風
水中酸素あめ(ドラえもん), 発光 ライトブルー
分身(かくれマント), マント ホワイト Swing.wav かくれマント, 分身
分身(かくれマント), 分身 Swing.wav かくれマント
分身(かくれマント), 分身 Swing.wav かくれマント
#
毒液排出(宇宙開拓史)(攻撃), ＭＡＰ地表衝撃波 パープル Bubble.wav
毒液排出(宇宙開拓史)(命中), 泡 パープル
#
モデルガン(ドラえもん)(準備), リボルバー
モデルガン(ドラえもん)(攻撃), リボルバー Bow.wav
モデルガン(ドラえもん)(命中), 銃弾 Punch.wav
二丁拳銃(ドラえもん)(準備), 銃撃武器 武器画像=リボルバー 二丁拳銃
二丁拳銃(ドラえもん)(攻撃), 銃撃武器 武器画像=リボルバー 二丁拳銃 Bow.wav
二丁拳銃(ドラえもん)(命中), 銃弾 Punch.wav; 銃弾 Punch.wav
石投げ(ドラえもん), 石
石投げ(ドラえもん), 石
石投げ(ドラえもん), 岩
岩投げ(ドラえもん), 岩
岩石ホームラン(ドラえもん)(攻撃), 斬撃 Swing.wav; 白兵回転 Sword.wav partner(1) ; _
	実弾発射 Weapon\EFFECT_Rock01.bmp Bazooka.wav partner(1)
岩石ホームラン(ドラえもん)(命中), 強打
#
電撃(原始生活セット)(準備), 突く武器 Weapon\EFFECT_StoneSpear01.bmp _GetWPBS(Weapon\EFFECT_StoneSpear01.bmp)
電撃(原始生活セット)(準備), -
電撃(原始生活セット)(準備), -
電撃(原始生活セット)(準備), -
電撃(原始生活セット)(攻撃), ショックビーム イエロー
電撃(原始生活セット)(命中), ショックビーム イエロー
ショック石ヤリ(ドラえもん), 殴打武器 Weapon\EFFECT_StoneSpear01.bmp _GetWPBS(Weapon\EFFECT_StoneSpear01.bmp) イエロー
オートマチック花火(ドラえもん)(攻撃), ＭＡＰ発光 Explode.wav レッド
オートマチック花火(ドラえもん)(命中), 連続爆発 2 レッド; 爆発 ブルー; 爆発 パープル
オートマチック花火(ドラえもん)(命中), 連続爆発 2 レッド; 爆発 イエロー; 爆発 ピンク
オートマチック花火(ドラえもん)(命中), 連続爆発 2 ピンク; 爆発 ブルー; 爆発 グリーン
オートマチック花火(ドラえもん)(命中), 連続爆発 2 ピンク; 爆発 イエロー; 爆発 レッド
オートマチック花火(ドラえもん)(命中), 連続爆発 2 レッド; 爆発 ピンク; 爆発 パープル
圧縮非常食(ドラえもん), 修理装置
打ち上げ花火(ドラえもん)(攻撃), 画像投射 武器画像=破裂球(赤) Cannon.wav
打ち上げ花火(ドラえもん)(命中), 連続爆発 2 レッド; 爆発 ブルー; 爆発 パープル
打ち上げ花火(ドラえもん)(命中), 連続爆発 2 レッド; 爆発 イエロー; 爆発 ピンク
打ち上げ花火(ドラえもん)(命中), 連続爆発 2 ピンク; 爆発 ブルー; 爆発 グリーン
打ち上げ花火(ドラえもん)(命中), 連続爆発 2 ピンク; 爆発 イエロー; 爆発 レッド
打ち上げ花火(ドラえもん)(命中), 連続爆発 2 レッド; 爆発 ピンク; 爆発 パープル


ドラえもん
格闘(ドラえもん)(攻撃), 打突
格闘(ドラえもん)(攻撃), 打突
格闘(ドラえもん)(攻撃), 打突
格闘(ドラえもん)(攻撃), タックル
格闘(ドラえもん)(命中), 打突
格闘(ドラえもん)(命中), 打突
格闘(ドラえもん)(命中), 連打
格闘(ドラえもん)(命中), 打撃突撃
体当たり(ドラえもん), 打撃突撃
体当たり(ドラえもん), 打撃突撃
体当たり(ドラえもん), ヘッドバット
テキオー灯(ドラえもん)(使用), @戦闘アニメ_ＭＡＰ発光攻撃
通り抜けフープ(ドラえもん)(使用), @戦闘アニメ_魔法集中攻撃 黒
通り抜けフープ(ドラえもん)(発動), 発光 黒
ウルトラｽﾄｯﾌﾟウォッチ(ドラえもん)(攻撃), ＭＡＰフラッシュ
ウルトラｽﾄｯﾌﾟウォッチ(ドラえもん)(命中), 時間逆行
