
ドラゴンクエスト６
#------攻撃呪文------
メラ(攻撃), キャノン砲
メラ(命中), 爆発
メラミ(攻撃), 火炎弾 Cannon.wav
メラミ(命中), 大爆発
メラゾーマ(攻撃), 大キャノン砲
メラゾーマ(命中), 超爆発
ヒャド(攻撃), 氷弾
ヒャド(命中), 凍斬撃 Stab.wav
ヒャダルコ(攻撃), 氷柱
ヒャダルコ(命中), 凍結 glass.wav
マヒャド(攻撃), 旋風 青
マヒャド(命中), 拡散ビーム 青 glass.wav
ギラ(攻撃), 中ビーム 赤 Fire.wav
ギラ(命中), 中ビーム 赤 -.wav
ベギラマ, 中ビーム 黄
ベギラゴン(攻撃), 大ビーム 赤 MicroMissile.wav
ベギラゴン(命中), 大ビーム 赤 -.wav
バギ(攻撃), シュートカッター
バギ(命中), シュートカッター Slash.wav
バギマ(攻撃), 竜巻
バギマ(命中), 竜巻 Slash.wav
バギクロス(準備), 竜巻
バギクロス(攻撃), 連斬撃 Saber.wav;波動放射 白 Storm.wav
バギクロス(命中), 唐竹割り;横大斬撃
イオ(攻撃), Charge.wav;粒子集中 黄 -.wav;ＭＡＰ爆発
イオ(命中), Crash.wav
イオラ(攻撃), Charge.wav;粒子集中 赤 -.wav;粒子集中 白 -.wav;粒子集中 黄 -.wav;ＭＡＰ大爆発
イオラ(命中), Crash.wav
イオナズン(攻撃), Charge(Long).wav;粒子集中 赤 -.wav;粒子集中 青 -.wav;粒子集中 白 -.wav;粒子集中 黄 -.wav;粒子集中 桃 -.wav;DQ06_イオナズン
イオナズン(命中), Crash.wav
ライデイン(準備), Thunder.wav
ライデイン(攻撃), 落雷 Whip.wav
ライデイン(命中), 飛沫 黄 Inori.wav
ギガデイン(攻撃), 落雷 Thunder.wav
ギガデイン(命中), 大放電 Inori.wav
ミナデイン, 大落雷
ザキ(攻撃), 光投射 黒
ザキ(命中), 発光 黒
ザラキ(攻撃), 光投射 黒
ザラキ(命中), 発光 黒
ザラキーマ(攻撃), 光投射 黒
ザラキーマ(命中), 発光 黒
ニフラム(攻撃), 粒子集中 白
ニフラム(クリティカル), 飛沫 白 Inori.wav
#------補助呪文------
ルカニ(攻撃), 発光 桃
ルカニ(命中), -
ルカニ(クリティカル), 劣化
ルカナン(攻撃), ＭＡＰ発光 桃
ルカナン(命中), -
ルカナン(クリティカル), 発光 桃;防御力ＤＯＷＮ
マヌーサ(攻撃), ＭＡＰ煙 白 Hide.wav
マヌーサ(命中), -
マヌーサ(クリティカル), 煙 白;撹乱
ラリホー(攻撃), 煙 桃 Bubble.wav
ラリホー(命中), -
ラリホー(クリティカル), 睡眠
ラリホーマ(攻撃), 煙 桃 Bubble.wav
ラリホーマ(命中), -
ラリホーマ(クリティカル), 睡眠
メダパニ(攻撃), 五芒星 桃 Hide.wav
メダパニ(命中), -
メダパニ(クリティカル), 混乱
マホトーン(攻撃), 五芒星 赤 Sharara.wav
マホトーン(命中), -
マホトーン(クリティカル), 沈黙
マホトラ(攻撃), 光投射 黒
マホトラ(命中), 吸収 黒
バイキルト, 攻撃力ＵＰ Sharara.wav
フバーハ, 光バリア BeamCoat.wav 光の衣
反射(光の壁), 反射 Glass.wav 光の壁
反射(マホターン), 反射 Glass.wav 光の壁
反射(マホカンタ), 反射 Glass.wav 光の壁
反射(スフィーダの盾), 反射 Glass.wav スフィーダの盾
#------回復呪文------
ホイミ, 回復魔法泡
ベホイミ, 回復魔法
ベホマ, 回復魔法;回復魔法泡
ベホマラー(使用), 飛沫 白 Sharara.wav
ベホマラー(発動), 回復魔法泡 Sharara.wav
ベホマズン(使用), @戦闘アニメ_Ｍ全投ビーム共通 白 Sharara.wav 3
ベホマズン(発動), -
#------特技------
ムーンサルト, バック転
ギガスラッシュ(準備), Interference.wav;光剣
ギガスラッシュ(攻撃), 透明化 解除 反映;なぎ払い大炎斬撃 黄 Thunder.wav
ギガスラッシュ(命中), 超斬撃 黄;放電
飛び膝蹴り, ジャンプ
正拳突き(攻撃), 打突
正拳突き(命中), 超打
爆裂拳, 連打
回し蹴り(攻撃), 回転斬撃
回し蹴り(命中), 強打
岩石落とし, 岩
マダンテ(準備), 魔法陣
マダンテ(攻撃), オーラ上昇 Charge(Silent).wav 対象ユニットＩＤ;1;フラッシュ 赤 FlyBy.wav
マダンテ(命中), 超爆発
隼斬り, 斬撃
真空斬り(攻撃), なぎ払い
真空斬り(命中), 強風
ドラゴン斬り(攻撃), 斬撃
ドラゴン斬り(命中), 大斬撃 橙;@戦闘アニメ_竜降臨準備 相手ユニットＩＤ 橙
五月雨剣, 連続なぎ払い
力溜め攻撃, タックル
突き飛ばし, 格闘
地響き(攻撃), 振動
真空波(攻撃), 気斬
真空波(命中), 斬撃
体当たり, タックル
メタル斬り(攻撃), 斬撃
メタル斬り(命中), クリティカル斬撃
魔神斬り, 大斬撃
皆殺し(攻撃), 斬撃
皆殺し(命中), 大斬撃
ジゴスパーク(攻撃), 波動放射 黄 LaserGun.wav
ジゴスパーク(命中), 大放電
津波, 津波
石つぶて, 石
なめまわし, 舌
百烈なめ(攻撃), 舌
百烈なめ(命中), 乱打
不思議な踊り(攻撃), 音符 青
不思議な踊り(命中), -
誘う踊り(攻撃), 音符 黄
誘う踊り(命中), -
足払い(攻撃), 振り上げ
足払い(命中), ダメージ
不気味な光(攻撃), 発光 黒 対象ユニットＩＤ
不気味な光(命中), 発光 黒
稲妻, 落雷
メダパニダンス(攻撃), 音符 桃
メダパニダンス(命中), -
マホトラ踊り(攻撃), 音符 紫
マホトラ踊り(命中), -
死の踊り(攻撃), 音符 赤
死の踊り(命中), -
雄叫び, 音波
まぶしい光(攻撃), 発光 白 対象ユニットＩＤ
まぶしい光(命中), 発光 白
気合溜め攻撃, スーパータックル
地割れ, 石柱
軍隊呼び(攻撃), ８ＷＡＹ射出
軍隊呼び(命中), 乱打
ゾンビ斬り(攻撃), なぎ払い;振り下ろし
ゾンビ斬り(命中), 光なぎ払い 大;光振り下ろし 大;決め文字 ╋ 黄 Glass(3).wav
かまいたち, 風
火炎斬り(攻撃), 斬撃
火炎斬り(命中), 炎斬撃
火柱, 火柱
疾風突き(攻撃), 刺突
疾風突き(命中), 点打
グランドクロス(攻撃), なぎ払い;振り下ろし;波動放射 速
グランドクロス(命中), 連斬撃
猛毒の霧, 煙噴射 緑
甘い息, 煙噴射 桃 Bubble.wav
火炎の息(攻撃), 火炎放射 赤 Breath.wav
