
ドラゴンクエスト８
##エイト##
兵士の剣, ショートソード
隼斬り(兵士の剣), ショートソード
鉄の槍, スピア
クロスカッター(準備), ブーメラン
クロスカッター(攻撃), ブーメラン;ブーメラン
刃のブーメラン, ブーメラン
ホーリーランス, パイク
バスターソード, ソード
隼斬り(バスターソード), ソード
疾風突き(準備), パイク
疾風突き(攻撃), 光槍突撃 青
疾風突き(命中), 光槍突撃 青
パワフルスロー(準備), スーパーブーメラン
パワフルスロー(攻撃), スーパーブーメラン
パワフルスロー(命中), 強打
一閃突き(準備), パイク
一閃突き(攻撃), 光槍突撃 黄 Beam.wav
一閃突き(命中), 光槍突撃 黄
ギガスラッシュ(攻撃), 振り下ろし;地表衝撃波 黄 MicroMissile.wav
ギガスラッシュ(命中), 超斬撃 黄;放電 Thunder.wav
ツインスワロー(準備), スーパーブーメラン
ツインスワロー(攻撃), スーパーブーメラン;スーパーブーメラン
ツインスワロー(命中), ダメージ Crash.wav;ダメージ Crash.wav
英雄の槍, 竜騎槍
竜神王の剣, 竜剣
隼斬り, 竜剣
五月雨突き(準備), 竜騎槍
五月雨突き(攻撃), 乱突
五月雨突き(命中), 乱突
雷光一閃突き(準備), 竜騎槍
雷光一閃突き(攻撃), 光槍突撃 黄 Beam.wav
雷光一閃突き(命中), 光槍突撃 黄;大電撃 Thunder.wav
シャイニングスコール(準備), スーパーブーメラン
シャイニングスコール(攻撃), 光子魚雷
シャイニングスコール(命中), オールレンジ
ギガブレイク(準備), 魔法陣 黄 Sharara.wav 背面;落雷 Thunder.wav
ギガブレイク(攻撃), 振り下ろし;波動放射 黄 MicroMissile.wav
ギガブレイク(命中), 超斬撃 黄;大電撃 Explode(Nuclear).wav
ドラゴンソウル, 竜炎 黄
##ヤンガス##
鉄の鎌, 大鎌
ぬすっと刈り, 大鎌突撃
石の斧, 石斧
魔神斬り(準備), 石斧
魔神斬り(攻撃), 白兵武器
魔神斬り(命中), 超打
大どろぼうの鎌, 巨大鎌突撃
怒りの鉄球, スピンハンマー
覇王の斧, 巨大斧
デビルクラッシュ(準備), 巨大斧
デビルクラッシュ(攻撃), 振り下ろし
デビルクラッシュ(命中), 光噴出 青
烈風獣神斬, 巨大斧突撃
大魔神斬り(準備), 巨大斧
大魔神斬り(攻撃), 白兵武器
大魔神斬り(命中), 超打
おっさん呼び(準備), 同時光噴出 青 Sharara.wav
おっさん呼び(攻撃), 同時斬撃乱舞
おっさん呼び(命中), 同時斬撃乱舞
##ゼシカ##
見返り美人(攻撃), バラ
見返り美人(命中), 桜吹雪
見返り美人(クリティカル), 魅了
痺れ打ち, 鞭
双竜打ち, 鞭
レディウィップ, 鞭
クイーンウィップ, 鞭
ピンクタイフーン(攻撃), 旋風 桃
ピンクタイフーン(命中), 桜吹雪
##ククール##
ディバインスペル(準備), 五芒星 青 Sharara.wav 背面
ディバインスペル(攻撃), -
ディバインスペル(クリティカル), 劣化
妖精の矢, クロスボウ
オーディーンボウ, アーチェリーボウ
ムーンサルト(攻撃), サマーソルト
ムーンサルト(命中), アッパー
精霊の矢, アーチェリーボウ
シャイニングボウ, 光弓矢連射
ミラクルムーン(準備), 五芒星 青 Sharara.wav 背面
ミラクルムーン(攻撃), サマーソルト
