ニンジャマスターズ
飛蒼月(命中), Stab.wav
斬空爆蒼陣(命中), 3;Swing.wav;Shock(Low).wav
蒼空脚(命中), Punch.wav
蒼空脚(命中), Punch(2).wav
飛蒼拳(命中), 2;FightHit(1).wav;FightHit(1).wav
飛蒼拳(命中), 2;FightHit(1).wav;2;FightHit(1).wav;FightHit(1).wav
飛蒼拳(クリティカル), FightHit(1).wav;FightHit(1).wav
神撃破(命中), Explode(Small).wav
蒼神粉砕爆, 4;Charge.wav;FastGun.wav
蒼神粉砕爆(命中), Explode.wav
疾風烈神撃(命中), 3;Whiz.wav;Drill.wav
四門殺・逆麟(命中), 3;Combo.wav;1;Flair.wav;3;Combo.wav;1;Flair.wav;3;Combo.wav;4;Swing.wav;Crash.wav
風牙(命中), 2;Stab.wav;2;Stab.wav;Stab.wav
殺鬼(命中), Punch.wav
殺鬼(命中), Punch(2).wav
殺鬼(クリティカル), Punch.wav
火炎陣・鬼雨, Whiz.wav
火炎陣・鬼雨(命中), Fire.wav
鬼烈斬・血煙(命中), 2;Saber.wav;2;Slash(2).wav;2;Slash(3).wav;2;Saber.wav;2;Slash(2).wav;4;Slash(3).wav;Slash(4).wav
鬼封じ・滅, FastGun.wav
鬼封じ・滅(命中), Fire.wav
闇火炎陣・鬼縛(命中), 2;Combo.wav;2;Combo.wav;2;Combo.wav;FastGun.wav
雷撃殺, Swing.wav
雷撃殺(命中), Shock(Low).wav
雷撃殺(クリティカル), Thunder.wav
鬼包丁『愚流渦』(命中), Slash.wav
地雷龍(命中), 3;Swing.wav;Explode(Small).wav
爆雷陣, Thunder.wav
爆雷陣(命中), Shock(Low).wav
爆雷撃(命中), Punch.wav
爆雷撃(命中), Punch(2).wav
爆雷撃(クリティカル), Punch.wav
閃光雷刃, 4;Thunder.wav;Swing.wav
閃光雷刃(命中), Slash.wav
雷神降臨(命中), 5;Shock(Low).wav;5;Shock(Low).wav;Shock(Low).wav
雷神召, Flair.wav
獅咬剣『韓羅獅子』(命中), Punch.wav
閃滅掌(命中), Punch(4).wav
天魔円殺陣(命中), Saber.wav
守護獣烈弾(命中), Glass.wav
旋空剣(命中), Saber.wav
旋空剣(命中), 5;Saber.wav;Saber.wav
旋空剣(クリティカル), Saber.wav
太極破, Whiz.wav
太極破(命中), Shock(Low).wav
旋刃封邪, 3;Swing.wav;3;Swing.wav;3;Swing.wav;Swing.wav
旋刃封邪(命中), Fire.wav
国士無双(命中), 8;Drill.wav;2;Saber.wav;2;Saber.wav;2;Saber.wav;Saber.wav
修羅放邪, FastGun.wav
修羅放邪(命中), Explode(Small).wav
羽刃, 2;Swing.wav;2;Swing.wav;2;Swing.wav;Swing.wav
羽刃(命中), Stab.wav
鴉刃(命中), Slash.wav
闇鴉, LaserGun.wav
闇鴉(命中), Explode(Small).wav
闇鴉(命中), 3;Explode(Small).wav;Explode(Small).wav
闇鴉(クリティカル), Explode(Small).wav
乱れ羽(命中), 2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;2;Stab.wav;5;Stab.wav;Stab.wav;
気狂障壁, BeamSaber.wav
気狂障壁(命中), Glass.wav
陰陽鴉, LaserGun.wav
陰陽鴉(命中), Glass.wav
鴉地獄の舞, LaserGun.wav
鴉地獄の舞(命中), FastGun.wav
狂い刃(命中), 3;Slash(3).wav;3;Slash(3).wav;3;Slash(3).wav;3;Slash(4).wav;3;Slash(4).wav;6;Slash(4).wav;Slash.wav
地烈閃, Swing(2).wav
地烈閃(命中), Glass.wav
鳳凰天舞(命中), Storm.wav
空閃光, Beam.wav
空閃光(命中), Glass.wav
鬼神斬(命中), Punch.wav
鬼神斬(命中), Punch(2).wav
鬼神斬(クリティカル), Punch.wav
破邪・霊波動(準備), Charge.wav
破邪・霊波動, Cannon.wav
破邪・霊波動(命中), Shock(Low).wav
大日遮那招来, 2;Flair.wav;Sword.wav
大日遮那招来(命中), Glass.wav
鳳凰飛翔(命中), 1;Storm.wav;6;「<b><big>鳳凰天舞！</b></big>」;1;Storm.wav;6;「<b><big>鳳凰天舞！ 鳳凰天舞！</b></big>」;1;Sword.wav;1;「<b><big>鳳凰天舞！ 鳳凰天舞！ 大！！</b></big>」;1;Sword.wav;1;「<b><big>鳳凰天舞！ 鳳凰天舞！ 大日！！</b></big>」;1;Sword.wav;1;「<b><big>鳳凰天舞！ 鳳凰天舞！ 大日遮！！</b></big>」;1;Sword.wav;1;「<b><big>鳳凰天舞！ 鳳凰天舞！ 大日遮那！！</b></big>」;1;Sword.wav;1;「<b><big>鳳凰天舞！ 鳳凰天舞！ 大日遮那招！！</b></big>」;Sword.wav
無双太陽剣(準備), Charge(high).wav
無双太陽剣, 1;Swing.wav;1;Swing.wav;Swing.wav
無双太陽剣(命中), 5;Storm.wav;Fire.wav
轟斬斧(命中), Punch(2).wav
