ハイパーあんな
アームロック(攻撃), 打突
アームロック(命中), フォール
わき固め(攻撃), 格闘
わき固め(命中), フォール
高槻流当て身投げ(攻撃), タックル
高槻流当て身投げ(命中), 投げ飛ばし Punch.wav
高槻流当て身投げ(神髄)(攻撃), 打突;格闘
高槻流当て身投げ(神髄)(命中), 投げ飛ばし BreakOff.wav
高槻流関節取り打撃(攻撃), 格闘;打突
高槻流関節取り打撃(命中), 打撃 Shock(Low).wav
アキレス腱固め(攻撃), 格闘
アキレス腱固め(命中), 足固め
高槻流足関節技(攻撃), 格闘;打突
高槻流足関節技(命中), 足固め
陳式(準備), 粒子集中 緑 Whiz.wav
陳式(攻撃), 打突
陳式(命中), 超打 Bazooka.wav
小手返し投げ(攻撃), 打突
小手返し投げ(命中), 投げ飛ばし Punch.wav
悪戯(攻撃), 打突
悪戯(命中), 煙 桃 PiyoPiyo.wav
ナックルパンチ(攻撃), 打突
ナックルパンチ(命中), 打撃
ドロップキック(攻撃), キック Cannon.wav
ドロップキック(命中), 打撃
ローキック(攻撃), 格闘
ローキック(攻撃), 打撃 Shock(Low).wav
フランケンシュタイナー(攻撃), キック
フランケンシュタイナー(命中), バックドライバー
ＳＴＦ(攻撃), 格闘
ＳＴＦ(命中), フォール BreakOff.wav
ジャーマンスープレックス, ブレーンバスター
ミドルキック(攻撃), 格闘
ミドルキック(攻撃), 打撃
ナイマン蹴り(攻撃), 格闘;振り上げ
ナイマン蹴り(命中), 打撃
ハイキック(攻撃), 振り上げ
ハイキック(命中), 打撃
かかと落とし(攻撃), 振り上げ;振り下ろし
かかと落とし(命中), 打撃 BreakOff.wav
後ろ回し蹴り(攻撃), なぎ払い
後ろ回し蹴り(命中), 打撃 Punch.wav
当て身膝蹴り(攻撃), タックル;振り上げ Punch.wav
当て身膝蹴り(命中), 打撃 Shock(Low).wav
二連蹴り(攻撃), 振り上げ;振り上げ
二連蹴り(命中), 打撃;打撃
空中三段蹴り(攻撃), 振り上げ;振り下ろし;振り上げ
空中三段蹴り(命中), 打撃;打撃;強打
ボディーブロー(攻撃), 格闘
ボディーブロー(命中), 打撃 Shock(Low).wav
ショートアッパー(攻撃), 打突
ショートアッパー(命中), アッパー Punch.wav
ダッシュストレート(攻撃), タックル;打突
ダッシュストレート(命中), 打撃
アッパーカット, アッパー
踏みつけ, 踏み潰し
チョークスリーパー(攻撃), 打突
チョークスリーパー(命中), 立ち固め
３連コンビネーション(攻撃), 格闘;打突;打突
３連コンビネーション(命中), 打撃;打撃;強打 Punch.wav
天魔豪斬空(攻撃), 球電
天魔豪斬空(命中), 打撃 Explode(Small).wav
虎煌拳(攻撃), 気弾 Beam.wav
虎煌拳(命中), 打撃 Explode(Small).wav
雷光拳(準備), 放電 Thunder.wav
雷光拳(攻撃), 打突
雷光拳(命中), 打撃
地獄極楽落とし(攻撃), 振り上げ
地獄極楽落とし(命中), 投げ飛ばし
竜虎乱舞, 乱打
昇竜裂破(攻撃), アッパー
昇竜裂破(命中), アッパー Combo.wav
禁千弐百拾壱式八稚女MAX(攻撃), スーパーパンチ
禁千弐百拾壱式八稚女MAX(命中), スーパーパンチ乱舞
隅落とし(攻撃), 格闘
隅落とし(命中), 投げ飛ばし
空気投げ(攻撃), タックル
空気投げ(命中), 投げ飛ばし
腕ひしぎ逆十字固め(攻撃), 打突
腕ひしぎ逆十字固め(命中), フォール
ロングストレート(攻撃), 刺突
ロングストレート(命中), 打撃
掌打(攻撃), 打突
掌打(命中), 強打 Bazooka.wav
回し蹴り(攻撃), なぎ払い
回し蹴り(命中), 強打 Punch.wav
延髄打ち(攻撃), 振り下ろし Shock(Low).wav
延髄打ち(命中), 強打 Crash.wav
高槻流腕関節技(攻撃), 格闘
高槻流腕関節技(命中), フォール
高槻流飛翔蹴り(攻撃), キック
高槻流飛翔蹴り(命中), 打撃
点穴, 格闘
千本, ニードル
毒蛇爪, 打突
杖術, 棒


ミラクル高僧
チベットパンチ(攻撃), 打突
チベットパンチ(命中), 打撃
チベット五体投地アタック, ヘッドバット
チベット五体投地アタック(命中), ダメージ FallDown.wav;煙 桃 PiyoPiyo.wav
チベット金剛杵クラッシュ(準備), クナイ Whiz.wav
チベット金剛杵クラッシュ(攻撃), 打突 Swing.wav
チベット金剛杵クラッシュ(命中), 強打 Crash.wav;煙 桃 PiyoPiyo.wav
