ハイパーあんな
アームロック(命中), BreakOff.wav
わき固め(命中), BreakOff.wav
高槻流当て身投げ, Swing.wav
高槻流当て身投げ(命中), BreakOff.wav
高槻流当て身投げ(神髄), Sword.wav
高槻流当て身投げ(神髄)(命中), 4;Swing.wav;Punch.wav
高槻流関節取り打撃, 4;Punch.wav;BreakOff.wav
高槻流関節取り打撃(命中), Shock(Low).wav
アキレス腱固め(命中), BreakOff.wav
高槻流足関節技, Punch.wav
高槻流足関節技(命中), BreakOff.wav
陳式(準備), Whiz.wav
陳式(命中), Bazooka.wav
小手返し投げ(命中), 4;Swing.wav;Punch.wav
悪戯(命中), PiyoPiyo.wav
フランケンシュタイナー, Swing.wav
フランケンシュタイナー(命中), Crash.wav
ドロップキック(命中), 4;Cannon.wav;Punch.wav
ＳＴＦ(命中), BreakOff.wav
ジャーマンスープレックス, Swing.wav
ジャーマンスープレックス(命中), FallDown.wav
ナイマン蹴り(命中), 4;Swing.wav;Punch.wav
かかと落とし, 2;Swing.wav;Punch.wav
後ろ回し蹴り(命中), 6;Swing.wav;Punch.wav
当て身膝蹴り(命中), 4;Punch.wav;Shock(Low).wav
二連蹴り(命中), Punch(2).wav
空中三段蹴り, Saber.wav
空中三段蹴り(命中), Punch(3).wav
ボディーブロー(命中), Shock(Low).wav
アッパーカット(命中), Punch.wav
ダッシュストレート(命中), 4;Swing.wav;Punch.wav
ショートアッパー(命中), Punch.wav
踏みつけ(命中), Combo.wav
チョークスリーパー, Punch.wav
チョークスリーパー(命中), BreakOff.wav
３連コンビネーション(命中), 4;Swing.wav;4;Punch.wav;Punch(2).wav
天魔豪斬空(命中), Explode(Small).wav
虎煌拳(命中), 4;Beam.wav;Explode(Small).wav
雷光拳(命中), 8;Thunder.wav;Punch.wav
地獄極楽落とし(命中), 6;Punch.wav;Crash.wav
竜虎乱舞(命中), Combo.wav
昇竜裂破(命中), 4;Saber.wav;2;Combo.wav
禁千弐百拾壱式八稚女MAX(命中), 16;Combo.wav;Explode(Small).wav
隅落とし(命中), 4;Swing.wav;Punch.wav
空気投げ(命中), 6;Swing.wav;Punch.wav
腕ひしぎ逆十字固め(命中), BreakOff.wav
ロングストレート(命中), 2;Swing.wav;Punch.wav
掌打(命中), Bazooka.wav
回し蹴り(命中), 4;Swing.wav;Punch.wav
延髄打ち, Shock(Low).wav
延髄打ち(命中), Crash.wav
高槻流腕関節技(命中), BreakOff.wav
高槻流飛翔蹴り(命中), 4;Cannon.wav;Punch.wav
点穴, Saber.wav
点穴(命中), Stab.wav
千本, Bow.wav
千本(命中), Stab.wav
毒蛇爪, Punch.wav
毒蛇爪(命中), Slash.wav
杖術, Swing.wav
杖術(命中), Punch.wav

ミラクル高僧
チベット五体投地アタック, 4;Saber.wav
チベット五体投地アタック(命中), 2;FallDown.wav;4;PiyoPiyo.wav
チベット金剛杵クラッシュ(準備), Whiz.wav
チベット金剛杵クラッシュ, 4;Swing.wav
チベット金剛杵クラッシュ(命中), 2;Crash.wav;4;PiyoPiyo.wav
