甲賀忍法帖
瞳術(解説), $(ユニット)は$(武器)で攻撃をかけた。
瞳術【MAP】(解説), $(ユニット)は$(武器)で攻撃をかけた。
毒針(解説), $(ユニット)は$(武器)で攻撃をかけた。
呑槍(解説), $(ユニット)は$(武器)で攻撃をかけた。
蜘蛛の巣(解説), $(ユニット)は$(武器)で攻撃をかけた。
痰(解説), $(ユニット)は$(武器)で攻撃をかけた。
肉の鞠(解説), $(ユニット)は$(武器)で攻撃をかけた。
圧し掛かる(解説), $(ユニット)は$(武器)で攻撃をかけた。
瞳術(豹馬)(解説), $(ユニット)は$(武器)で攻撃をかけた。
声色(解説), $(ユニット)は$(武器)で$(相手ユニット)を誘き寄せた。
不意打ち(解説), $(ユニット)は$(武器)で攻撃をかけた。
死の息吹(解説), $(ユニット)は$(武器)で攻撃をかけた。
人肌地獄(解説), $(ユニット)は$(武器)で攻撃をかけた。
破幻の瞳【MAP】(解説), $(ユニット)は$(武器)で攻撃をかけた。
お幻の鷹(解説), $(ユニット)は$(武器)で攻撃をかけた。
黒縄(解説), $(ユニット)は$(武器)で攻撃をかけた。
伸びる腕, $(ユニット)は$(武器)で攻撃をかけた。
骨の鞭(解説), $(ユニット)は$(武器)で攻撃をかけた。
体内侵入(解説), $(ユニット)は$(武器)で攻撃をかけた。
鎌鼬(解説), $(ユニット)は$(武器)で攻撃をかけた。
豪猪(解説), $(ユニット)は$(武器)で攻撃をかけた。
体毛(解説), $(ユニット)は$(武器)で攻撃をかけた。
複数の刃(解説), $(ユニット)は$(武器)で攻撃をかけた。
胡蝶乱舞(解説), $(ユニット)は$(武器)で攻撃をかけた。
血の霧(解説), $(ユニット)は$(武器)で攻撃をかけた。
血霞の術(解説), $(ユニット)は$(武器)で攻撃をかけた。

