
バビル２世
催眠術, Hittyuu.wav
催眠術(クリティカル), Bubble.wav
エネルギー衝撃波, Swing.wav
エネルギー衝撃波(命中), Whip.wav
火球(準備), Fire.wav
火球, 10;Jet.wav;Whiz.wav
火球(命中), Explode(Small).wav
テレキネシス, Storm.wav
テレキネシス(命中), Crash.wav
テレキネシス(命中), Combo.wav
ロデム, Fold.wav
ロデム(命中), Punch.wav
ロデム(クリティカル), BreakOff.wav
ロプロス, Bazooka.wav
ロプロス, Hittyuu.wav
ロプロス, AntiAirMissile.wav
ロプロス(命中), Explode.wav
ポセイドン, 3;Swing.wav;3;Swing.wav;Beam.wav
ポセイドン(命中), 3;Crash.wav;3;Crash.wav;Explode.wav
突風, AntiAirMissile.wav
弾丸, Bazooka.wav
体当たり, Swing.wav
体当たり(命中), Shock(Low).wav
超音波, Hittyuu.wav
超音波(命中), Explode.wav
絡み付き, Fold.wav
絡み付き(命中), Punch.wav
絡み付き(クリティカル), BreakOff.wav
怪力, Swing.wav
怪力(命中), Crash.wav
レーザー光線, 1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;1;Beam.wav;Beam.wav
爆弾, 2;Bomb.wav;2;Bomb.wav;2;Bomb.wav;2;Bomb.wav;2;Bomb.wav;Bomb.wav
爆弾(命中), 2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;2;Explode(Small).wav;Explode(Small).wav
超高熱線, LaserGun.wav
パンチ, Swing.wav
パンチ(命中), Punch.wav
パンチ(命中), Combo.wav
パンチ(命中), Crash.wav
岩つぶて, Swing.wav
岩つぶて(命中), 4;Bomb.wav;Crash.wav
分離攻撃, 3;Bomb.wav;3;Bomb.wav;3;Bomb.wav;Bomb.wav
分離攻撃(命中), 3;Shock(Low).wav;3;Shock(Low).wav;3;Shock(Low).wav;Shock(Low).wav
自爆, Explode.wav
フラッシュ, 1;White.bmp 480 480;Clear
フラッシュ(クリティカル), Inori.wav
手刀, Swing.wav
手刀(命中), Slash.wav
髪の毛, Swing.wav
髪の毛(命中), 4;Whip.wav;Fire.wav
髪の毛(クリティカル), 4;Whip.wav;BreakOff.wav
毒針ロープ, Swing.wav
毒針ロープ(命中), Whip.wav
毒針ロープ(クリティカル), 4;Whip.wav;BreakOff.wav
鉄球, Swing.wav
鉄球, 3;Swing.wav;Bomb.wav
鉄球(命中), Crash.wav
電気ムチ, Swing.wav
電気ムチ(命中), Whip.wav
電気ムチ(クリティカル), 4;Whip.wav;BreakOff.wav
毒蛾, Hide.wav
毒蛾(クリティカル), Bubble.wav
熱線, LaserGun.wav
