
カミヨリ
###################  直哉
道返の力(攻撃), @戦闘アニメ_発光準備 白;フラッシュ
道返の力(命中), 爆発 Glass.wav
結界破り(クリティカル), 飛沫 白 Inori.wav
ミカガミ(準備), 振る武器 Magic\EFFECT_AncientMirror01.bmp
ミカガミ(攻撃), @戦闘アニメ_発光準備 白;フラッシュ
ミカガミ(命中), 爆発 Glass.wav
ミカガミ連射(準備), 振る武器 Magic\EFFECT_AncientMirror01.bmp
ミカガミ連射(攻撃), @戦闘アニメ_発光準備 白;フラッシュ;フラッシュ
ミカガミ連射(命中), 爆発 Glass.wav;爆発 Glass.wav
真なるミカガミ(準備), 振る武器転送 Magic\EFFECT_AncientMirror01.bmp
真なるミカガミ(攻撃), タックル
真なるミカガミ(命中), タックル;@戦闘アニメ_発光準備 白;フラッシュ;大爆発 Glass.wav;1;Glass.wav;1;Glass.wav
攻撃無効化(ミカガミ), シールド防御 Magic\EFFECT_AncientMirror01.bmp BeamCoat.wav 発光 別名=ミカガミ
反射(ミカガミ), シールド防御 Magic\EFFECT_AncientMirror01.bmp BeamCoat.wav 発光 別名=ミカガミ
###################  奈緒他
ミツルギ, 斬撃武器 Weapon\EFFECT_GiantSword02.bmp 56 56
剣戟の嵐(準備), 振る武器 Weapon\EFFECT_GiantSword02.bmp 56 56
剣戟の嵐(攻撃), 円弧斬撃;振り上げ;振り下ろし
剣戟の嵐(命中), 振り下ろし;なぎ払い;振り下ろし;なぎ払い;振り下ろし
剣戟の嵐(命中), 振り下ろし;なぎ払い;振り下ろし;なぎ払い;振り下ろし;円弧斬撃;斬撃
###################  咲月
身喰い(攻撃), 発光 赤 EvilEye.wav
身喰い(命中), -
捕縛の術(攻撃), ２連ショックビーム 黒
捕縛の術(命中), 魔法陣 黒 相手ユニットＩＤ;光噴出 黒
捕縛の術(クリティカル), 粒子集中 黒;捕縛
火柱, 火柱
応急処置, 修理装置
###################  アイテム
吸収(準備), 振る武器 Weapon\EFFECT_GiantSword02.bmp 56 56
吸収(攻撃), 振り下ろし
吸収(命中), -
吸収(とどめ),  @戦闘アニメ_振り下ろし命中;@戦闘アニメ_吸収命中 対象ユニットＩＤ
真紅に輝くミツルギ(準備), 振る武器 Weapon\EFFECT_GiantSword02.bmp 56 56;粒子集中 赤
真紅に輝くミツルギ(攻撃), 振り下ろし;超ビーム 白
真紅に輝くミツルギ(命中), 超ビーム 白;超爆発


水妖ミズハ
絡め取り, 分銅
ミタマの鎖(準備), 分銅
ミタマの鎖(攻撃), 手投げ武器 Weapon\EFFECT_Kunai01.bmp Saber.wav
ミタマの鎖(命中), 刺突 Stab.wav
蒼の炎, 炎投射 青
紫の焔(攻撃), 火炎放射 紫
紫の焔(命中), 火炎放射 紫;大爆発
蒼の炎を纏った鎖(準備), 分銅;炎 青
蒼の炎を纏った鎖(攻撃), 手投げ武器 Weapon\EFFECT_Kunai01.bmp 速 Saber.wav
蒼の炎を纏った鎖(命中), 刺突 Stab.wav;刺突 Stab.wav
焔纏い, 炎 青;粒子集中 青 相手ユニットＩＤ
ミタマとミツルギ(準備), チェーン;振る武器 Weapon\EFFECT_GiantSword02.bmp 56 56
ミタマとミツルギ(攻撃), チェーン;手投げ武器 Weapon\EFFECT_Chain02.bmp Saber.wav
ミタマとミツルギ(命中), 振り下ろし;なぎ払い;円弧斬撃;斬撃

鬼妖ヤト
戦斧, 片刃斧
戦斧投擲, 片刃斧投擲
両刃の戦斧, 巨大斧
神火, 炎投射 青

虎妖クシビ
神火, 炎投射 青


マガツヒ
のしかかり, 飛びかかり
浸食(攻撃), 出血 青
浸食(命中), 出血 青
粘液, 液体噴射 青
埋め尽くし(攻撃), 飛びかかり
埋め尽くし(命中), 出血 青
白手, 触手乱舞 白
乱杭歯, 噛み付き 連続
乱杭歯, 咬み付き接近
巨大な怪腕, 強打
ミツルギ, 斬撃武器 Weapon\EFFECT_GiantSword02.bmp 56 56
吸収(準備), 振る武器 Weapon\EFFECT_GiantSword02.bmp 56 56
吸収(攻撃), 振り下ろし
吸収(命中), -
吸収(とどめ),  @戦闘アニメ_振り下ろし命中;@戦闘アニメ_吸収命中 対象ユニットＩＤ
剣戟の嵐(準備), 振る武器 Weapon\EFFECT_GiantSword02.bmp 56 56
剣戟の嵐(攻撃), 円弧斬撃;振り上げ;振り下ろし
剣戟の嵐(命中), 振り下ろし;なぎ払い;振り下ろし;なぎ払い;振り下ろし
剣戟の嵐(命中), 振り下ろし;なぎ払い;振り下ろし;なぎ払い;振り下ろし;円弧斬撃;斬撃
ミツルギ投擲(準備), 振る武器 Weapon\EFFECT_GiantSword02.bmp 56 56
ミツルギ投擲(攻撃), 投擲武器 Weapon\EFFECT_GiantSword(T)02.bmp 56 56
ミツルギ投擲(命中), 大爆発
ミツルギ解放(準備), 振る武器 Weapon\EFFECT_GiantSword02.bmp 56 56;粒子集中 赤
ミツルギ解放(攻撃), 円弧斬撃 赤
ミツルギ解放(命中), 円弧斬撃 赤
絡め取り, 分銅
ミタマの鎖(準備), 分銅
ミタマの鎖(攻撃), 手投げ武器 Weapon\EFFECT_Kunai01.bmp Saber.wav
ミタマの鎖(命中), 刺突 Stab.wav
マガツヒの群れ, 液体噴射 青
荒れ狂う鎖(準備), チェーン
荒れ狂う鎖(攻撃), 振り上げ;振り下ろし;手投げ武器 Weapon\EFFECT_Chain02.bmp Saber.wav
荒れ狂う鎖(命中), 刺突 Stab.wav;刺突 Stab.wav;刺突 Stab.wav
ミタマの力(攻撃), 邪眼解放 赤 黒
