

ファイアーエムブレム
ファルシオン(準備), Glass.wav;1;White.bmp 480 480;Clear
ファルシオン, Swing.wav
ファルシオン(命中), Slash.wav
ファルシオン(クリティカル), 1;Slash.wav;1;Slash.wav;1;Slash.wav
流星(準備), Glass.wav;1;White.bmp 480 480;Clear
流星(攻撃)(対瀕死), MultipleRocketLauncher(Light).wav
流星(命中), 2;Swing.wav;stab.wav
流星(クリティカル), Combo.wav
月光(準備), Glass.wav;1;White.bmp 480 480;Clear
月光(攻撃)(対瀕死), MultipleRocketLauncher(Light).wav
月光(命中), 2;Swing.wav;stab.wav
月光(クリティカル), Combo.wav
太陽(準備), Glass.wav;1;White.bmp 480 480;Clear
太陽(攻撃)(対瀕死), MultipleRocketLauncher(Light).wav
太陽(命中), 2;Swing.wav;stab.wav
太陽(クリティカル), Combo.wav
鉄の剣(クリティカル), Combo.wav
鋼の剣(クリティカル), Combo.wav
銀の剣(クリティカル), Combo.wav
鉄の槍(クリティカル), Combo.wav
鋼の槍(クリティカル), Combo.wav
銀の槍(クリティカル), Combo.wav
手槍, Bomb.wav
手槍(命中), Stab.wav
手槍(クリティカル), Combo.wav
鉄の弓(クリティカル), Combo.wav
鋼の弓(クリティカル), Combo.wav
銀の弓(クリティカル), Combo.wav
鉄の斧(クリティカル), Combo.wav
鋼の斧(クリティカル), Combo.wav
銀の斧(クリティカル), Combo.wav
ファイアー, Bazooka.wav
メガクェイク, GunPod.wav;7;GunPod.wav
サンダー, Thunder.wav
エクスカリバー(準備), Flair.wav
エクスカリバー, AntiAirMissile.wav
エクスカリバー(命中), Slash.wav
オーラ(準備), Whiz.wav
オーラ, Jet.wav
アロー, MultipleRocketLauncher(Light).wav
ライナロック(準備), Alarm.wav
ライナロック, MicroMissile.wav
ライナロック(命中), Explode(Nuclear).wav
エンジェル, Sharara.wav
メデューサ, Search.wav
メデューサ(クリティカル), Warship.wav
ドーラ, FlyBy.wav
スライム, Fold.wav
デス(準備), Fold.wav
デス, Beam.wav
アイボール, Warship.wav
リザイア, Alarm.wav
リザイア(命中), BeamShot.wav
リカバー, Sharara.wav;3;精神コマンド\kakuran[01-04].bmp 48 48 - - 透過
リブロー, Sharara.wav;0.5;精神コマンド\kiai01.bmp 32 32 - - 透過;Clear;0.5;精神コマンド\kiai02.bmp 48 48 - - 透過;Clear;0.5;精神コマンド\kiai01.bmp 64 64 - - 透過;Clear;0.5;精神コマンド\kiai02.bmp 80 80 - - 透過;Clear;0.5;精神コマンド\kiai01.bmp 96 96 - - 透過;Clear;0.5;精神コマンド\kiai02.bmp 112 112 - - 透過;Clear;0.5;精神コマンド\kiai01.bmp 128 128 - - 透過
リザーブ, Sharara.wav;0.5;精神コマンド\kiai01.bmp 32 32 - - 透過;Clear;0.5;精神コマンドkiai\02.bmp 48 48 - - 透過;Clear;0.5;精神コマンド\kiai01.bmp 64 64 - - 透過;Clear;0.5;精神コマンド\kiai02.bmp 80 80 - - 透過;Clear;0.5;精神コマンド\kiai01.bmp 96 96 - - 透過;Clear;0.5;精神コマンド\kiai02.bmp 112 112 - - 透過;Clear;0.5;精神コマンド\kiai01.bmp 128 128 - - 透過;Clear;0.5;精神コマンド\kiai02.bmp 144 144 - - 透過;Clear;0.5;精神コマンド\kiai01.bmp 160 160 - - 透過;Clear;0.5;精神コマンド\kiai02.bmp 176 176 - - 透過;Clear;0.5;精神コマンド\kiai01.bmp 192 192 - - 透過;Clear;0.5;精神コマンド\kiai02.bmp 208 208 - - 透過;Clear;0.5;精神コマンド\kiai01.bmp 224 224 - - 透過;Clear;0.5;精神コマンド\kiai02.bmp 240 240 - - 透過;Clear;0.5;精神コマンド\kiai01.bmp 256 256 - - 透過;Clear;0.5;精神コマンド\kiai02.bmp 272 272 - - 透過;Clear;0.5;精神コマンド\kiai01.bmp 288 288 - - 透過
