#データ統括　【霞薙】　　e-Mail mistslash@mta.biglobe.ne.jp

#外伝の武器は、本来壊れません。
#が、『ＦＥの武器は壊れる』で統一した方がわかりやすかろうということで、
#弾数制になりました。

鉄の剣,                    800,  1,  1,  +25,   -,   -,   -, AAAA,  +10, 武
鋼の剣,                   1100,  1,  1,  +15,  20,   -,   -, AAAA,  +10, 武
銀の剣,                   1300,  1,  1,  +15,  10,   -,   -, AAAA,  +10, 武
聖なる剣,                 1300,  1,  1,  +25,   -,   -,   -, AAAA,  +10, 武聖
雷の剣,                   1200,  1,  2,  -10,   6,   -,   -, AABA,   +5, 魔雷Ｐ
暗黒の剣,                 1500,  1,  1,  +15,   -,   -,   -, AAAA,  +10, 武失L1
王家の剣,                 1600,  1,  1,  +20,   -,  20,   -, AAAA,  +20, 武
ファルシオン,             1900,  1,  1,   +0,   -,  45,   -, AAAA,   +0, 武光

鉄の槍,                    900,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 武
鋼の槍,                   1200,  1,  1,  +10,  20,   -,   -, AAAA,   +0, 武
銀の槍,                   1400,  1,  1,  +10,  10,   -,   -, AAAA,   +0, 武
聖なる槍,                 1500,  1,  1,  +25,   -,  15,   -, AAAA,  +10, 武聖
手槍,                     1100,  1,  2,  -20,  10,   -,   -, AABA,  -10, 実格Ｐ
太陽,                     1900,  1,  1,  -10,   -,  50,   -, AAAA,   +0, 武
月光,                     1600,  1,  1,  +10,   -,  30,   -, AAAA,   +0, -
流星,                     1400,  1,  1,  +30,   -,  30,   -, AAAA,  +50, 武

鉄の弓,                   1000,  1,  4,  -10,  15,   -,   -, AABA,  +10, 実格
鋼の弓,                   1200,  1,  4,  -10,  10,   -,   -, AABA,  +10, 実格
銀の弓,                   1400,  1,  4,  -10,   6,   -,   -, AABA,  +10, 実格
聖なる弓,                 1300,  1,  5,  +10,   -,  10,   -, AABA,  +10, 実格聖



ファイアー,               1000,  1,  2,   +0,   -,   5,   -, AACA,   +0, 魔術火Ｐ
サンダー,                 1200,  1,  4,  -10,   -,  10,   -, AABA,   +5, 魔術雷
エンジェル,               1400,  1,  3,   +0,   -,  20,   -, AAAA,   +0, 魔術聖
エクスカリバー,           1500,  1,  2,  +10,   -,  15,   -, ABBA,  +30, 魔術風Ｐ
オーラ,                   1500,  1,  2,  -10,   -,  30,   -, AABA,   +0, 魔術ＢＰ
アロー,                   1600,  1,  3,  -20,   -,  30,   -, AABA,   +0, 魔術
ライナロック,             1800,  2,  5,  -30,   -,  40,   -, AAAA,   +0, 魔術火
リザイア,                 1200,  1,  2,  -40,   -,   5,   -, AABA,  -10, 魔術吸奪
ディル,                   1300,  1,  4,  +20,   -,  40,   -, AABA,  +20, 魔術Ｍ投L2封聖殺
イリュージョン(ソルジャー),1100, 1,  3,   +0,   -,  10,   -, CACA,   +0, 術追連L9
イリュージョン(Ｐナイト), 1300,  3,  5,   +0,   -,  30,   -, AABA,   +0, 術追連L9
イリュージョン(魔戦士),   1700,  2,  4,   +0,   -,  30,   -, BABA,   +0, 術追連L9

ドーラ,                   1000,  1,  4,  -10,   -,  10,   -, AABA,  -10, 魔術闇
スライム,                 1300,  1,  3,  -15,   -,  15,   -, AACA,  -10, 魔術闇
デス,                     1500,  1,  4,   -5,   -,  25,   -, AACA,  +20, 魔術闇
メデューサ,                600,  1,  3,  -20,   -,  30,   -, AABA,  +60, 魔術闇衰L3
メガクェイク,             1000,  1,  5,  +20,   -,   -,   -, CABB,  -30, 地Ｍ全識ＡL3
メサイア,                 1300,  1,  3,  +15,   4,   -,   -, AACA,  -10, 術Ｍ投L1識
メサイア,                 1400,  1,  4,  +25,   8,   -,   -, AACA,  -10, 術Ｍ投L1識
ビグルの召喚,             1200,  2,  5,  +15,   -,   -,   -, AACA,   +0, 術実

#メサイアは敵の強度によって、フォーマットを変えています。


===
リカバー,                回復Lv2,                    1,  -,  20,  -, 術
リブロー,                回復Lv1,                    4,  -,  30,  -, 術Ｐ
リザーブ,                回復Lv1,                    4,  -,  60,  -, 術ＰＭ全


