#武器アイコンの添付が不要なanimationです。
#05/04/29の段階で更新停止しています。
#以後、基本的に更新しません。


ファイアーエムブレム
##############  剣系エフェクト  #############
アーマーキラー, 剣
ソードキラー, チャークー
ランスバスター, 剣
つばめがえし, 剣
勇者の剣(攻撃), 連斬撃
勇者の剣(命中), 連斬撃
マスターソード(攻撃), 連斬撃
マスターソード(命中), 連斬撃
アーマーキラー(命中), 斬撃 crash.wav
マーニ・カティ, 日本刀
ソール・カティ, 日本刀
ソール・カティの加護(解説), $(ユニット)はソール・カティで$(相手武器)を切り払った
倭刀, 日本刀
デビルソード, 呪剣
###########  剣系エフェクト・ＣＴ  ##########
鉄の剣(クリティカル), FE剣必殺;デフォルト
鋼の剣(クリティカル), FE剣必殺;デフォルト
銀の剣(クリティカル), FE剣必殺;デフォルト
鉄の大剣(クリティカル), Combo.wav;デフォルト
鋼の大剣(クリティカル), Combo.wav;デフォルト
銀の大剣(クリティカル), Combo.wav;デフォルト
細身の剣(クリティカル), Combo.wav;デフォルト
斬鉄の剣(クリティカル), Combo.wav;デフォルト
聖なる剣(クリティカル), Combo.wav;デフォルト
ソードキラー(クリティカル), Combo.wav;デフォルト
キルソード(クリティカル), Combo.wav;デフォルト
#キルソード(クリティカル)(対瀕死), @戦闘アニメ_振る武器突撃命中 -.bmp crash.wav;デフォルト
マスターソード(クリティカル), @戦闘アニメ_剣突撃命中;デフォルト
メリクルソード(クリティカル), Combo.wav;デフォルト
デビルソード(クリティカル), デフォルト;デフォルト
###########  専用剣エフェクト  ##########
レイピア(クリティカル), Glass.wav;デフォルト
メリクルレイピア(クリティカル), Glass.wav;デフォルト
烈火の剣デュランダル(準備), Glass.wav;1;White.bmp 480 480;Clear;中心回転武器 Weapon\EFFECT_GiantSword01.bmp 56
烈火の剣デュランダル(攻撃), 白兵武器
烈火の剣デュランダル(命中), 大斬撃
烈火の剣デュランダル(とどめ), @戦闘アニメ_中心回転武器準備 Weapon\EFFECT_GiantSword01.bmp 56;Sword.wav
ファルシオン(準備), 粒子集中 白 Sharara.wav;発光 黄 Glass.wav;神剣
ファルシオン(攻撃), 白兵武器
ファルシオン(命中), 斬撃
ファルシオン(クリティカル), Combo.wav;デフォルト
