
ファイアーエムブレム
鉄の剣(クリティカル), Combo.wav//##############  剣系エフェクト  ##############
鋼の剣(クリティカル), Combo.wav
銀の剣(クリティカル), Combo.wav
鉄の大剣(クリティカル), Combo.wav
鋼の大剣(クリティカル), Combo.wav
銀の大剣(クリティカル), Combo.wav
細身の剣(クリティカル), Combo.wav
斬鉄の剣(クリティカル), Combo.wav
炎の剣, Bazooka.wav//##############  魔法剣系エフェクト  ##############
雷の剣, Whip.wav
風の剣, Whiz.wav
光の剣, PatrolCar.wav
大地の剣, Alarm.wav
大地の剣(命中), BeamShot.wav
スリープの剣(クリティカル), SchoolBell.wav
バサークの剣(クリティカル), Fold.wav
キルソード(クリティカル), 1;Slash.wav;1;Slash.wav;1;Slash.wav
マスターソード(クリティカル), 1;Slash.wav;1;Slash.wav;1;Slash.wav
ソードキラー(命中), 2;Swing.wav;Slash(4).wav
ソードキラー(クリティカル), Combo.wav
アーマーキラー(命中), 2;Swing.wav;Slash(4).wav
アーマーキラー(クリティカル), Combo.wav
ドラゴンキラー(命中), 2;Swing.wav;Slash(4).wav
ドラゴンキラー(クリティカル), Combo.wav
つばめがえし(命中), 2;Swing.wav;Slash(4).wav
つばめがえし(クリティカル), Combo.wav
レイピア, Bow.wav
レイピア(命中), Slash.wav
レイピア(クリティカル), 1;Slash.wav;1;Slash.wav;1;Slash.wav
勇者の剣, 2;Swing.wav;Swing.wav
勇者の剣(命中), 2;Slash.wav;Slash.wav
勇者の剣(クリティカル), Combo.wav
メリクルレイピア, Beam.wav//##############  専用武器エフェクト  ##############
メリクルレイピア(命中), Slash.wav
メリクルレイピア(クリティカル), 1;Slash.wav;1;Slash.wav;1;Slash.wav
ファルシオン(準備), Glass.wav;1;White.bmp 480 480;Clear
ファルシオン, Swing.wav
ファルシオン(命中), Slash.wav
ファルシオン(クリティカル), 1;Slash.wav;1;Slash.wav;1;Slash.wav
封印の剣(準備), Sword.wav
封印の剣, Saber.wav
封印の剣(命中), 2;Swing.wav;Slash.wav
封印の剣(クリティカル), Explode(Far).wav
封印の剣・投射(準備), 3;Sword.wav;Fire.wav
封印の剣・投射, 4;Saber.wav;Swing.wav
封印の剣・投射(命中), Explode.wav
封印の剣・投射(クリティカル), Explode(Far).wav
エッケザックス(準備), Sword.wav
エッケザックス, MultipleRocketLauncher(Light).wav
エッケザックス(命中), Slash.wav
エッケザックス・剣圧(準備), Sword.wav
エッケザックス・剣圧, AntiAirMissile.wav
エッケザックス・剣圧(命中), Slash.wav
マーニ・カティ(命中), 2;Swing.wav;Slash.wav
ソール・カティ(命中), 2;Swing.wav;Slash.wav
ヴォルフバイル(命中), 2;Swing.wav;Slash.wav
リガルブレイド(命中), 2;Swing.wav;Slash.wav
レークスハスタ(命中), 2;Swing.wav;Slash.wav
バジリコス(命中), 2;Swing.wav;Slash.wav
リヤンフレチェ(準備)(対瀕死), MultipleRocketLauncher(Light).wav
リヤンフレチェ, Bow.wav
リヤンフレチェ(命中), Stab.wav
スレンドスピア, Bomb.wav
スレンドスピア(命中), Stab.wav
スレンドスピア(クリティカル), Combo.wav
ルーンソード, BeamSaber.wav
ルーンソード(命中), 3;BeamShot.wav;BeamCoat.wav
鉄の槍(クリティカル), Combo.wav//##############  槍系エフェクト  ##############
鋼の槍(クリティカル), Combo.wav
銀の槍(クリティカル), Combo.wav
細身の槍(クリティカル), Combo.wav
キラーランス(クリティカル), 2;Drill.wav;Combo.wav
手槍, Bomb.wav
手槍(命中), Stab.wav
手槍(クリティカル), Combo.wav
ナイトキラー(命中), 2;Swing.wav;Slash.wav
鉄の斧(クリティカル), Combo.wav//##############  斧系エフェクト  ##############
鋼の斧(クリティカル), Combo.wav
銀の斧(クリティカル), Combo.wav
手斧, Swing.wav
手斧(命中), Slash.wav
手斧(クリティカル), Combo.wav
キラーボウ, Bow.wav//##############  弓系エフェクト  ##############
キラーボウ(命中), Stab.wav
キラーボウ(クリティカル), 2;Drill.wav;Combo.wav
鉄の弓(クリティカル), Combo.wav
鋼の弓(クリティカル), Combo.wav
銀の弓(クリティカル), Combo.wav
ファイアー, Bazooka.wav//##############  魔法エフェクト  ##############
エルファイアー, Fire.wav
ボルガノン, MicroMissile.wav
メティオ(準備), Bomb.wav
メティオ, Explode(Far).wav
サンダー, Thunder.wav
エルサンダー, Whip.wav
サンダーストーム, Thunder.wav
トロン(準備), Thunder.wav
トロン, LaserGun.wav
ブリザー(準備), Sword.wav
ブリザー, Bow.wav
ブリザー(命中), 2;Stab.wav
シェイバー, AntiAirMissile.wav
シェイバー(命中), Slash.wav
エクスカリバー(準備), Flair.wav
エクスカリバー, Beam.wav
エクスカリバー(命中), Slash.wav
オーラ(準備), Whiz.wav
オーラ, Jet.wav
リザイア, Alarm.wav
リザイア(命中), BeamShot.wav
ウォーム, Hide.wav
ドゥラーム, Search.wav
ドゥラーム(命中), Warship.wav
ファイアー, Bazooka.wav
メガクェイク, GunPod.wav;7;GunPod.wav
サンダー, Thunder.wav
エクスカリバー(準備), Flair.wav
エクスカリバー, AntiAirMissile.wav
エクスカリバー(命中), Slash.wav
オーラ(準備), Whiz.wav
オーラ, Jet.wav
アロー, MultipleRocketLauncher(Light).wav
ライナロック(準備), Alarm.wav
ライナロック, MicroMissile.wav
ライナロック(命中), Explode(Nuclear).wav
エンジェル, Sharara.wav
メデューサ, Search.wav
メデューサ(クリティカル), Warship.wav
ドーラ, FlyBy.wav
スライム, Fold.wav
デス(準備), Fold.wav
デス, Beam.wav
アイボール, Warship.wav
エルサンダー, Whip.wav
サンダーストーム(準備), Wind.wav
サンダーストーム, Thunder.wav
トローン, Thunder.wav
ウインド, Whiz.wav
エルウインド, Whiz.wav
トルネード, Storm.wav
ブリザード(準備), Wind.wav
ブリザード, Storm.wav
ポイズン, Fold.wav
ヨツムンガンド, Warship.wav
フェンリル, Search.wav
ヘル, FlyBy.wav
ライトニング, PatrolCar.wav
ダイムサンダ, 2;Thunder.wav;Thunder.wav
待ち伏せ(ダイムサンダ), 2;Thunder.wav;Thunder.wav
グラフカリバー, 6;Storm.wav;LaserGun.wav
グラフカリバー(命中), Slash.wav
グラフカリバー(クリティカル), 1;Shock(low).wav;Slash.wav
フィンブル(準備)(対瀕死), EvilEye.wav
フィンブル, AntiShipMissile.wav
フィンブル(命中), Chaff.wav
ギガスカリバー(準備), BeamShot.wav
ギガスカリバー, 2;Swing(2).wav;2;Swing(2).wav;Swing(2).wav
ギガスカリバー(命中), Crash.wav
ライトニング, BeamShot.wav
ライトニング(命中), 3;Glass.wav;Glass.wav
シャイン, Glass.wav
シャイン(命中), 2;BeamShot.wav;Chaff.wav
ディヴァイン, Beam.wav
ディヴァイン(命中), BeamCoat.wav
アルジローレ, Interference.wav
ルーチェ(準備), Jet.wav
ルーチェ, MultipleRocketLauncher(Light).wav
パージ(準備), 3;BeamCoat.wav;BeamCoat.wav
