
ファイアーエムブレム
マーニ・カティ(命中), 2;Swing.wav;Slash.wav
ソール・カティ(命中), 2;Swing.wav;Slash.wav
ヴォルフバイル(命中), 2;Swing.wav;Slash.wav
リガルブレイド(命中), 2;Swing.wav;Slash.wav
レークスハスタ(命中), 2;Swing.wav;Slash.wav
バシリコス(命中), 2;Swing.wav;Slash.wav
リヤンフレチェ(準備)(対瀕死), MultipleRocketLauncher(Light).wav
リヤンフレチェ, Bow.wav
リヤンフレチェ(命中), Stab.wav
瞬殺の技(クリティカル), White.bmp 480 480;2;Slash(3).wav;2;Slash(3).wav;2;Slash.wav;Clear
スレンドスピア, Bomb.wav
スレンドスピア(命中), Stab.wav
スレンドスピア(クリティカル), Combo.wav
ルーンソード, BeamSaber.wav
ルーンソード(命中), 3;BeamShot.wav;BeamCoat.wav
鉄の剣(クリティカル), Combo.wav
鋼の剣(クリティカル), Combo.wav
銀の剣(クリティカル), Combo.wav
レイピア, Bow.wav
レイピア(命中), Slash.wav
レイピア(クリティカル), 1;Slash.wav;1;Slash.wav;1;Slash.wav
キルソード(クリティカル), 1;Slash.wav;1;Slash.wav;1;Slash.wav
鉄の槍(準備)(対瀕死), MultipleRocketLauncher(Light).wav
鉄の槍(クリティカル), Combo.wav
細身の槍(準備)(対瀕死), MultipleRocketLauncher(Light).wav
細身の槍(クリティカル), Combo.wav
キラーランス(準備)(対瀕死), MultipleRocketLauncher(Light).wav
キラーランス(クリティカル), 2;Drill.wav;Combo.wav
鋼の槍(準備)(対瀕死), MultipleRocketLauncher(Light).wav
鋼の槍(クリティカル), Combo.wav
銀の槍(準備)(対瀕死), MultipleRocketLauncher(Light).wav
銀の槍(クリティカル), Combo.wav
手槍, Bomb.wav
手槍(命中), Stab.wav
手槍(クリティカル), Combo.wav
鉄の斧(クリティカル), Combo.wav
鋼の斧(クリティカル), Combo.wav
銀の斧(クリティカル), Combo.wav
手斧, Swing.wav
手斧(命中), Slash.wav
手斧(クリティカル), Combo.wav
キラーボウ, Bow.wav
キラーボウ(命中), Stab.wav
キラーボウ(クリティカル), 2;Drill.wav;Combo.wav
鉄の弓(クリティカル), Combo.wav
鋼の弓(クリティカル), Combo.wav
銀の弓(クリティカル), Combo.wav
ファイアー(準備)(対瀕死), EvilEye.wav
ファイアー, 2;Bazooka.wav;Cannon.wav
ファイアー(命中), Explode.wav
ファイアー(クリティカル), Explode(Far).wav
サンダー(準備)(対瀕死), EvilEye.wav
サンダー, LaserGun.wav
サンダー(命中), Thunder.wav
サンダー(クリティカル), 2;Thunder.wav;2;Thunder.wav;Thunder.wav
エルファイアー(準備)(対瀕死), EvilEye.wav
エルファイアー, 2;Bazooka.wav;Cannon.wav
エルファイアー(命中), Explode(Far).wav
エルファイアー(クリティカル), Explode(Nuclear).wav
サンダーストーム(準備), Wind.wav
サンダーストーム, Thunder.wav
フィンブル(準備)(対瀕死), EvilEye.wav
フィンブル, AntiShipMissile.wav
フィンブル(命中), Chaff.wav
ギガスカリバー(準備), BeamShot.wav
ギガスカリバー, 2;Swing(2).wav;2;Swing(2).wav;Swing(2).wav
ギガスカリバー(命中), Crash.wav
ライトニング, BeamShot.wav
ライトニング(命中), 3;Glass.wav;Glass.wav
シャイン, Glass.wav
シャイン(命中), 2;BeamShot.wav;Chaff.wav
ディヴァイン, Beam.wav
ディヴァイン(命中), BeamCoat.wav
アルジローレ, Interference.wav
ルーチェ(準備), Jet.wav
ルーチェ, MultipleRocketLauncher(Light).wav
パージ(準備), 3;BeamCoat.wav;BeamCoat.wav
パージ, Charge.wav
パージ(命中), Crash.wav
ミィル(準備)(対瀕死), EvilEye.wav
ミィル(準備), BeamSaber.wav
ミィル, Charge(high).wav
