
#ユグドラル大陸に登場する武器のフォーマットです。


##################################################
##########		剣		##########
##################################################
鉄の剣,                    800,  1,  1,  +25,   -,   -,   -, AAAA,  +10, 武
鋼の剣,                   1100,  1,  1,  +15,  20,   -,   -, AAAA,  +10, 武
銀の剣,                   1300,  1,  1,  +15,  10,   -,   -, AAAA,  +10, 武
鉄の大剣,                 1200,  1,  1,   +5,  20,   -,   -, AAAA,   +0, 武
鋼の大剣,                 1300,  1,  1,   +0,  20,   -,   -, AAAA,   +0, 武
銀の大剣,                 1500,  1,  1,   +0,  10,   -,   -, AAAA,   +0, 武
キルソード,               1200,  1,  1,  +20,  10,   -,   -, AAAA,  +20, 武
細身の剣,                 1000,  1,  1,  +30,  10,   -,   -, AAAA,   +5, 武
##################################################
##########		特殊剣		##########
##################################################
勇者の剣,                 1200,  1,  1,  -15,   -,  20,   -, AAAA,  +10, 武再L16
毒の剣,                    500,  1,  1,  +35,  10,   -,   -, AAAA,  +40, 武毒
風の剣,                   1100,  1,  2,   +0,   6,   -,   -, AABA,  +20, 魔風Ｐ
雷の剣,                   1200,  1,  2,  -10,   6,   -,   -, AABA,   +5, 魔雷Ｐ
炎の剣,                   1300,  1,  2,  -30,   6,   -,   -, AACA,   +0, 魔火Ｐ
光の剣,                   1300,  1,  2,  -10,  12,   -,   -, AABA,  +10, 魔ＢＰ
大地の剣,                 1000,  1,  2,  -20,   6,   -,   -, AABA,  -10, 魔Ｂ吸Ｐ
つばめがえし,             1400,  1,  1,  +15,   -,  10,   -, A---,   +0, 武ＪLX
斬鉄の剣,                 1400,  1,  1,  -30,  10,   -,   -, AAAA,   +0, 武浸
スリープの剣,             1000,  1,  1,   +0,  10,  20,   -, AAAA,  +20, 武眠
バサークの剣,             1000,  1,  1,   +0,  10,  20,   -, AAAA,  +20, 武乱
#※つばめがえしのジャンプレベルは、
#※そのユニットが対空Ａになるように設定してください
##################################################
##########		槍		##########
##################################################
毒の槍,                    600,  1,  1,  +30,  10,   -,   -, AAAA,  +40, 毒武
鉄の槍,                    900,  1,  1,  +20,   -,   -,   -, AAAA,   +0, 武
鋼の槍,                   1200,  1,  1,  +10,  20,   -,   -, AAAA,   +0, 武
銀の槍,                   1400,  1,  1,  +10,  10,   -,   -, AAAA,   +0, 武
細身の槍,                 1100,  1,  1,  +25,  10,   -,   -, AAAA,   +5, 武
手槍,                     1100,  1,  2,  -20,  10,   -,   -, AABA,  -10, 実格Ｐ
キラーランス,             1200,  1,  1,  +15,  10,   -,   -, AAAA,  +20, 武
ナイトキラー,             1300,  2,  2,  -10,   6,   -,   -, AAAA,  +20, 武格反
勇者の槍,                 1100,  1,  1,   +5,   -,  15,   -, AAAA,   +0, 武再L16
##################################################
##########		斧		##########
##################################################
毒の斧,                    700,  1,  1,  +25,  10,   -,   -, AAAA,  +40, 毒武
鉄の斧,                   1000,  1,  1,  +15,   -,   -,   -, AAAA,  -10, 武
鋼の斧,                   1300,  1,  1,   +5,  20,   -,   -, AAAA,  -10, 武
銀の斧,                   1500,  1,  1,   +5,  10,   -,   -, AAAA,  -10, 武
手斧,                     1100,  1,  2,  -20,  10,   -,   -, AABA,  -10, 実格Ｐ
プージ,                   1400,  1,  2,   +0,   -,  15,   -, AAAA,  +20, 実格Ｐ
キラーアクス,             1300,  1,  1,  +10,  10,   -,   -, AAAA,  +20, 武
勇者の斧,                 1200,  1,  1,  -30,   -,  15,   -, AAAA,  -10, 武再L16
ハンマー,                 1500,  1,  1,  -40,   6,   -,   -, AAAA,  -50, 武
##################################################
##########		弓		##########
##################################################
鉄の弓,                   1000,  1,  4,  -10,  15,   -,   -, AABA,  +10, 実格
鉄の弓・速射,             1000,  2,  4,  -10,  15,   -,   -, AABA,  +10, 実格
キラーボウ,               1100,  1,  4,   +0,  10,   -,   -, AABA,  +30, 実格
鋼の弓,                   1200,  1,  4,  -10,  10,   -,   -, AABA,  +10, 実格
銀の弓,                   1400,  1,  4,  -10,   6,   -,   -, AABA,  +10, 実格
勇者の弓,                 1200,  2,  4,  -10,   -,  20,   -, AABA,   +0, 実格再L16
ショートボウ,             1100,  2,  3,   +0,   8,   -,   -, AABA,   +0, 実格
ロングボウ,               1300,  2,  4,  -10,   6,   -,   -, AABA,   +0, 実格
グレートボウ,             1500,  2,  4,  -30,   4,   -,   -, AABA,   +0, 実格
##################################################
##########		弓(射撃値)	##########
##################################################
鋼の弓・速射,             1200,  2,  2,   +0,  10,   -,   -, AABA,  +10, 実Ｐ
銀の弓・速射,             1400,  2,  2,   +0,   6,   -,   -, AABA,  +10, 実Ｐ
勇者の弓・速射,           1100,  2,  2,   +0,   -,  15,   -, AABA,   +0, 実Ｐ再L16
##################################################
##########		火魔法		##########
##################################################
ファイアー,               1100,  1,  3,  +20,  10,   -,   -, AACA,   +0, 魔術火
エルファイアー,           1300,  1,  3,  +10,  10,   -,   -, AACA,   +0, 魔術火
ボルガノン,               1500,  1,  3,  -10,   6,   -,   -, AACA,   +5, 魔術火
メティオ,                 1400,  4,  6,  -30,   3,   -,   -, AACA,  -15, 魔術火
##################################################
##########		雷魔法		##########
##################################################
サンダー,                 1000,  1,  4,  -10,  10,   -,   -, AABA,   +5, 魔術雷
エルサンダー,             1200,  1,  4,  -20,  10,   -,   -, AABA,   +5, 魔術雷
トローン,                 1400,  1,  4,  -10,   6,   -,   -, AABA,   +5, 魔術雷
サンダーストーム,         1300,  5,  6,  -15,   3,   -,   -, AABA,   +0, 魔術雷
##################################################
##########		風魔法		##########
##################################################
ウインド,                  900,  1,  3,  +10,  10,   -,   -, AABA,  +10, 魔術風
エルウインド,             1100,  1,  2,  -10,  10,   -,   -, AABA,  +10, 魔術風Ｐ
トルネード,               1300,  1,  3,  -15,   6,   -,   -, AABA,  +20, 魔術風
ブリザード,               1200,  3,  6,  -10,   3,   -,   -, AABA,  +10, 魔術風眠
##################################################
##########		闇魔法		##########
##################################################
ポイズン,                  900,  4,  6,  -15,   5,  10,   -, AABA,  +30, 魔術闇毒
ヨツムンガンド,           1300,  1,  3,  -10,  10,  10,   -, AABA,   -5, 魔術闇
ヘル,                     1300,  1,  3,  -20,   5,  30,   -, AABA,  +10, 魔術闇貫Ｒ
フェンリル,               1400,  4,  6,  -20,   5,  15,   -, AABA,  -15, 魔術闇
##################################################
##########		光魔法		##########
##################################################
ライトニング,             1300,  1,  4,  -10,   8,   -,   -, AABA,   +0, 魔術Ｂ
リザイア,                 1100,  1,  3,  -20,  10,   -,   -, AABA,  -10, 魔術Ｂ吸
オーラ,                   1500,  1,  4,  -10,   6,   -,   -, AABA,   +0, 魔術Ｂ
##################################################
##########		　杖　		##########
##################################################
スリープの杖,                0,  1,  5,  +10,   -,  50, 100, AAAA,  +20, 魔術眠
サイレスの杖,                0,  1,  5,  +10,   3,  50, 100, AAAA,  +30, 魔術黙
バサークの杖,                0,  1,  5,  +10,   3,  60, 100, AAAA,  +50, 魔術乱
===
ライブの杖,              回復Lv1,                    1, 10,  10,  -, 術援
リライブの杖,            回復Lv2,                    1, 10,  10,  -, 術援
リブローの杖,            回復Lv1,                    4,  5,  20,  -, 術援Ｐ
リカバーの杖,            回復Lv5,                    1,  5,  20,  -, 術援
リザーブの杖,            回復Lv2,                    4,  5,  45,100, 術ＰＭ全
レストの杖,                 治癒,                    5, 10,  10,  -, 術援
##################################################
##########		スキル		##########
##################################################
流星剣,                   1700,  1,  1,  -30,  10,   -,   -, AAAA,   +0, 武斉連L5
月光剣,                   1200,  1,  1,  +10,   -,  20,   -, AAAA,   +0, 武貫
太陽剣,                   1200,  1,  1,  -20,   -,  15,   -, AAAA,   +0, 武吸
突撃,                     1500,  1,  1,  +25,   -,  20,   -, AAAA,  +10, 突攻消
突撃(弓),                 1500,  2,  2,   +5,   -,  25,   -, AABA,  +10, 実消攻Ｐ
突撃(魔法),               1500,  1,  2,  -15,   -,  30,   -, AABA,  -10, 魔術消攻Ｐ
待ち伏せ,                 1300,  1,  1,  +30,   -,  10,   -, AAAA,  +20, 反先武瀕
待ち伏せ(弓),             1300,  1,  4,   +0,   -,  20,   -, AAAA,  +10, 反先実格瀕
待ち伏せ(魔法),           1300,  1,  4,  -10,   -,  20,   -, AAAA,   +0, 反先魔術瀕

