ＦＦ６
ポイズン, Whiz.wav
ポイズン(命中), Bubble.wav
エンハンスソード, Swing.wav
エンハンスソード(命中), Slash.wav
ファイア, fire.wav
ドレイン, Whiz.wav
ドレイン(命中), Bubble.wav
バイオ, Whiz.wav
バイオ(命中), Bubble.wav
ファイラ, LaserGun.wav
メルトン, 5;MultipleRocketLauncher.wav;Explode(Nuclear).wav
ライオットソード(準備), Glass.wav;1;White.bmp 480 480;Clear
ライオットソード, 3;Whiz.wav;1;Glass.wav;1;Glass.wav;1;Glass.wav;Glass.wav
ライオットソード(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
ファイガ, Warship.wav
ファイガ(命中), Explode.wav
フレア, 8;Charge.wav;Explode(Nuclear).wav
アルテマ, Charge.wav;8;精神コマンド\gekirei[05-08].bmp 640 480 透過;Falir.wav;1;White.bmp 640 480;Clear
アルテマ(命中), Explode.wav
マインゴーシュ(命中), Saber.wav
ホークアイ, Swing.wav
ホークアイ(命中), Shock(low).wav
グラディウス(命中), Slash.wav
ナイフ二刀流, 1;Swing.wav;Swing.wav
ナイフ二刀流(命中), 1;Slash.wav;Slash.wav
二刀流乱れ撃ち, 1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;1;Swing.wav;Swing.wav
二刀流乱れ撃ち(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
ミラージュダイヴ(準備), Glass.wav;1;White.bmp 480 480;Clear
ミラージュダイヴ, 3;Stairs(Run).wav;Swing.wav
ミラージュダイヴ(命中), 1;Explode.wav;1;Slash.wav;Slash.wav
ブラストボイス, Alarm.wav
ウィークメーカー, -.wav
ウィークメーカー(命中), Hittyuu.wav
バイオブラスト, Fold.wav
バイオブラスト(命中), -.wav
バイオブラスト(クリティカル), Bubble.wav
パルチザン, Swing.wav
パルチザン(命中), Stab.wav
ドリル, Engine.wav
ドリル(命中), Drill.wav
サンビーム, Beam.wav
サンビーム(クリティカル), Explode.wav;1;White.bmp 480 480;Clear
オートボウガン, 1;Bow.wav;1;Bow.wav;1;Bow.wav;Bow.wav
オートボウガン(命中), Stab.wav
回転のこぎり, Engine.wav
回転のこぎり(命中), Drill.wav
エアアンカー, 12;FlyBy.wav;Sword.wav
ロイヤルショック(準備), Glass.wav;1;White.bmp 480 480;Clear
ロイヤルショック, LaserGun.wav
メタルナックル, Swing.wav
メタルナックル(命中), Shock(low).wav
オーラキャノン, Beam.wav
爆裂拳(命中), Combo.wav
鳳凰の舞, MultipleRocketLauncher(Light).wav
真空波, LesarGun.wav
メテオストライク, 2;Punch.wav;Swing.wav
メテオストライク(命中), 2;Shock(low).wav;Explode.wav
タイガーブレイク(準備), Glass.wav;1;White.bmp 480 480;Clear
タイガーブレイク, 1;Stairs(Run).wav;Warship.wav
タイガーブレイク(命中), Explode(Nuclear).wav
夢幻闘舞(準備), Flair.wav;1;White.bmp 480 480;Clear
夢幻闘舞, MicroMissile.wav
夢幻闘舞(命中), 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
サイレス, Whiz.wav
サイレス(命中), -.wav
サイレス(クリティカル), -.wav
ストップ, Whiz.wav
ストップ(命中), -.wav
ストップ(クリティカル), Hittyu.wav
ブリザド, Whiz.wav
ブリザド(命中), Glass.wav
バスタードソード, Swing.wav
バスタードソード(命中), Slash.wav
ブリザラ, Storm.wav
ブリザラ(命中), Glass.wav
ルーンブレイド(準備), Whiz.wav
ルーンブレイド, Swing.wav
ルーンブレイド(命中), Slash.wav
ルーンブレイド(クリティカル), Slash.wav;1;White.bmp 480 480;Clear
ブリザガ, 4;Storm.wav;1;Glass.wav;1;Glass.wav;Glass.wav
ブリザガ(命中), 1;Glass.wav;2;Glass.wav;Explode.wav
メテオ(準備), Fold.wav
メテオ, 2;Bomb.wav;1;Bomb.wav;2;Bomb.wav;1;Bomb.wav;1;Bomb.wav;2;Bomb.wav;1;Bomb.wav;2;Bomb.wav;3;Explode.wav;1;Explode.wav;2;Explode.wav;1;Explode.wav;Explode(Nuclear).wav
ホーリー, Whiz.wav
スピニングエッジ(準備), Glass.wav;1;White.bmp 480 480;Clear
スピニングエッジ, MultipleRocketLauncher.wav
スピニングエッジ(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
煙玉, Explode.wav
煙玉(命中), -.wav
煙玉(クリティカル), -.wav
手裏剣, 1;bow.wav;1;bow.wav;bow.wav
手裏剣(命中), 1;Stab.wav;1;Stab.wav;Stab.wav
小太刀, Swing.wav
小太刀(命中), Slash.wav
火遁, Fire.wav
水遁, Splash.wav
ハウンドタックル, Dog.wav
ハウンドタックル(命中), Shock.wav
雷迅, Thunder.wav
シャドウファング(準備), Glass.wav;1;White.bmp 480 480;Clear
シャドウファング, -.wav
シャドウファング, 1:explode.wav;Slash.wav
ジョーカーデス(準備), 1;hittyu.wav;1;hittyu.wav;hittyu.wav
ジョーカーデス(命中), -.wav
ジョーカーデス(クリティカル), Fold.wav;5;Black.bmp 480 480;Clear
ダイス, 2;Swing.wav;Swing.wav
チョコボラッシュ, 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav
カード, Bow.wav
カード(命中), Stab.wav
ダーツ, Bow.wav
ダーツ(命中), Stab.wav
セブンフラッシュ, Beam.wav
いかさまダイス, 1;Swing.wav;1;Swing.wav;Swing.wav
ブラッディカード(準備), Glass.wav;1;White.bmp 480 480;Clear
ブラッディカード, Bow.wav
ブラッディカード(命中), Fold.wav;5;Black.bmp 480 480;Clear
スリプル, Whiz.wav
スリプル(命中), -.wav
スリプル(クリティカル), Bubble.wav
コンフュ, Whiz.wav
コンフュ(命中), -.wav
コンフュ(クリティカル), PiyoPiyo.wav
ブレイク, Whiz.wav
ブレイク(命中), -.wav
ブレイク(クリティカル), PiyoPiyo.wav
マジカルブラシ, Swing.wav
マジカルブラシ, Slap.wav
グラビデ, Bazooka.wav
グラビデ(命中), Shock(low).wav
サンダー, Thunder.wav
グラビガ, Bazooka.wav
グラビガ(命中), Shock(low).wav
サンダラ, Thunder.wav
クエイク, 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
デジョン(準備), Fold.wav;Black.bmp 480 480;Clear
デジョン, Glass.wav;Clear
サンダガ, Thunder.wav
スタープリズム(準備), Glass.wav;1;White.bmp 480 480;Clear
スタープリズム, PowerDown.wav
スタープリズム(命中), Explode(nuclear).wav
阿修羅, Swing.wav
阿修羅(命中), Slash.wav
必殺剣「牙」, 1;Stairs(Run).wav;Swing.wav
必殺剣「牙」(命中), Slash.wav
必殺剣「龍」, Whiz.wav
必殺剣「龍」(命中), Slash.wav
必殺剣「虎」, Swing.wav
必殺剣「虎」(命中), Slash.wav
必殺剣「舞」, 1;Slash.wav;1;Slash.wav;1;Slash.wav;Slash.wav
必殺剣「空」, Swing.wav
必殺剣「空」(命中), 1;Slash.wav;Slash.wav
必殺剣「月」, LaserGun.wav
必殺剣「断」, 1;Stairs(Run).wav;Cannon.wav
必殺剣「断」(命中), 3;Swing.wav;1;Glass.wav
燕返し(準備), Glass.wav;1;White.bmp 480 480;Clear
燕返し, Swing.wav
燕返し(命中), 1;Shock(low).wav;Slash.wav
