
#　　このアニメでは、ＳＲＣＨＰ汎用コーナーで戦闘アニメとして配布されているもの以外
#　に、以下のアイコンを使用しています。
#　　なお、もしも無くても、見た目がおかしい程度でエラーは出ないようです。
#
#　EFFECT_Dice01.bmp
#　EFFECT_FF07_Hiwind.bmp
#　EFFECT_FF07_Chocobo&Moguri.bmp
#　EFFECT_FF07_Siva.bmp
#　EFFECT_FF07_Efreet.bmp
#　EFFECT_FF07_Ramuh.bmp
#　EFFECT_FF07_Titan.bmp
#　EFFECT_FF07_Leviathan.bmp
#　EFFECT_FF07_Odein.bmp
#　EFFECT_FF07_Bahamut.bmp
#　EFFECT_FF07_Kujata.bmp
#　EFFECT_FF07_Alexander.bmp
#　EFFECT_FF07_Phoenix.bmp
#　EFFECT_FF07_BahamutCustom.bmp
#　EFFECT_FF07_Hades.bmp
#　EFFECT_FF07_BahamutZero.bmp
#　EFFECT_FF07_Typhon.bmp
#　EFFECT_FF07_Knight'sOfRound.bmp
#

#　　通常攻撃でいちいち攻撃前にエフェクトかかってもウザいので、リミット技の前の足元から
#　光が噴出するアニメは究極リミット技に限っています。

#　ＦＦ７

クラウド＝ストライフ
バスターソード, 大剣
破晄撃(準備), 大剣
破晄撃(攻撃), 振り下ろし;地表衝撃波 オレンジ
破晄撃(命中), 小爆発
ブレイバー(準備), 大剣
ブレイバー(攻撃), 振り上げ;振り下ろし
ブレイバー(命中), 唐竹割り
凶斬り(準備), 大剣
凶斬り(攻撃), 大剣突撃
凶斬り(命中), 決め文字 凶
画龍点睛(準備), 大剣
画龍点睛(攻撃), 竜巻
画龍点睛(命中), 竜巻
メテオレイン(準備), 大剣
メテオレイン(攻撃), 岩弾;岩弾;岩弾;岩弾;岩弾;岩弾
クライムハザード(準備), 大剣
クライムハザード(攻撃), 大剣突撃
クライムハザード(命中), 振り上げ
超究武神覇斬(準備), 光噴出 橙;大剣;粒子集中 白
超究武神覇斬(攻撃), 斬撃乱舞;斬撃乱舞;斬撃乱舞
超究武神覇斬(命中), 斬撃乱舞;斬撃乱舞;斬撃乱舞;粒子集中 白;唐竹割り
超究武神覇斬ver5(攻撃), ４ｗａｙ射出;スーパータックル乱舞 ブルー
超究武神覇斬ver5(命中), スーパータックル乱舞 ブルー;大斬撃;大斬撃;大斬撃;大斬撃;大斬撃;粒子集中 白;唐竹割り

ティファ＝ロックハート
掌打ラッシュ(攻撃), 乱打
水面蹴り(攻撃), 乱打
サマーソルト(攻撃), 乱打
メテオドライブ(攻撃), 乱打
ドルフィンブロウ(攻撃), 乱打
メテオストライク(攻撃), 乱打
ファイナルヘヴン(準備), 光噴出 橙
ファイナルヘヴン(攻撃), 乱打
掌打ラッシュ(命中), 乱打
サマーソルト(命中), 乱打;@戦闘アニメ_タックル攻撃;@戦闘アニメ_キック攻撃;打撃
水面蹴り(命中), 乱打;@戦闘アニメ_タックル攻撃;@戦闘アニメ_キック攻撃;打撃;@戦闘アニメ_タックル攻撃;打撃
メテオドライブ(命中), 乱打;@戦闘アニメ_タックル攻撃;@戦闘アニメ_キック攻撃;打撃;@戦闘アニメ_タックル攻撃;打撃;@戦闘アニメ_ドライバー攻撃;ドライバー
ドルフィンブロウ(命中), 乱打;@戦闘アニメ_タックル攻撃;@戦闘アニメ_キック攻撃;打撃;@戦闘アニメ_タックル攻撃;打撃;@戦闘アニメ_タックル攻撃;ドライバー;@戦闘アニメ_アッパー攻撃;津波;アッパー
メテオストライク(命中), 乱打;@戦闘アニメ_タックル攻撃;@戦闘アニメ_キック攻撃;打撃;@戦闘アニメ_タックル攻撃;打撃;@戦闘アニメ_ドライバー攻撃;ドライバー;@戦闘アニメ_アッパー攻撃;津波;アッパー;@戦闘アニメ_タックル攻撃;ジャンプバスター
ファイナルヘヴン(命中), 乱打;@戦闘アニメ_タックル攻撃;@戦闘アニメ_キック攻撃;打撃;@戦闘アニメ_タックル攻撃;打撃;@戦闘アニメ_ドライバー攻撃;ドライバー;@戦闘アニメ_アッパー攻撃;津波;アッパー;@戦闘アニメ_タックル攻撃;ジャンプバスター;粒子集中 白;@戦闘アニメ_打突攻撃;超打

エアリス＝ゲインズブール
邪気封印, ＭＡＰフラッシュ
エアロ, 風
ロッド, 杖
エアロラ, 強風
癒しの風, 風
生命の鼓動, 回復魔法
大いなる福音(準備), 光噴出 橙
大いなる福音(発動), @戦闘アニメ_周囲回転攻撃 Event\スペシャルパワー\syukufuku01.bmp 64 inori.wav 相手ユニットＩＤ 3;回復魔法
大地の息吹, 光噴出 白
星の守護, @戦闘アニメ_流星攻撃
怒りの烙印, 魔法集中

バレット＝ウォーレス
ガトリングガン, 内蔵ガトリング
グレネードボム(攻撃), グレネード
グレネードボム(命中), 爆発
ハンマーブロウ, ハンマー突撃
マインドブレイク(攻撃), 魔力集中 黒;中ビーム 黒
マインドブレイク(命中), 電撃
サテライトビーム(攻撃), ロックオン;衛星ビーム
サテライトビーム(命中), バスタービームライフル
カタストロフィ(準備), 光噴出 橙
カタストロフィ(攻撃), ＭＡＰ持続ビーム
カタストロフィ(命中), 大ビーム
アンガーマックス, 拡散ビーム

シド＝ハイウインド
パルチザン, パイク
