
ＳｅｅＤ
フェイテッドサークル, Whiz.wav
ガンブレード(クリティカル), Explode.wav
連続剣(クリティカル), 2;Slash.wav;4;Explode.wav;2;Slash.wav;4;Explode.wav
ラフディバイド, Whiz.wav
ラフディバイド(命中), 2;GunPod.wav;3;Explode.wav
ブラスティングゾーン, BeamCoat.wav
エンドオブハート(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;2;Whiz.wav;2;Sword.wav
超震動, Fold.wav
レイ・ボム, BeamCoat.wav
レイ・ボム(命中), 3;Explode.wav;3;Explode(Far).wav
ラッシュパンチ, Combo.wav
バーニングレイヴ, Whiz.wav
バーニングレイヴ(命中), Punch.wav
メテオバレット(命中), Punch.wav
ディファレントビート(命中), Punch.wav
俺式ファイナルヘブン, Interference.wav
俺式ファイナルヘブン(命中), Crash.wav
ウォータ(命中), Bubble.wav
クイックショット, 1;Reload.wav;4;Gun.wav
クイックショット(とどめ), 1;Swing.wav;1;Swing.wav;1;Swing.wav;10;Sword.wav;3;Reload.wav
ウィッシュスター, 10;Jet.wav;2;Punch.wav;4;Sword.wav;6;Sharara.wav
ダイアモンドダスト(命中), Glass.wav
地獄の火炎, Interference.wav
地獄の火炎(命中), Crash.wav
兄弟仁義(命中), Crash.wav
暴風圏突入, 3;Storm.wav;3;Storm.wav
聖なる審判, 3;Beam.wav;3;Beam.wav;3;Beam.wav
果てしなき暴走, AntiShipMissile.wav
メガフレア, Interference.wav
メガフレア(命中), Explode(Far).wav
