ＦＦＴ
####### 固有ジョブスキル #######
叫ぶ(使用), オーラ上昇 赤 Charge.wav
叫ぶ(発動), 飛沫 赤 Explode.wav
おまじない, 回復魔法
不動無明剣(攻撃), 斬撃
不動無明剣(命中), 氷柱 EvilEye.wav;飛沫 白 Glass.wav
乱命割殺打(攻撃), 斬撃
乱命割殺打(命中), オーラ上昇 橙 FastGun.wav
北斗骨砕打(攻撃), 斬撃
北斗骨砕打(命中), 発光 橙 Sword.wav;ダメージ Bazooka.wav
無双稲妻突き(攻撃), 斬撃
無双稲妻突き(命中), 落雷 黄 Thunderbolt.wav;斬撃 -.wav
聖光爆裂破(攻撃), 斬撃;2;ＭＡＰ光噴出 白 Jet.wav
聖光爆裂破(命中), 飛沫 白 Inori.wav
暗の剣(攻撃), 斬撃
暗の剣(命中), 光噴出 黒 Roar.wav
闇の剣(攻撃), 斬撃
闇の剣(命中), 発光 黒 -.wav;黒斬撃 Slash(4).wav
星天爆撃打(攻撃), 斬撃
星天爆撃打(命中), 唐竹割り -.wav;飛沫 青 Glass.wav
冥界恐叫打(攻撃), 斬撃
冥界恐叫打(命中), オーラ上昇 青 FastGun.wav
強甲破点突き(攻撃), 斬撃
強甲破点突き(命中), 大刺突 Slash.wav;斬撃 -.wav
咬撃氷狼破(攻撃), 斬撃
咬撃氷狼破(命中), 魔法集中 青;斬撃 Transform.wav
邪心封印, リボルバー
邪心封印(命中), 銃弾;発光 白 Glass.wav
腕を狙う(使用), @ＳＰアニメ_必中 対象ユニットＩＤ
腕を狙う(発動), 発光 赤 -.wav
足を狙う(使用), @ＳＰアニメ_必中 対象ユニットＩＤ
足を狙う(発動), 発光 緑 -.wav
太虚空蔵(攻撃), @戦闘アニメ_オーラ上昇準備 白 BeamSaber.wav
太虚空蔵(命中), -
天鼓雷音(攻撃), @戦闘アニメ_オーラ上昇準備 黄 BeamSaber.wav
天鼓雷音(命中), 粒子集中 黄;2;発光 黄 Thunderbolt.wav
阿修羅(攻撃), @戦闘アニメ_オーラ上昇準備 赤 BeamSaber.wav
阿修羅(命中), 粒子集中 赤;2;爆発
金剛七剣(攻撃), @戦闘アニメ_オーラ上昇準備 緑 BeamSaber.wav
金剛七剣(命中), 粒子集中 緑;2;強風
水磨竜穴(攻撃), @戦闘アニメ_オーラ上昇準備 青 BeamSaber.wav
水磨竜穴(命中), 粒子集中 青;2;津波
天魔鬼神(攻撃), @戦闘アニメ_オーラ上昇準備 橙 BeamSaber.wav
天魔鬼神(命中), 粒子集中 橙;2;光噴出 橙 Shock(low).wav
裏太虚空蔵(攻撃), @戦闘アニメ_オーラ上昇準備 白 BeamSaber.wav
裏太虚空蔵(命中), -
裏天鼓雷音(攻撃), @戦闘アニメ_オーラ上昇準備 黄 BeamSaber.wav
裏天鼓雷音(命中), 粒子集中 黄;2;発光 黄 Thunderbolt.wav
裏阿修羅(攻撃), @戦闘アニメ_オーラ上昇準備 赤 BeamSaber.wav
裏阿修羅(命中), 粒子集中 赤;2;爆発
裏金剛七剣(攻撃), @戦闘アニメ_オーラ上昇準備 緑 BeamSaber.wav
裏金剛七剣(命中), 粒子集中 緑;2;強風
裏水磨竜穴(攻撃), @戦闘アニメ_オーラ上昇準備 青 BeamSaber.wav
裏水磨竜穴(命中), 粒子集中 青;2;津波
裏天魔鬼神(攻撃), @戦闘アニメ_オーラ上昇準備 橙 BeamSaber.wav
裏天魔鬼神(命中), 粒子集中 橙;2;光噴出 橙 Shock(low).wav
カエル爆弾, しもべ FFT_FrogU.bmp
カエル爆弾(命中), ダメージ Explode.wav
ホーリーブレス(攻撃), 火炎放射 白 FlyBy(High).wav
ホーリーブレス(命中), 火炎放射 白 FlyBy(High).wav;放電 -.wav
竜ならし(攻撃), 魔法放射 白 BeamSaber.wav
竜ならし(命中), -
竜介抱, 回復魔法泡
竜パワーアップ(使用), 魔法放射 赤 Whiz.wav
竜パワーアップ(発動), オーラ上昇 赤 Charge.wav;飛沫 赤 Explode.wav
竜レベルアップ(使用), 魔法放射 緑 Whiz.wav
竜レベルアップ(発動), 魔法集中 緑;光噴出 緑 FlyBy(High).wav;オーラ上昇 緑 -.wav
破壊する(攻撃), 打突
破壊する(命中), 強打 Bazooka.wav
圧縮する(攻撃), 振り下ろし
圧縮する(命中), 爆撃 Crash.wav
処理する(準備), 粒子集中 赤
