ＦＦＴ
ロングソード, Swing.wav
ロングソード(命中), Slash.wav
ミスリルソード, Swing.wav
ミスリルソード(命中), Slash.wav
ルーンブレイド, Swing.wav
ルーンブレイド(命中), Slash.wav
エクスカリバー, Swing.wav
エクスカリバー(命中), Slash.wav
ディフェンダー, Swing.wav
ディフェンダー(命中), Slash.wav
セイブザクイーン, Swing.wav
セイブザクイーン(命中), Slash.wav
プラチナソード, Swing.wav
プラチナソード(命中), Slash.wav
ブラッドソード, Swing.wav
ブラッドソード(命中), Slash.wav
メイスオブゼウス, Swing.wav
メイスオブゼウス(命中), Punch.wav
銘刀・正宗, Swing.wav
銘刀・正宗(命中), Slash.wav
呪縛刀, Swing.wav
呪縛刀(命中), Slash.wav
清盛, Swing.wav
清盛(命中), Slash.wav
マテリアブレイド, Swing.wav
マテリアブレイド(命中), 1;Shock(low).wav;Slash.wav
投石, Swing.wav
投石(命中), Punch.wav
アルテマ, Charge.wav;8;精神コマンド\gekirei[05-08].bmp 640 480 透過;Glass.wav;1;White.bmp 480 480;Clear
アルテマ, Glass.wav;1;White.bmp 480 480;Clear
アルテマ(命中), Explode.wav
アルテマ(MAP),Charge.wav;8;精神コマンド\gekirei[05-08].bmp 640 480 透過;Glass.wav;1;White.bmp 480 480;Clear
乱命割殺打, 5;Swing.wav;Crash.wav
聖光爆裂破, 5;Swing.wav;LaserGun.wav
不動無明剣, 5;Swing.wav;Glass.wav
北斗骨砕打, 5;Swing.wav;Fold.wav
無双稲妻突き, 5;Swing.wav;Thunder.wav
手を撃つ, Rifle.wav
足を撃つ, Rifle.wav
邪心封印, Rifle.wav
銃撃, Rifle.wav
グレイシャルガン, Rifle.wav
グレイシャルガン(命中), Glass.wav
星天爆撃打, 5;Swing.wav;Tub.wav
星天爆撃打(クリティカル), Crash.wav
咬撃氷狼破, 5;Swing.wav;Stab.wav
咬撃氷狼破(クリティカル), Crash.wav
冥界恐叫打, 5;Swing.wav;AntiShipMissile.wav
冥界恐叫打(クリティカル), Crash.wav
強甲破点突き, 5;Swing.wav;Explode.wav
強甲破点突き(クリティカル), Crash.wav
闇の剣, 5;Swing.wav;Slash.wav
暗の剣, 5;Swing.wav;Bubble.wav
天鼓雷音, 1;Thunder.wav;1;Thunder.wav;1;Thunder.wav;1;Thunder.wav;1;Thunder.wav;Thunder.wav
太虚空蔵, 1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;Whiz.wav
阿修羅, 1;Fire.wav;1;Fire.wav;1;Fire.wav;1;Fire.wav;1;Fire.wav;Fire.wav
金剛七剣, 1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;Sword.wav
水磨竜穴, 1;Splash.wav;1;Splash.wav;1;Splash.wav;1;Splash.wav;1;Splash.wav;Splash.wav
天魔鬼神, 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
裏天鼓雷音, 1;Thunder.wav;1;Thunder.wav;1;Thunder.wav;1;Thunder.wav;1;Thunder.wav;Thunder.wav
裏太虚空蔵, 1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;1;Whiz.wav;Whiz.wav
裏阿修羅, 1;Fire.wav;1;Fire.wav;1;Fire.wav;1;Fire.wav;1;Fire.wav;Fire.wav
裏金剛七剣, 1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;Sword.wav
裏水磨竜穴, 1;Splash.wav;1;Splash.wav;1;Splash.wav;1;Splash.wav;1;Splash.wav;Splash.wav
裏天魔鬼神, 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
スリプル, Whiz.wav
スリプル(命中), -.wav
スリプル(クリティカル), Bubble.wav
コンフュ, Whiz.wav
コンフュ(命中), -.wav
コンフュ(クリティカル), PiyoPiyo.wav
ブレイク, Whiz.wav
ブレイク(命中), -.wav
ブレイク(クリティカル), PiyoPiyo.wav
サイレス, Whiz.wav
サイレス(命中), -.wav
サイレス(クリティカル), -.wav
ショック！, Swing.wav
ショック！(命中), Glass.wav
ドレイン, Whiz.wav
ドレイン(命中), Bubble.wav
アスピル, Whiz.wav
アスピル(命中), Bubble.wav
バイオ, Whiz.wav
バイオ(命中), Bubble.wav
アイスブレス, 6;Storm.wav;Glass.wav
ファイアブレス, 6;Storm.wav;Fire.wav
サンダーブレス, 6;Storm.wav;Thunder.wav
ホーリーブレス, MultipleRocketLauncher(Light).wav
画龍点睛, Storm.wav
凶斬り, 1;Swing.wav;Swing.wav
凶斬り(命中), 1;Shock(low).wav;Slash.wav
メテオレイン, 1;Bomb.wav;1;Bomb.wav;1;Bomb.wav;1;Bomb.wav;2;Explode.wav;1;Explode.wav;Explode(Nuclear).wav
ブレイバー, 1;Explode(nuclear).wav;Swing.wav
ブレイバー(命中), 1;Shock(low).wav;Slash.wav
桜花狂咲, 1;Shock(low).wav;1;White.bmp 480 480;Thunder.wav;Clear
クライムハザード, Swing.wav
クライムハザード(命中), 7;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Shock(low).wav
裏超究武神覇斬, 1;Swing.wav;1;Shock(low).wav;Glass.wav
超究武神覇斬(準備), 2;Hittyuu.wav;Glass.wav;1;White.bmp 480 480;Clear
超究武神覇斬, Hide.wav
超究武神覇斬(命中), 1;Shock(low).wav;1;White.bmp 480 480;Clear;1;Shock(low).wav;1;Slash.wav;1;White.bmp 480 480;Clear;1;White.bmp 480 480;Clear;1;Shock(low).wav;1;Slash.wav;1;White.bmp 480 480;Clear;1;White.bmp 480 480;Clear;1;Shock(low).wav;1;White.bmp 480 480;Clear;1;Slash.wav;1;White.bmp 480 480;Clear;1;Shock(low).wav;1;White.bmp 480 480;Clear;1;Slash.wav;1;White.bmp 480 480;Clear;1;Explode(nuclear).wav;Glass.wav;1;White.bmp 480 480;Clear
破壊する, Bazooka.wav
破壊する(命中), Crash.wav
圧縮する, Drill.wav
圧縮する(命中), Shock(low).wav
処理する, 1;LaserGun.wav;1;LaserGun.wav;1;LaserGun.wav;LaserGun.wav
星天停止, 12;Storm.wav;Glass.wav
アーマーブレイク, Swing.wav
アーマーブレイク(クリティカル), Clash.wav
ウェポンブレイク, Swing.wav
ウェポンブレイク(クリティカル), Clash.wav
ヘッドブレイク, Swing.wav
ヘッドブレイク(クリティカル), Clash.wav
スピードブレイク, Swing.wav
スピードブレイク(クリティカル), Clash.wav
秘孔拳(命中), Glass.wav
連続拳(命中), Punch(4).wav
阿修羅, 2;Glass.wav;MultipleRocketLauncher.wav
備前長船, 2;Glass.wav;Explode.wav
村正, 2;Glass.wav;Storm.wav
虎鉄, 2;Glass.wav;Explode(Far).wav
菊一文字, 2;Glass.wav;Beam.wav
ジャンプＬＶ１, 1;Shock(low).wav;Swing.wav
ジャンプＬＶ１(命中), 3;Bomb.wav;1;Shock(low).wav;Stab.wav
ジャンプＬＶ２, 1;Shock(low).wav;Swing.wav
ジャンプＬＶ２(命中), 6;Bomb.wav;1;Shock(low).wav;Stab.wav
ジャンプＬＶ３, 1;Shock(low).wav;Swing.wav
ジャンプＬＶ３(命中), 9;Bomb.wav;1;Shock(low).wav;Stab.wav
グレイシャルガン, Rifle.wav
グレイシャルガン(命中), Thunder.wav
ブリザガ, 4;Storm.wav;1;Glass.wav;1;Glass.wav;Glass.wav
ブリザガ(命中), 1;Glass.wav;2;Glass.wav;Explode.wav
ファイガ, Warship.wav
ファイガ(命中), Explode.wav
サンダガ, Thunder.wav
ホーリー, 6;Wind.wav;1;Shock(low).wav;1;Glass.wav;Explode(Nuclear).wav
ダークホーリー, 6;Bubble.wav;1;Shock(low).wav;1;Glass.wav;Explode(Nuclear).wav
フレア, 8;Charge.wav;Explode(Nuclear).wav
バハムート(準備), FlyBy.wav
バハムート, MicroMissile.wav
リヴァイアサン(準備), FlyBy.wav
リヴァイアサン, 1;Shock(low).wav;1;Shock(low).wav;1;Shock(low).wav;Splash.wav
パワールーイン, Slash.wav
パワールーイン(クリティカル), PowerDown.wav
スピードルーイン, Slash.wav
スピードルーイン(クリティカル), PowerDown.wav
マインドルーイン, Slash.wav
マインドルーイン(クリティカル), PowerDown.wav
マジックルーイン, Slash.wav
マジックルーイン(クリティカル), PowerDown.wav
悪夢, Whiz.wav
悪夢(クリティカル), Sharara.wav
鶏走, Whiz.wav
鶏走(クリティカル), PiyoPiyo.wav
悪寒, Whiz.wav
悪寒(クリティカル), Whiz.wav
失声, Whiz.wav
失声(クリティカル), Fold.wav
封印, Whiz.wav
封印(クリティカル), Glass.wav
喪失, Whiz.wav
喪失(クリティカル), Sharara.wav
暗黒, Whiz.wav
暗黒(クリティカル), Inori.wav
誘惑, Whiz.wav
誘惑(クリティカル), Sharara.wav
影縫い, Whiz.wav
影縫い(クリティカル), BreakOff.wav
バイオガ(1), Fold.wav
バイオガ(2), Storm.wav
バイオ(1), Swing.wav
バイオ(1)(命中), Clash.wav
バイオ(2), Whiz.wav
